PopSize;speciesRichness;averageSpecies;bioClimDomain;Simpson;Sorensen;Nestedness;SimpsonCorr;SorensenCorr;NestednessCorr
20;18.0;4.0;3;0.8281938325991189;0.8757961783439491;0.04760234574483013;0.3252595155709343;0.41353383458646614;0.08827431901553184
30;27.0;4.0;3;0.8795180722891566;0.9185612487275195;0.03904317643836297;0.3273542600896861;0.42920564452195975;0.10185138443227365
40;30.0;4.0;3;0.8975;0.9357366771159875;0.03823667711598755;0.3044953350296861;0.4213126323218067;0.11681729729212059
50;28.0;5.0;3;0.9138792772010765;0.9462055715658021;0.03232629436472556;0.29798169737996744;0.4129979035639413;0.11501620618397385
60;27.0;4.0;3;0.9300231541034216;0.9544731776717716;0.02445002356835002;0.3070063694267516;0.4113615870153291;0.10435521758857752
70;29.0;4.0;3;0.9422715306506205;0.9607617586912065;0.018490228040585976;0.31803757298806806;0.4116197568721936;0.09358218388412554
80;30.0;4.0;3;0.9518377693282636;0.9654859218891917;0.013648152560928106;0.33069132540730956;0.4115369725125823;0.08084564710527276
90;32.0;4.0;3;0.9492485833949249;0.9682417328297233;0.01899314943479835;0.2936066448220681;0.4038776888202952;0.11027104399822707
100;30.0;5.0;3;0.9566816143497758;0.9709412507896399;0.014259636439864054;0.30637332337651146;0.4005733646077665;0.09420004123125503
200;34.0;4.0;3;0.9776554555208284;0.9852490568942952;0.007593601373466763;0.30436550582357896;0.4004518515273458;0.09608634570376684
300;33.0;4.0;3;0.9843278497031053;0.9898634468478048;0.005535597144699533;0.2951374700834744;0.3943134856165128;0.0991760155330384
400;36.0;4.0;3;0.9887220695002467;0.992406685280834;0.003684615780587319;0.3047559041432203;0.39521273077201724;0.09045682662879695
500;35.0;4.0;3;0.9904609408233207;0.9938937298341519;0.0034327890108312165;0.293450281133666;0.39433009392087814;0.10087981278721214
600;39.0;4.0;3;0.9921148855373237;0.9949790750798103;0.0028641895424865726;0.2954790150040992;0.39779169179092766;0.10231267678682848
700;38.0;4.0;3;0.9930898117212048;0.9956032362502225;0.002513424529017705;0.2910873477104472;0.39282493804150265;0.10173759033105545
800;42.0;4.0;3;0.994103909989277;0.996209361430152;0.002105451440875039;0.29652261730140334;0.39650679509829767;0.09998417779689434
900;38.0;4.0;3;0.9946705939032391;0.9965701773677373;0.0018995834644982557;0.29316207830785984;0.39235195232307213;0.09918987401521229
1000;41.0;4.0;3;0.995225329469065;0.9969456741498283;0.0017203446807633194;0.2942224689067897;0.3949694060119656;0.1007469371051759
20;15.0;4.0;4;0.7813504823151125;0.8627648839556004;0.08141440164048785;0.26327193932827736;0.3860045146726862;0.12273257534440885
30;17.0;3.0;4;0.85553772070626;0.9198931909212283;0.06435547021496835;0.2830589484864578;0.433606041535557;0.1505470930490992
40;18.0;4.0;4;0.8732037193575655;0.9192245557350566;0.0460208363774911;0.25613687081576986;0.36265137029955385;0.106514499483784
50;20.0;3.0;4;0.8908156711624919;0.9421178072863466;0.0513021361238547;0.246052864999113;0.3943280604246829;0.14827519542556988
60;22.0;4.0;4;0.9171417711896618;0.9508677034032004;0.03372593221353859;0.2695185971182844;0.39213681568919034;0.12261821857090593
70;25.0;4.0;4;0.9361649279682066;0.9609303739738523;0.024765446005645675;0.29528361015355686;0.4127056672760512;0.11742205712249432
80;21.0;3.0;4;0.9293149358508835;0.9587191630734432;0.029404227222559642;0.24737418648108767;0.3673320152750318;0.11995782879394412
90;23.0;3.0;4;0.9390948035015831;0.9665404686380845;0.027445665136501374;0.255200688363618;0.39096063904639705;0.13575995068277907
100;25.0;3.0;4;0.9436705027256208;0.9692904610558468;0.02561995833022601;0.2509664948453608;0.3869782311355734;0.13601173629021257
200;24.0;3.0;4;0.9728948319479581;0.9839955614357049;0.011100729487746763;0.2641287284144427;0.380738489992734;0.11660976157829134
300;26.0;3.0;4;0.980629987400252;0.9890161709019029;0.008386183501650879;0.25234089278149074;0.3751117807417364;0.12277088796024566
400;30.0;3.0;4;0.9854433925536259;0.9919188830873767;0.0064754905337508495;0.2528875676202544;0.3803162489123701;0.1274286812921157
500;30.0;3.0;4;0.9881385468606899;0.9934450890009296;0.005306542140239734;0.24994007564143195;0.3774239572602381;0.12748388161880614
600;32.0;3.0;4;0.9907152736927455;0.9946001548756949;0.0038848811829493846;0.26236237711302446;0.38040915275725884;0.11804677564423438
700;33.0;3.0;4;0.9913341447064413;0.9952847728085614;0.003950628102120102;0.2463319276937943;0.37620176782431247;0.12986984013051817
800;30.0;3.0;4;0.9927887863494238;0.9959479440011721;0.0031591576517483455;0.25605327949787265;0.38060196855363837;0.12454868905576572
900;31.0;3.0;4;0.9933461492749057;0.9962786094428571;0.002932460167951345;0.24911008794091097;0.3730117125512614;0.12390162461035045
1000;33.0;3.0;4;0.9941064353850043;0.9966993929528267;0.002592957567822407;0.2522543771834057;0.37653883443991143;0.12428445725650572
20;11.0;2.0;5;0.7724867724867724;0.8868421052631579;0.11435533277638543;0.2534722222222222;0.439374185136897;0.1859019629146748
30;12.0;2.0;5;0.8454935622317596;0.9038718291054739;0.05837826687371428;0.2672998643147897;0.38531587933978373;0.11801601502499404
40;12.0;3.0;5;0.8420289855072464;0.92;0.07797101449275368;0.2104310032596885;0.36507936507936506;0.15464836181967656
50;18.0;2.0;5;0.8525641025641025;0.943558282208589;0.09099417964448642;0.18785310734463279;0.40072954663887445;0.21287643929424166
60;16.0;3.0;5;0.8967551622418879;0.944994499449945;0.048239337208057065;0.22451994091580502;0.364137346333192;0.13961740541738699
70;14.0;3.0;5;0.9111587982832619;0.9489707876247997;0.037811989341537844;0.2266225448334757;0.3469737257199514;0.1203511808864757
80;16.0;2.0;5;0.9257769652650822;0.962445657200999;0.03666869193591671;0.23770184003004127;0.3905047851379246;0.1528029451078833
