TrueTau;EstTau;UncorrVar;CorrVar;Samp;Model
19064.97017748865;21850.907725910063;3873849.3330869423;-125287.75593108917;2641.7619641106576;-127929.51789519982
19105.63794647695;17390.507464158334;5234818.314884123;388156.0796399815;4078.0212288741022;384078.0584111074
19220.946968820048;17780.576261217233;3996221.1497364365;174001.02762260428;6261.788253405597;167739.23936919868
19136.51391382919;18619.270841367485;3307261.327938252;-59887.717944865115;5896.086726555601;-65783.80467142072
19022.349186695934;20243.387444939268;3100178.178034765;62169.30988535611;4022.813428110443;58146.49645724567
19155.375037667905;18806.59023975139;4211340.452932965;36040.840383837;1782.0092415772378;34258.83114225976
19058.695788987367;17788.677021793086;2313740.678116959;-77082.7589499182;2056.138315142598;-79138.8972650608
19143.74295427971;16524.630671867584;2584629.590756766;-55792.33521078341;2436.874678479042;-58229.20988926245
19091.981236021154;18639.73921403119;4625501.495632622;28863.559859940782;7886.77609895356;20976.783760987222
19078.61943198529;18188.831631927227;3187793.2413174678;-128560.64593542553;3723.6661884114146;-132284.31212383695
19154.314396205416;18318.746816448438;3888736.2418405386;331964.728175716;4894.13811377855;327070.59006193746
19132.536672918744;17733.07019500193;3514346.5837189;43246.39404746052;8836.253082404844;34410.140965055674
19237.746521703535;19501.906477107255;2750247.611267164;14877.544347361661;2349.492715085391;12528.05163227627
19180.304350912655;17446.916672852127;5252374.803209872;459978.26841182774;2050.5365336849354;457927.7318781428
18990.730288821684;18068.558167318708;3898838.8298232625;-186969.19353388948;4807.49764526356;-191776.69117915304
19074.1419879977;17964.638770792022;2957262.205666056;133483.3563003959;3094.91290684836;130388.44339354755
19319.260472206595;19578.438564463882;5190209.34487942;680142.2228614553;5055.752275919076;675086.4705855362
19083.136067621228;18953.238206410017;2551678.7245191047;60718.346120101865;5371.79074431397;55346.555375787895
18935.906960404707;19413.35331591772;4441399.44721254;86355.10341646755;2430.9342883354984;83924.16912813205
19038.65476655132;17923.51009225714;2790121.973879495;109208.74621641915;2392.8217336959206;106815.92448272323
19066.723116512632;18954.49856482675;2734688.411702681;105712.88718162151;2370.818432169035;103342.06874945248
19122.375834090355;20064.11775109619;3911487.6609123065;285622.504340712;4133.559022632893;281488.9453180791
19048.66183100513;22302.915821994884;1977706.3443573122;123746.40534460591;2222.397943392396;121524.00740121352
19132.04482690597;20158.25559136173;2460830.898177576;58528.96385689778;1271.7793364753015;57257.18452042248
19173.568444864264;19890.316004468503;2756187.4646335384;-340057.99652702315;1232.490380577743;-341290.4869076009
19101.046221395773;16596.925727018923;1515164.139145445;-38449.880648962455;2119.8469472979195;-40569.727596260374
19271.2935464765;15685.840868203562;2186683.058474778;-85091.27404198889;6325.122625889722;-91416.39666787861
19203.86179337447;18905.282916078413;4327086.4723352585;107922.67141268309;6233.428283014335;101689.24312966876
19229.244233549947;20671.13172662085;2736762.003146684;184897.0238818135;2326.166382888332;182570.85749892518
19263.329334121663;19917.121405871767;3092308.087278881;212492.37248963583;3364.2782672187313;209128.0942224171
