Equation,s1,s2,s3,s4,s5,s6,s7,ess,esslat
wood,0.000532154,0.000110258,0.000725365,3.37919E-05,8.13502E-05,0.000143409,0.001286334,Balsam Fir,AbiesBalsamea
bark,0.000110258,8.63138E-05,0.000210906,-4.39E-06,-0.000493414,-0.00023423,0.000283761,Balsam Fir,AbiesBalsamea
stem,0.000725365,0.000210906,0.00104867,3.63912E-05,-0.000357327,-4.01061E-05,0.001791572,Balsam Fir,AbiesBalsamea
branches,3.37919E-05,-4.39E-06,3.63912E-05,0.000406191,0.00318726,0.002848884,0.001034359,Balsam Fir,AbiesBalsamea
foliage,8.13502E-05,-0.000493414,-0.000357327,0.00318726,0.123045738,0.054988401,0.018655494,Balsam Fir,AbiesBalsamea
crown,0.000143409,-0.00023423,-4.01061E-05,0.002848884,0.054988401,0.031872993,0.011004678,Balsam Fir,AbiesBalsamea
total,0.001286334,0.000283761,0.001791572,0.001034359,0.018655494,0.011004678,0.007298657,Balsam Fir,AbiesBalsamea
wood,0.036391581,0.002348062,0.022367142,0.001511791,0.001514324,0.001008984,0.027329851,Balsam Poplar,PopulusBalsamifera
bark,0.002348062,0.003248087,0.003230096,-0.00014081,-0.000268185,-9.36884E-05,0.002531325,Balsam Poplar,PopulusBalsamifera
stem,0.022367142,0.003230096,0.01492778,0.000832915,0.000722882,0.00056343,0.017447051,Balsam Poplar,PopulusBalsamifera
branches,0.001511791,-0.00014081,0.000832915,0.000315744,0.000305092,0.000217093,0.001939758,Balsam Poplar,PopulusBalsamifera
foliage,0.001514324,-0.000268185,0.000722882,0.000305092,0.000999272,0.000275918,0.002055019,Balsam Poplar,PopulusBalsamifera
crown,0.001008984,-9.36884E-05,0.00056343,0.000217093,0.000275918,0.00016231,0.001337018,Balsam Poplar,PopulusBalsamifera
total,0.027329851,0.002531325,0.017447051,0.001939758,0.002055019,0.001337018,0.024092664,Balsam Poplar,PopulusBalsamifera
wood,0.052949786,0.019118413,0.10376533,-0.001257603,-0.004619604,-0.0026051,0.070252224,Black Ash,FraxinusNigra
bark,0.019118413,0.017278923,0.046581538,-0.000316204,-0.001848106,-0.000685154,0.033290247,Black Ash,FraxinusNigra
stem,0.10376533,0.046581538,0.213173771,-0.002151163,-0.008445228,-0.00445264,0.146106957,Black Ash,FraxinusNigra
branches,-0.001257603,-0.000316204,-0.002151163,0.001655204,0.003777308,0.003100712,0.005809792,Black Ash,FraxinusNigra
foliage,-0.004619604,-0.001848106,-0.008445228,0.003777308,0.010706396,0.007370158,0.011897216,Black Ash,FraxinusNigra
crown,-0.0026051,-0.000685154,-0.00445264,0.003100712,0.007370158,0.005857922,0.010785162,Black Ash,FraxinusNigra
total,0.070252224,0.033290247,0.146106957,0.005809792,0.011897216,0.010785162,0.134870458,Black Ash,FraxinusNigra
wood,0.130164536,0.015275039,0.14935775,0.005438656,0.014454044,0.005325077,0.148217258,Black Cherry,PrunusSerotina
bark,0.015275039,0.012527941,0.025462925,0.000760682,-4.4814E-05,0.000728047,0.024538117,Black Cherry,PrunusSerotina
stem,0.14935775,0.025462925,0.177256939,0.006293,0.015377496,0.006161725,0.175323109,Black Cherry,PrunusSerotina
branches,0.005438656,0.000760682,0.006293,0.003556537,0.003316226,0.003299795,0.02144387,Black Cherry,PrunusSerotina
foliage,0.014454044,-4.4814E-05,0.015377496,0.003316226,0.020468671,0.004041141,0.035804107,Black Cherry,PrunusSerotina
crown,0.005325077,0.000728047,0.006161725,0.003299795,0.004041141,0.003154461,0.020967761,Black Cherry,PrunusSerotina
total,0.148217258,0.024538117,0.175323109,0.02144387,0.035804107,0.020967761,0.25728476,Black Cherry,PrunusSerotina
wood,0.00060053,6.08099E-05,0.00071711,8.00577E-05,0.000231238,0.000244879,0.001470966,Black Spruce,PiceaMariana
bark,6.08099E-05,7.34043E-05,0.000128045,6.76E-06,-8.32395E-05,-2.74116E-05,0.00020114,Black Spruce,PiceaMariana
stem,0.00071711,0.000128045,0.000902358,9.50993E-05,0.000192218,0.000252959,0.001807046,Black Spruce,PiceaMariana
branches,8.00577E-05,6.76E-06,9.50993E-05,0.000858436,0.001691931,0.002257585,0.00197128,Black Spruce,PiceaMariana
foliage,0.000231238,-8.32395E-05,0.000192218,0.001691931,0.009659806,0.007914184,0.006750925,Black Spruce,PiceaMariana
crown,0.000244879,-2.74116E-05,0.000252959,0.002257585,0.007914184,0.007905396,0.006822084,Black Spruce,PiceaMariana
total,0.001470966,0.00020114,0.001807046,0.00197128,0.006750925,0.006822084,0.009257772,Black Spruce,PiceaMariana
wood,0.007980417,0.000401812,0.007464366,0.001105372,0.000610068,0.002417238,0.025631956,Eastern Hemlock,TsugaCanadensis
bark,0.000401812,0.000114033,0.000577223,4.43584E-05,3.55078E-05,0.000105175,0.001599889,Eastern Hemlock,TsugaCanadensis
stem,0.007464366,0.000577223,0.007426612,0.001028945,0.000568977,0.0022362,0.024709808,Eastern Hemlock,TsugaCanadensis
branches,0.001105372,4.43584E-05,0.001028945,0.002475793,0.00078925,0.004569319,0.012067522,Eastern Hemlock,TsugaCanadensis
foliage,0.000610068,3.55078E-05,0.000568977,0.00078925,0.000795643,0.002160619,0.005564639,Eastern Hemlock,TsugaCanadensis
crown,0.002417238,0.000105175,0.0022362,0.004569319,0.002160619,0.009412355,0.025019812,Eastern Hemlock,TsugaCanadensis
total,0.025631956,0.001599889,0.024709808,0.012067522,0.005564639,0.025019812,0.121647536,Eastern Hemlock,TsugaCanadensis
wood,0.001322258,0.00039387,0.001293404,0.000371791,0.000471556,0.000986188,0.003377209,Eastern White Cedar,ThujaOccidentalis
bark,0.00039387,0.00074358,0.000554842,0.000185902,0.00033831,0.000611736,0.001621807,Eastern White Cedar,ThujaOccidentalis
stem,0.001293404,0.000554842,0.001316446,0.000390461,0.00051791,0.001059774,0.003471675,Eastern White Cedar,ThujaOccidentalis
branches,0.000371791,0.000185902,0.000390461,0.002317031,0.0016332,0.004754579,0.00410989,Eastern White Cedar,ThujaOccidentalis
foliage,0.000471556,0.00033831,0.00051791,0.0016332,0.001781758,0.00405738,0.003949674,Eastern White Cedar,ThujaOccidentalis
crown,0.000986188,0.000611736,0.001059774,0.004754579,0.00405738,0.010560286,0.009594821,Eastern White Cedar,ThujaOccidentalis
total,0.003377209,0.001621807,0.003471675,0.00410989,0.003949674,0.009594821,0.014017529,Eastern White Cedar,ThujaOccidentalis
wood,0.000329119,3.07946E-05,0.000308913,1.14959E-05,0.00051441,0.000137461,0.001632393,Eastern White Pine,PinusStrobus
