Dependent,Estimate,Probt,ess,esslat
wood2,3.957391419,<.0001,Balsam Fir,AbiesBalsamea
bark2,3.812380389,<.0001,Balsam Fir,AbiesBalsamea
stem2,3.832298657,<.0001,Balsam Fir,AbiesBalsamea
branches2,3.746768835,<.0001,Balsam Fir,AbiesBalsamea
foliage2,1.8630742,<.0001,Balsam Fir,AbiesBalsamea
crown2,2.670715488,<.0001,Balsam Fir,AbiesBalsamea
total2,3.38095375,<.0001,Balsam Fir,AbiesBalsamea
wood2,3.060551368,<.0001,Balsam Poplar,PopulusBalsamifera
bark2,3.022361779,<.0001,Balsam Poplar,PopulusBalsamifera
stem2,3.394847915,<.0001,Balsam Poplar,PopulusBalsamifera
branches2,4.156346536,<.0001,Balsam Poplar,PopulusBalsamifera
foliage2,2.688181084,<.0001,Balsam Poplar,PopulusBalsamifera
crown2,4.468576058,<.0001,Balsam Poplar,PopulusBalsamifera
total2,3.412919207,<.0001,Balsam Poplar,PopulusBalsamifera
wood2,2.885449355,<.0001,Black Ash,FraxinusNigra
bark2,2.360001205,<.0001,Black Ash,FraxinusNigra
stem2,2.523712379,<.0001,Black Ash,FraxinusNigra
branches2,3.78612403,<.0001,Black Ash,FraxinusNigra
foliage2,1.885766643,<.0001,Black Ash,FraxinusNigra
crown2,3.443151969,<.0001,Black Ash,FraxinusNigra
total2,2.759637401,<.0001,Black Ash,FraxinusNigra
wood2,2.837896434,<.0001,Black Cherry,PrunusSerotina
bark2,2.60843685,<.0001,Black Cherry,PrunusSerotina
stem2,2.804734012,<.0001,Black Cherry,PrunusSerotina
branches2,3.931509187,<.0001,Black Cherry,PrunusSerotina
foliage2,1.769363478,<.0001,Black Cherry,PrunusSerotina
crown2,3.970212953,<.0001,Black Cherry,PrunusSerotina
total2,2.931941631,<.0001,Black Cherry,PrunusSerotina
wood2,3.93553736,<.0001,Black Spruce,PiceaMariana
bark2,3.713847151,<.0001,Black Spruce,PiceaMariana
stem2,3.85316802,<.0001,Black Spruce,PiceaMariana
branches2,3.573696358,<.0001,Black Spruce,PiceaMariana
foliage2,2.697550892,<.0001,Black Spruce,PiceaMariana
crown2,3.209267173,<.0001,Black Spruce,PiceaMariana
total2,3.380455131,<.0001,Black Spruce,PiceaMariana
wood2,3.412998093,<.0001,Eastern Hemlock,TsugaCanadensis
bark2,3.995708329,<.0001,Eastern Hemlock,TsugaCanadensis
stem2,3.521822227,<.0001,Eastern Hemlock,TsugaCanadensis
branches2,3.49972716,<.0001,Eastern Hemlock,TsugaCanadensis
foliage2,3.526865468,<.0001,Eastern Hemlock,TsugaCanadensis
crown2,3.299885193,<.0001,Eastern Hemlock,TsugaCanadensis
total2,2.890062975,<.0001,Eastern Hemlock,TsugaCanadensis
wood2,3.540668855,<.0001,Eastern White Cedar,ThujaOccidentalis
bark2,2.812619098,<.0001,Eastern White Cedar,ThujaOccidentalis
stem2,3.61589508,<.0001,Eastern White Cedar,ThujaOccidentalis
branches2,3.065924174,<.0001,Eastern White Cedar,ThujaOccidentalis
foliage2,2.98565543,<.0001,Eastern White Cedar,ThujaOccidentalis
crown2,2.918265731,<.0001,Eastern White Cedar,ThujaOccidentalis
total2,3.14684772,<.0001,Eastern White Cedar,ThujaOccidentalis
wood2,4.263874505,<.0001,Eastern White Pine,PinusStrobus
bark2,3.965717676,<.0001,Eastern White Pine,PinusStrobus
stem2,4.340836056,<.0001,Eastern White Pine,PinusStrobus
branches2,4.660446524,<.0001,Eastern White Pine,PinusStrobus
foliage2,2.048447894,<.0001,Eastern White Pine,PinusStrobus
crown2,3.372920219,<.0001,Eastern White Pine,PinusStrobus
total2,3.402341489,<.0001,Eastern White Pine,PinusStrobus
wood2,3.963719304,<.0001,Grey Birch,BetulaPopulifolia
bark2,3.648807289,<.0001,Grey Birch,BetulaPopulifolia
stem2,3.110317179,0.0002,Grey Birch,BetulaPopulifolia
branches2,3.693858641,<.0001,Grey Birch,BetulaPopulifolia
foliage2,2.178743151,0.0004,Grey Birch,BetulaPopulifolia
crown2,3.405935896,<.0001,Grey Birch,BetulaPopulifolia
total2,3.330722004,<.0001,Grey Birch,BetulaPopulifolia
wood2,4.507243639,<.0001,Lodgepole Pine,PinusContorta
bark2,3.020177392,<.0001,Lodgepole Pine,PinusContorta
stem2,4.134610347,<.0001,Lodgepole Pine,PinusContorta
branches2,3.603944691,<.0001,Lodgepole Pine,PinusContorta
foliage2,2.476264464,<.0001,Lodgepole Pine,PinusContorta
crown2,3.157802173,<.0001,Lodgepole Pine,PinusContorta
total2,2.89124096,<.0001,Lodgepole Pine,PinusContorta
wood2,3.343221212,<.0001,Red Pine,PinusResinosa
bark2,3.491277052,<.0001,Red Pine,PinusResinosa
stem2,3.231864469,<.0001,Red Pine,PinusResinosa
branches2,3.950241189,<.0001,Red Pine,PinusResinosa
foliage2,1.946708995,<.0001,Red Pine,PinusResinosa
crown2,2.671789601,<.0001,Red Pine,PinusResinosa
total2,4.182721385,<.0001,Red Pine,AcerSaccharinum
wood2,3.580586885,<.0001,Silver Maple,AcerSaccharinum
bark2,2.846519464,<.0001,Silver Maple,AcerSaccharinum
stem2,3.104487682,<.0001,Silver Maple,AcerSaccharinum
branches2,4.254026887,<.0001,Silver Maple,AcerSaccharinum
foliage2,0.821768182,0.0405,Silver Maple,AcerSaccharinum
crown2,4.562500902,<.0001,Silver Maple,AcerSaccharinum
total2,3.664970822,<.0001,Silver Maple,AcerSaccharinum
wood2,3.175789966,<.0001,Sugar Maple,AcerSaccharum
bark2,2.730879136,<.0001,Sugar Maple,AcerSaccharum
stem2,2.950102771,<.0001,Sugar Maple,AcerSaccharum
branches2,3.773410048,<.0001,Sugar Maple,AcerSaccharum
foliage2,2.491078014,<.0001,Sugar Maple,AcerSaccharum
crown2,3.835170773,<.0001,Sugar Maple,AcerSaccharum
total2,3.093601643,<.0001,Sugar Maple,AcerSaccharum
wood2,4.185939224,<.0001,Tamarack Larch,LarixLaricina
bark2,3.381708368,<.0001,Tamarack Larch,LarixLaricina
