EstType,Parameter,Estimate,StdErr,tValue,Probt,DF,ess,esslat
SUR Esti,awood,0.0293640453051143,0.000828,35.47,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,bwood,1.83572709282682,0.0163,112.76,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,cwood,0.86402555858975,0.0213,40.61,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,abark,0.00525761075336388,0.000351,14.96,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,bbark,2.08763134201863,0.0388,53.83,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,cbark,0.58422387069328,0.0506,11.56,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,abranche,0.0117140829106258,0.000795,14.74,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,bbranche,3.50970883979243,0.0667,52.61,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,cbranche,-1.30058800314515,0.0773,-16.83,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,afoliage,0.12448002625426,0.00731,17.03,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,bfoliage,2.52299105541295,0.075,33.63,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,cfoliage,-1.12299351664857,0.0878,-12.79,0.0001,636.7,Balsam Fir,AbiesBalsamea
SUR Esti,awood,0.0117350533472174,0.00152,7.73,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,bwood,1.77569131081963,0.0541,32.84,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,cwood,1.25554020951297,0.0883,14.22,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,abark,0.0180408492556085,0.00359,5.02,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,bbark,1.81308042693733,0.0939,19.31,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,cbark,0.51438902769189,0.1438,3.58,0.0004,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,abranche,0.0111741963486034,0.0028,3.99,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,bbranche,3.08613899083706,0.1464,21.09,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,cbranche,-0.71644118311356,0.2179,-3.29,0.0012,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,afoliage,0.0617238629601016,0.0103,5.99,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,bfoliage,1.86154988973252,0.1264,14.72,0.0001,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,cfoliage,-0.53746478158367,0.1855,-2.9,0.0042,204.7,Balsam Poplar,PopulusBalsamifera
SUR Esti,awood,0.0306498037063836,0.0081,3.78,0.0003,70.67,Black Ash,FraxinusNigra
SUR Esti,bwood,2.18356268875176,0.0575,37.95,0.0001,70.67,Black Ash,FraxinusNigra
SUR Esti,cwood,0.57401883496834,0.1344,4.27,0.0001,70.67,Black Ash,FraxinusNigra
SUR Esti,abark,0.08968370809486,0.0452,1.98,0.0513,70.67,Black Ash,FraxinusNigra
SUR Esti,bbark,2.26335065961621,0.1301,17.4,0.0001,70.67,Black Ash,FraxinusNigra
SUR Esti,cbark,-0.56700651616824,0.2761,-2.05,0.0437,70.67,Black Ash,FraxinusNigra
SUR Esti,abranche,0.09944298315462,0.0273,3.65,0.0005,70.67,Black Ash,FraxinusNigra
SUR Esti,bbranche,2.16296550529397,0.1432,15.1,0.0001,70.67,Black Ash,FraxinusNigra
SUR Esti,cbranche,-0.48088673976423,0.2285,-2.1,0.0389,70.67,Black Ash,FraxinusNigra
SUR Esti,afoliage,0.0123776662542696,0.00468,2.65,0.01,70.67,Black Ash,FraxinusNigra
SUR Esti,bfoliage,1.03245624954973,0.1425,7.24,0.0001,70.67,Black Ash,FraxinusNigra
SUR Esti,cfoliage,0.87470351643185,0.2638,3.32,0.0014,70.67,Black Ash,FraxinusNigra
SUR Esti,awood,0.0181196990524358,0.00502,3.61,0.0005,75.67,Black Cherry,PrunusSerotina
SUR Esti,bwood,1.70133532896108,0.0571,29.8,0.0001,75.67,Black Cherry,PrunusSerotina
SUR Esti,cwood,1.3057199093025,0.1157,11.28,0.0001,75.67,Black Cherry,PrunusSerotina
SUR Esti,abark,0.0101480683198423,0.00343,2.96,0.0041,75.67,Black Cherry,PrunusSerotina
SUR Esti,bbark,1.59564161316689,0.0767,20.81,0.0001,75.67,Black Cherry,PrunusSerotina
SUR Esti,cbark,0.91900379025348,0.1401,6.56,0.0001,75.67,Black Cherry,PrunusSerotina
SUR Esti,abranche,0.000455153300031439,0.000406,1.12,0.266,75.67,Black Cherry,PrunusSerotina
SUR Esti,bbranche,2.8003508164578,0.1592,17.59,0.0001,75.67,Black Cherry,PrunusSerotina
SUR Esti,cbranche,0.86034045508835,0.3067,2.81,0.0064,75.67,Black Cherry,PrunusSerotina
SUR Esti,afoliage,0.19763178314903,0.0291,6.8,0.0001,75.67,Black Cherry,PrunusSerotina
SUR Esti,bfoliage,1.44209409733838,0.1099,13.13,0.0001,75.67,Black Cherry,PrunusSerotina
SUR Esti,cfoliage,-0.5263548767983,0.1743,-3.02,0.0034,75.67,Black Cherry,PrunusSerotina
SUR Esti,awood,0.0308511776463461,0.000548,56.29,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,bwood,1.75265019754086,0.012,145.49,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,cwood,1.00137766090548,0.0144,69.61,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,abark,0.0114797635136125,0.000404,28.41,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,bbark,1.74050204623733,0.0266,65.32,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,cbark,0.65891773877717,0.0303,21.76,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,abranche,0.0380054725972597,0.00244,15.55,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,bbranche,3.25578882456143,0.0543,59.91,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,cbranche,-1.4217945228982,0.0606,-23.46,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,afoliage,0.20481310372664,0.00866,23.65,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,bfoliage,2.57536031728801,0.0496,51.91,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,cfoliage,-1.37036893850503,0.0561,-24.43,0.0001,1532,Black Spruce,PiceaMariana
SUR Esti,awood,0.0256546285279537,0.00186,13.77,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
SUR Esti,bwood,1.92774239248195,0.0357,54.03,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
SUR Esti,cwood,0.85760370766809,0.0549,15.61,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
SUR Esti,abark,0.0117782687115661,0.00125,9.45,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
SUR Esti,bbark,1.98931014694337,0.0614,32.39,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
SUR Esti,cbark,0.47000412774308,0.0928,5.07,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
SUR Esti,abranche,0.0214829420566334,0.00445,4.83,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
SUR Esti,bbranche,2.65534298648069,0.1087,24.43,0.0001,232.7,Eastern Hemlock,TsugaCanadensis
