Equation,s1,s2,s3,s4,s5,s6,s7,ess
wood,0.0924766,0.0056869,0.0723243,0.0008350,0.0029659,0.0031536,0.1225486,Alpine Fir
bark,0.0056869,0.0018337,0.0065315,-.0001493,-.0007621,-.0007199,0.0066038,Alpine Fir
stem,0.0723243,0.0065315,0.0595369,0.0003723,0.0009689,0.0011684,0.0942611,Alpine Fir
branches,0.0008350,-.0001493,0.0003723,0.0003746,0.0010090,0.0012614,0.0050346,Alpine Fir
foliage,0.0029659,-.0007621,0.0009689,0.0010090,0.0040309,0.0041213,0.0161867,Alpine Fir
crown,0.0031536,-.0007199,0.0011684,0.0012614,0.0041213,0.0046631,0.0178732,Alpine Fir
total,0.1225486,0.0066038,0.0942611,0.0050346,0.0161867,0.0178732,0.2380178,Alpine Fir
wood,0.0012269,0.0001716,0.0014107,-.0002201,-.0020371,-.0009029,0.0016282,Balsam Fir
bark,0.0001716,0.0000569,0.0002324,-.0000296,-.0004034,-.0001535,0.0002611,Balsam Fir
stem,0.0014107,0.0002324,0.0016596,-.0002525,-.0024710,-.0010685,0.0019082,Balsam Fir
branches,-.0002201,-.0000296,-.0002525,0.0003430,0.0017606,0.0009870,0.0003727,Balsam Fir
foliage,-.0020371,-.0004034,-.0024710,0.0017606,0.0305102,0.0102483,0.0042749,Balsam Fir
crown,-.0009029,-.0001535,-.0010685,0.0009870,0.0102483,0.0042298,0.0016971,Balsam Fir
total,0.0016282,0.0002611,0.0019082,0.0003727,0.0042749,0.0016971,0.0047407,Balsam Fir
wood,0.0007524,0.0001968,0.0019413,0.0000802,0.0000355,0.0000731,0.0017725,Balsam Poplar
bark,0.0001968,0.0003200,0.0007257,-.0000359,-.0000667,-.0000282,0.0005557,Balsam Poplar
stem,0.0019413,0.0007257,0.0053706,0.0001591,0.0000264,0.0001367,0.0047703,Balsam Poplar
branches,0.0000802,-.0000359,0.0001591,0.0002369,0.0001938,0.0002111,0.0005311,Balsam Poplar
foliage,0.0000355,-.0000667,0.0000264,0.0001938,0.0004554,0.0002146,0.0004114,Balsam Poplar
crown,0.0000731,-.0000282,0.0001367,0.0002111,0.0002146,0.0001983,0.0004815,Balsam Poplar
total,0.0017725,0.0005557,0.0047703,0.0005311,0.0004114,0.0004815,0.0049143,Balsam Poplar
wood,0.0274947,0.0050280,0.0374435,0.0013430,0.0002278,0.0020403,0.0496875,Basswood
bark,0.0050280,0.0039400,0.0097891,0.0005269,0.0006992,0.0009048,0.0130168,Basswood
stem,0.0374435,0.0097891,0.0538758,0.0020830,0.0008766,0.0032480,0.0716370,Basswood
branches,0.0013430,0.0005269,0.0020830,0.0009451,0.0006761,0.0014874,0.0070651,Basswood
foliage,0.0002278,0.0006992,0.0008766,0.0006761,0.0029615,0.0016270,0.0053704,Basswood
crown,0.0020403,0.0009048,0.0032480,0.0014874,0.0016270,0.0024806,0.0113857,Basswood
total,0.0496875,0.0130168,0.0716370,0.0070651,0.0053704,0.0113857,0.1754939,Basswood
wood,0.3005637,0.0072833,0.3144993,0.0078219,0.0492305,0.0194218,0.3331512,Beech
bark,0.0072833,0.0006050,0.0085630,-.0000871,-.0003643,-.0001655,0.0075530,Beech
stem,0.3144993,0.0085630,0.3311808,0.0076278,0.0483915,0.0190457,0.3477155,Beech
branches,0.0078219,-.0000871,0.0076278,0.0041054,0.0210892,0.0093703,0.0280288,Beech
foliage,0.0492305,-.0003643,0.0483915,0.0210892,0.2003710,0.0518468,0.1637829,Beech
crown,0.0194218,-.0001655,0.0190457,0.0093703,0.0518468,0.0216900,0.0666029,Beech
total,0.3331512,0.0075530,0.3477155,0.0280288,0.1637829,0.0666029,0.4719836,Beech
wood,0.0032782,0.0046647,0.0074602,0.0000485,-.0013731,-.0001151,0.0045734,Black Ash
bark,0.0046647,0.0191952,0.0140165,-.0006442,-.0047644,-.0014161,0.0072748,Black Ash
stem,0.0074602,0.0140165,0.0182031,-.0001804,-.0038116,-.0007198,0.0105814,Black Ash
branches,0.0000485,-.0006442,-.0001804,0.0011065,0.0066480,0.0020502,0.0014695,Black Ash
foliage,-.0013731,-.0047644,-.0038116,0.0066480,0.0541896,0.0132018,0.0070776,Black Ash
crown,-.0001151,-.0014161,-.0007198,0.0020502,0.0132018,0.0038877,0.0024812,Black Ash
total,0.0045734,0.0072748,0.0105814,0.0014695,0.0070776,0.0024812,0.0085015,Black Ash
wood,22.398136,1.8642320,26.157621,0.0410669,1.2650184,0.0366920,32.412134,Black Cherry
