EstType,Parameter,awood,bwood,abark,bbark,abranche,bbranche,afoliage,bfoliage,ess
SUR Esti,awood,0.0000215,-.0001229,0.0000077,-.0002143,0.0000002,-.0000070,-.0000050,0.0000546,Alpine Fir
SUR Esti,bwood,-.0001229,0.0007160,-.0000435,0.0012252,-.0000023,0.0000836,0.0000245,-.0002535,Alpine Fir
SUR Esti,abark,0.0000077,-.0000435,0.0000069,-.0001927,-.0000020,0.0000514,-.0000063,0.0000768,Alpine Fir
SUR Esti,bbark,-.0002143,0.0012252,-.0001927,0.0054685,0.0000571,-.0014914,0.0001785,-.0021977,Alpine Fir
SUR Esti,abranche,0.0000002,-.0000023,-.0000020,0.0000571,0.0000108,-.0002750,0.0000258,-.0003177,Alpine Fir
SUR Esti,bbranche,-.0000070,0.0000836,0.0000514,-.0014914,-.0002750,0.0071366,-.0006550,0.0082508,Alpine Fir
SUR Esti,afoliage,-.0000050,0.0000245,-.0000063,0.0001785,0.0000258,-.0006550,0.0000737,-.0009087,Alpine Fir
SUR Esti,bfoliage,0.0000546,-.0002535,0.0000768,-.0021977,-.0003177,0.0082508,-.0009087,0.0114516,Alpine Fir
SUR Esti,awood,0.0000028,-.0000168,0.0000004,-.0000117,-.0000001,0.0000024,-.0000013,0.0000045,Balsam Fir
SUR Esti,bwood,-.0000168,0.0001064,-.0000025,0.0000749,0.0000003,-.0000153,0.0000077,-.0000303,Balsam Fir
SUR Esti,abark,0.0000004,-.0000025,0.0000002,-.0000053,-.0000000,0.0000007,-.0000004,0.0000018,Balsam Fir
SUR Esti,bbark,-.0000117,0.0000749,-.0000053,0.0001614,0.0000005,-.0000309,0.0000133,-.0000578,Balsam Fir
SUR Esti,abranche,-.0000001,0.0000003,-.0000000,0.0000005,0.0000005,-.0000250,0.0000014,-.0000061,Balsam Fir
SUR Esti,bbranche,0.0000024,-.0000153,0.0000007,-.0000309,-.0000250,0.0012068,-.0000709,0.0003203,Balsam Fir
SUR Esti,afoliage,-.0000013,0.0000077,-.0000004,0.0000133,0.0000014,-.0000709,0.0000211,-.0000871,Balsam Fir
SUR Esti,bfoliage,0.0000045,-.0000303,0.0000018,-.0000578,-.0000061,0.0003203,-.0000871,0.0003965,Balsam Fir
SUR Esti,awood,0.0000106,-.0000650,0.0000029,-.0000299,0.0000020,-.0000518,0.0000007,-.0000088,Balsam Poplar
SUR Esti,bwood,-.0000650,0.0004221,-.0000169,0.0001794,-.0000120,0.0003286,-.0000046,0.0000639,Balsam Poplar
SUR Esti,abark,0.0000029,-.0000169,0.0000120,-.0001270,0.0000010,-.0000253,0.0000003,-.0000015,Balsam Poplar
SUR Esti,bbark,-.0000299,0.0001794,-.0001270,0.0014025,-.0000105,0.0002528,-.0000023,-.0000049,Balsam Poplar
SUR Esti,abranche,0.0000020,-.0000120,0.0000010,-.0000105,0.0000019,-.0000496,0.0000001,-.0000019,Balsam Poplar
SUR Esti,bbranche,-.0000518,0.0003286,-.0000253,0.0002528,-.0000496,0.0014168,-.0000043,0.0001254,Balsam Poplar
SUR Esti,afoliage,0.0000007,-.0000046,0.0000003,-.0000023,0.0000001,-.0000043,0.0000032,-.0000400,Balsam Poplar
SUR Esti,bfoliage,-.0000088,0.0000639,-.0000015,-.0000049,-.0000019,0.0001254,-.0000400,0.0005782,Balsam Poplar
SUR Esti,awood,0.0000201,-.0001002,0.0000090,-.0000862,0.0000066,-.0000805,0.0000142,-.0001312,Basswood
SUR Esti,bwood,-.0001002,0.0005139,-.0000475,0.0004687,-.0000323,0.0004001,-.0000668,0.0006151,Basswood
SUR Esti,abark,0.0000090,-.0000475,0.0000469,-.0004423,0.0000098,-.0001228,0.0000148,-.0001423,Basswood
SUR Esti,bbark,-.0000862,0.0004687,-.0004423,0.0042547,-.0000930,0.0011923,-.0001379,0.0013525,Basswood
SUR Esti,abranche,0.0000066,-.0000323,0.0000098,-.0000930,0.0000479,-.0006067,0.0000435,-.0004374,Basswood
SUR Esti,bbranche,-.0000805,0.0004001,-.0001228,0.0011923,-.0006067,0.0078891,-.0005481,0.0056342,Basswood
SUR Esti,afoliage,0.0000142,-.0000668,0.0000148,-.0001379,0.0000435,-.0005481,0.0000897,-.0008990,Basswood
SUR Esti,bfoliage,-.0001312,0.0006151,-.0001423,0.0013525,-.0004374,0.0056342,-.0008990,0.0093331,Basswood
SUR Esti,awood,0.0004073,-.0008046,0.0000065,-.0001731,0.0000192,-.0001684,0.0000271,-.0002212,Beech
SUR Esti,bwood,-.0008046,0.0016096,-.0000135,0.0003707,-.0000396,0.0003590,-.0000541,0.0004519,Beech
SUR Esti,abark,0.0000065,-.0000135,0.0000010,-.0000244,-.0000004,0.0000024,-.0000014,0.0000097,Beech
SUR Esti,bbark,-.0001731,0.0003707,-.0000244,0.0006560,0.0000075,-.0000344,0.0000309,-.0002162,Beech
SUR Esti,abranche,0.0000192,-.0000396,-.0000004,0.0000075,0.0000177,-.0001447,0.0000127,-.0001035,Beech
SUR Esti,bbranche,-.0001684,0.0003590,0.0000024,-.0000344,-.0001447,0.0012455,-.0001045,0.0009049,Beech
SUR Esti,afoliage,0.0000271,-.0000541,-.0000014,0.0000309,0.0000127,-.0001045,0.0000302,-.0002385,Beech
SUR Esti,bfoliage,-.0002212,0.0004519,0.0000097,-.0002162,-.0001035,0.0009049,-.0002385,0.0019795,Beech
SUR Esti,awood,0.0000526,-.0001730,0.0000197,-.0001874,0.0000090,-.0000731,-.0000138,0.0000666,Black Ash
SUR Esti,bwood,-.0001730,0.0006014,-.0000643,0.0006429,-.0000226,0.0001608,0.0000437,-.0002205,Black Ash
SUR Esti,abark,0.0000197,-.0000643,0.0000249,-.0002332,-.0000059,0.0000316,-.0000189,0.0000992,Black Ash
SUR Esti,bbark,-.0001874,0.0006429,-.0002332,0.0022515,0.0000621,-.0003962,0.0001743,-.0009311,Black Ash
SUR Esti,abranche,0.0000090,-.0000226,-.0000059,0.0000621,0.0000739,-.0006308,0.0000483,-.0003402,Black Ash
SUR Esti,bbranche,-.0000731,0.0001608,0.0000316,-.0003962,-.0006308,0.0060941,-.0003706,0.0030894,Black Ash
SUR Esti,afoliage,-.0000138,0.0000437,-.0000189,0.0001743,0.0000483,-.0003706,0.0000768,-.0004617,Black Ash
SUR Esti,bfoliage,0.0000666,-.0002205,0.0000992,-.0009311,-.0003402,0.0030894,-.0004617,0.0031603,Black Ash
SUR Esti,awood,0.0032813,-.0026658,0.0001678,-.0008289,0.0001879,-.0006528,0.0000047,-.0000144,Black Cherry
SUR Esti,bwood,-.0026658,0.0022269,-.0001558,0.0007885,-.0001542,0.0005830,-.0000039,0.0000260,Black Cherry
SUR Esti,abark,0.0001678,-.0001558,0.0004158,-.0017886,0.0000212,-.0000609,-.0000012,0.0000088,Black Cherry
SUR Esti,bbark,-.0008289,0.0007885,-.0017886,0.0077932,-.0000947,0.0002865,0.0000054,-.0000510,Black Cherry
SUR Esti,abranche,0.0001879,-.0001542,0.0000212,-.0000947,0.0001176,-.0004816,0.0000113,-.0000464,Black Cherry
SUR Esti,bbranche,-.0006528,0.0005830,-.0000609,0.0002865,-.0004816,0.0023301,-.0000443,0.0002944,Black Cherry
SUR Esti,afoliage,0.0000047,-.0000039,-.0000012,0.0000054,0.0000113,-.0000443,0.0000284,-.0001014,Black Cherry
SUR Esti,bfoliage,-.0000144,0.0000260,0.0000088,-.0000510,-.0000464,0.0002944,-.0001014,0.0006129,Black Cherry
SUR Esti,awood,0.0000011,-.0000076,0.0000004,-.0000082,-.0000006,0.0000069,-.0000014,0.0000029,Black Spruce
SUR Esti,bwood,-.0000076,0.0000566,-.0000026,0.0000611,0.0000040,-.0000508,0.0000105,-.0000237,Black Spruce
SUR Esti,abark,0.0000004,-.0000026,0.0000004,-.0000083,-.0000002,0.0000030,-.0000011,0.0000024,Black Spruce
SUR Esti,bbark,-.0000082,0.0000611,-.0000083,0.0001932,0.0000055,-.0000702,0.0000266,-.0000607,Black Spruce
SUR Esti,abranche,-.0000006,0.0000040,-.0000002,0.0000055,0.0000037,-.0000481,0.0000112,-.0000251,Black Spruce
SUR Esti,bbranche,0.0000069,-.0000508,0.0000030,-.0000702,-.0000481,0.0006394,-.0001478,0.0003494,Black Spruce
SUR Esti,afoliage,-.0000014,0.0000105,-.0000011,0.0000266,0.0000112,-.0001478,0.0000775,-.0001778,Black Spruce
SUR Esti,bfoliage,0.0000029,-.0000237,0.0000024,-.0000607,-.0000251,0.0003494,-.0001778,0.0004336,Black Spruce
SUR Esti,awood,0.0000092,-.0000441,0.0000013,-.0000270,0.0000012,-.0000164,0.0000003,-.0000007,Eastern Hemlock
SUR Esti,bwood,-.0000441,0.0002251,-.0000060,0.0001260,-.0000061,0.0000899,-.0000009,0.0000024,Eastern Hemlock
SUR Esti,abark,0.0000013,-.0000060,0.0000010,-.0000205,-.0000007,0.0000083,0.0000011,-.0000039,Eastern Hemlock
SUR Esti,bbark,-.0000270,0.0001260,-.0000205,0.0004421,0.0000123,-.0001539,-.0000212,0.0000789,Eastern Hemlock
SUR Esti,abranche,0.0000012,-.0000061,-.0000007,0.0000123,0.0000094,-.0001265,-.0000032,0.0000124,Eastern Hemlock
SUR Esti,bbranche,-.0000164,0.0000899,0.0000083,-.0001539,-.0001265,0.0017676,0.0000394,-.0001307,Eastern Hemlock
SUR Esti,afoliage,0.0000003,-.0000009,0.0000011,-.0000212,-.0000032,0.0000394,0.0000476,-.0001932,Eastern Hemlock
SUR Esti,bfoliage,-.0000007,0.0000024,-.0000039,0.0000789,0.0000124,-.0001307,-.0001932,0.0008551,Eastern Hemlock
SUR Esti,awood,0.0001590,-.0003905,0.0000373,-.0003417,0.0000138,-.0001430,-.0000240,0.0001540,Eastern Red Cedar
