Dependent,Estimate,Probt,ess
wood2,2.44215,<.0001,Alpine Fir
bark2,2.86839,<.0001,Alpine Fir
stem2,2.66757,<.0001,Alpine Fir
branches2,3.79687,<.0001,Alpine Fir
foliage2,2.87570,<.0001,Alpine Fir
crown2,3.32461,<.0001,Alpine Fir
total2,2.44397,<.0001,Alpine Fir
wood2,4.03502,<.0001,Balsam Fir
bark2,4.08280,<.0001,Balsam Fir
stem2,4.03444,<.0001,Balsam Fir
branches2,3.90440,<.0001,Balsam Fir
foliage2,2.41406,<.0001,Balsam Fir
crown2,3.49173,<.0001,Balsam Fir
total2,3.62676,<.0001,Balsam Fir
wood2,4.48525,<.0001,Balsam Poplar
bark2,3.86089,<.0001,Balsam Poplar
stem2,3.90218,<.0001,Balsam Poplar
branches2,4.27250,<.0001,Balsam Poplar
foliage2,2.96785,<.0001,Balsam Poplar
crown2,4.43433,<.0001,Balsam Poplar
total2,4.01816,<.0001,Balsam Poplar
wood2,3.13671,<.0001,Basswood
bark2,3.01846,<.0001,Basswood
stem2,3.03742,<.0001,Basswood
branches2,3.80417,<.0001,Basswood
foliage2,2.60568,<.0001,Basswood
crown2,3.60366,<.0001,Basswood
total2,2.91250,<.0001,Basswood
wood2,2.85310,<.0001,Beech
bark2,3.35432,<.0001,Beech
stem2,2.85949,<.0001,Beech
branches2,3.90187,<.0001,Beech
foliage2,1.31874,<.0001,Beech
crown2,3.43317,<.0001,Beech
total2,2.92357,<.0001,Beech
wood2,3.95600,<.0001,Black Ash
bark2,2.31009,<.0001,Black Ash
stem2,3.43177,<.0001,Black Ash
branches2,3.92735,<.0001,Black Ash
foliage2,1.34784,0.0008,Black Ash
crown2,3.59142,<.0001,Black Ash
total2,3.81860,<.0001,Black Ash
wood2,1.60628,<.0001,Black Cherry
bark2,1.58388,<.0001,Black Cherry
stem2,1.56433,<.0001,Black Cherry
branches2,4.27971,<.0001,Black Cherry
foliage2,2.20270,<.0001,Black Cherry
crown2,4.38762,<.0001,Black Cherry
total2,1.52058,0.0002,Black Cherry
wood2,3.29886,<.0001,Black Spruce
bark2,3.04617,<.0001,Black Spruce
stem2,3.19487,<.0001,Black Spruce
branches2,3.42846,<.0001,Black Spruce
foliage2,2.78246,<.0001,Black Spruce
crown2,3.10429,<.0001,Black Spruce
total2,3.54848,<.0001,Black Spruce
wood2,4.57701,<.0001,Eastern Hemlock
bark2,4.09848,<.0001,Eastern Hemlock
stem2,4.31327,<.0001,Eastern Hemlock
branches2,3.39699,<.0001,Eastern Hemlock
