"effectId","effect"
1,"(Intercept)"
2,"DD"
3,"DD2"
4,"dt"
5,"dummyDepth4VeryShallow"
6,"dummyDrainage3subhydrique"
7,"dummyDrainage4hydrique"
8,"dummyPastDist2Fire"
9,"dummyPastDist3OtherNatural"
10,"dummyPastDist4Harvest"
11,"dummyTexture1Crude"
12,"dummyTexture3Fine"
13,"dummyUpcomingDist2Fire"
14,"dummyUpcomingDist3OtherNatural"
15,"dummyUpcomingDist4Harvest"
16,"FrostDay"
17,"G_F"
18,"G_R"
19,"G_R2"
20,"G_SpGr"
21,"G_SpGr2"
22,"intercept"
23,"lnDt"
24,"LowestTmin"
25,"occIndex10km"
26,"pentePerc"
27,"speciesThere"
28,"Theta"
29,"timeSince1970"
30,"TotalPrcp"
31,"TotalPrcp2"
