"sp","effect"
1,1
1,17
1,18
1,20
1,28
2,1
2,30
2,16
2,18
2,17
2,29
2,28
3,22
3,4
3,2
3,3
3,30
3,7
3,17
3,18
3,27
3,20
3,21
3,25
3,14
3,15
3,29
3,28
4,1
4,17
4,18
4,19
4,28
5,1
5,4
5,17
5,28
6,1
6,4
6,24
6,17
6,18
6,20
6,21
6,9
6,10
6,28
7,22
7,23
7,2
7,3
7,30
7,6
7,7
7,17
7,18
7,25
7,27
7,20
7,21
7,10
7,13
7,14
7,15
7,28
8,22
8,17
8,18
8,27
8,25
8,29
8,28
9,1
9,20
9,28
10,1
10,4
10,20
10,28
11,1
11,4
11,16
11,17
11,18
11,27
11,20
11,21
11,10
11,28
12,1
12,4
12,30
12,31
12,17
12,18
12,27
12,28
13,1
13,17
13,27
13,28
14,1
14,2
14,20
14,28
15,1
15,17
15,18
15,27
15,29
15,28
16,1
16,4
16,18
16,20
16,21
16,28
17,1
17,27
17,28
18,22
18,2
18,11
18,18
18,25
18,28
19,1
19,18
19,27
19,28
20,1
20,17
20,18
20,20
20,28
21,1
21,2
21,3
21,5
21,17
21,18
21,20
21,21
21,15
21,28
22,1
22,17
22,18
22,20
22,21
22,28
23,1
23,2
23,12
23,6
23,7
23,17
23,18
23,20
23,21
23,28
24,1
24,28
25,1
25,30
25,31
25,17
25,18
25,27
25,10
25,28
26,1
26,4
26,17
26,27
26,15
26,28
27,1
27,4
27,2
27,3
27,30
27,6
27,7
27,17
27,18
27,27
27,20
27,21
27,8
27,9
27,10
27,29
27,28
28,1
28,17
28,18
28,27
28,28
29,1
29,20
29,28
30,1
30,2
30,28
31,1
31,27
31,28
32,1
32,4
32,26
32,17
32,18
32,27
32,20
32,28
33,1
33,28
