"effectId","effect"
1,"(Intercept)"
2,"DD"
3,"DD:TotalPrcp"
4,"DD2"
5,"dummyDepth1Thick"
6,"dummyDepth3Shallow"
7,"dummyDepth4VeryShallow"
8,"dummyDrainage1xerique"
9,"dummyDrainage3subhydrique"
10,"dummyDrainage4hydrique"
11,"dummyPastDist2Fire"
12,"dummyPastDist3OtherNatural"
13,"dummyPastDist4Harvest"
14,"dummyTexture1Crude"
15,"dummyTexture3Fine"
16,"dummyUpcomingDist2Fire"
17,"dummyUpcomingDist3OtherNatural"
18,"dummyUpcomingDist4Harvest"
19,"FrostDay"
20,"G_F"
21,"G_F2"
22,"G_R"
23,"G_R2"
24,"G_SpGr"
25,"G_SpGr2"
26,"intercept"
27,"lnDt"
28,"LowestTmin"
29,"occIndex10km"
30,"pentePerc"
31,"speciesThere"
32,"sqr(occIndex10km)"
33,"timeSince1970"
34,"TotalPrcp"
35,"TotalPrcp2"
