"sp","effect"
1,1
1,2
1,34
1,20
1,22
1,31
1,33
2,26
2,27
2,2
2,4
2,34
2,30
2,5
2,6
2,7
2,20
2,21
2,22
2,31
2,29
2,32
2,12
3,26
3,27
3,2
3,4
3,34
3,19
3,28
3,30
3,8
3,9
3,10
3,20
3,21
3,22
3,31
3,24
3,29
3,16
3,18
3,12
3,13
4,26
4,2
4,4
4,34
4,5
4,20
4,22
4,29
4,32
4,31
5,26
5,2
5,4
5,5
5,22
5,20
5,21
5,29
5,32
5,31
6,26
6,27
6,2
6,4
6,19
6,28
6,10
6,20
6,22
6,29
6,32
6,31
6,24
6,18
6,11
6,12
6,33
7,26
7,27
7,2
7,4
7,14
7,15
7,20
7,21
7,22
7,29
7,32
7,31
7,24
7,25
7,16
7,17
7,18
7,11
7,12
7,33
8,26
8,27
8,2
8,4
8,34
8,35
8,20
8,22
8,23
8,29
8,31
8,24
8,25
8,13
9,1
9,2
9,4
9,28
9,20
9,21
9,31
10,26
10,27
10,2
10,4
10,30
10,9
10,10
10,20
10,21
10,29
10,32
10,31
10,24
10,25
11,26
11,27
11,2
11,4
11,28
11,6
11,7
11,9
11,10
11,20
11,21
11,22
11,23
11,29
11,32
11,31
11,24
11,17
11,18
11,11
11,13
12,1
12,27
12,2
12,4
12,34
12,35
12,10
12,20
12,21
12,22
12,31
12,33
13,1
13,2
13,4
13,22
13,20
13,31
14,1
14,2
14,4
14,9
14,10
14,31
14,24
15,26
15,2
15,4
15,15
15,22
15,29
15,32
15,31
15,24
15,25
15,33
16,1
16,27
16,2
16,10
16,20
16,22
16,31
16,24
16,18
17,1
17,2
17,4
17,31
17,13
18,26
18,27
18,2
18,4
18,15
18,29
18,32
18,31
19,26
19,2
19,4
19,9
19,22
19,20
19,31
19,24
19,25
19,29
19,32
20,1
20,2
20,4
20,15
20,9
20,20
20,22
20,31
20,24
21,26
21,27
21,2
21,4
21,15
21,9
21,10
21,20
21,22
21,29
21,32
21,31
21,24
21,25
21,12
21,18
22,26
22,27
22,2
22,4
22,6
22,8
22,9
22,20
22,22
22,29
22,32
22,31
23,26
23,2
23,4
23,34
23,14
23,9
23,10
23,20
23,22
23,23
23,29
23,32
23,31
23,24
23,25
23,12
23,16
23,17
24,1
24,7
24,14
24,31
25,26
25,2
25,4
25,30
25,7
25,10
25,20
25,21
25,22
25,29
25,32
25,31
25,24
25,13
25,33
26,26
26,27
26,2
26,4
26,29
26,32
26,31
27,26
27,27
27,2
27,3
27,34
27,19
27,28
27,30
27,10
27,20
27,21
27,22
27,29
27,32
27,31
27,24
27,25
27,16
27,17
27,18
27,11
27,13
27,33
28,1
28,2
28,14
28,15
28,9
28,20
28,22
28,31
28,18
29,1
29,15
29,22
29,31
30,1
30,2
30,4
30,34
30,35
30,20
30,21
30,22
30,31
30,9
30,12
30,33
31,1
31,2
31,15
31,8
31,22
31,31
32,1
32,27
32,2
32,4
32,19
32,10
32,20
32,22
32,31
32,24
32,25
33,26
33,2
33,4
33,14
33,20
33,22
33,29
33,32
33,31
