"effectId","effect"
1,"(Intercept)"
2,"DD"
3,"distanceToConspecific"
4,"dt"
5,"dummyDepth1Thick"
6,"dummyDepth3Shallow"
7,"dummyDepth4VeryShallow"
8,"dummyDrainage1xerique"
9,"dummyDrainage3subhydrique"
10,"dummyDrainage4hydrique"
11,"dummyPastDist2Fire"
12,"dummyPastDist3OtherNatural"
13,"dummyPastDist4Harvest"
14,"dummyPastOrigin2Fire"
15,"dummyPastOrigin3OtherNatural"
16,"dummyPastOrigin4Harvest"
17,"dummyTexture1Crude"
18,"dummyTexture3Fine"
19,"dummyUpcomingDist2Fire"
20,"dummyUpcomingDist3OtherNatural"
21,"dummyUpcomingDist4Harvest"
22,"dummyUpcomingOrigin2Fire"
23,"dummyUpcomingOrigin3OtherNatural"
24,"dummyUpcomingOrigin4Harvest"
25,"FrostDay"
26,"G_F"
27,"G_R"
28,"G_SpGr"
29,"hasExpo:cosExpo"
30,"lnDt"
31,"lnG_F"
32,"lnG_SpGr"
33,"lnPente"
34,"logDD"
35,"LOGdistanceToConspecific"
36,"logPrcp"
37,"LowestTmin"
38,"pentePerc"
39,"timeSince1970"
40,"TotalPrcp"
