"sp","effect"
1,1
1,2
1,26
1,27
1,32
2,1
2,4
2,40
2,25
2,27
2,26
2,35
2,24
2,39
3,1
3,4
3,2
3,34
3,40
3,7
3,9
3,10
3,26
3,27
3,35
3,28
3,32
3,22
3,23
3,24
3,15
3,16
3,21
3,12
3,13
3,39
4,1
4,26
4,27
4,35
4,16
5,1
5,4
5,26
5,27
5,32
5,14
6,1
6,4
6,37
6,7
6,38
6,31
6,27
6,3
6,32
6,15
6,16
7,1
7,30
7,2
7,34
7,36
7,25
7,18
7,7
7,9
7,10
7,26
7,27
7,3
7,35
7,28
7,32
7,22
7,23
7,24
7,14
7,16
7,19
7,20
7,12
7,39
8,1
8,40
8,38
8,26
8,27
8,35
8,32
8,39
9,1
9,2
9,35
9,28
9,16
9,13
10,1
10,4
10,25
10,5
10,8
10,27
10,32
11,1
11,4
11,40
11,25
11,37
11,38
11,17
11,7
11,9
11,10
11,26
11,27
11,35
11,28
11,32
11,24
11,15
11,16
11,21
11,13
12,1
12,4
12,40
12,36
12,8
12,26
12,27
12,35
13,1
13,4
13,17
13,6
13,26
13,27
13,35
13,29
14,1
14,30
14,2
14,38
14,26
14,35
14,28
14,24
15,1
15,30
15,2
15,34
15,37
15,8
15,26
15,27
15,35
15,32
15,21
15,13
15,39
15,29
16,1
16,4
16,34
16,26
16,27
16,28
16,32
17,1
17,38
17,27
18,1
18,4
18,34
18,26
18,27
18,35
18,32
18,21
19,1
19,26
19,27
19,35
19,32
19,39
20,1
20,4
20,34
20,5
20,7
20,26
20,27
20,28
20,20
20,21
20,12
21,1
21,4
21,2
21,34
21,40
21,17
21,18
21,7
21,10
21,26
21,27
21,35
21,32
21,23
21,24
21,14
21,16
21,19
21,20
21,21
22,1
22,4
22,40
22,26
22,27
22,35
22,14
22,16
23,1
23,4
23,34
23,18
23,9
23,10
23,26
23,27
23,28
23,32
23,22
23,14
23,12
23,13
24,1
24,36
24,6
24,26
24,16
25,1
25,4
25,40
25,36
25,9
25,26
25,27
25,35
25,32
25,24
25,16
25,12
25,39
26,1
26,4
26,18
26,26
26,35
26,28
26,32
26,24
26,21
27,1
27,4
27,2
27,34
27,40
27,37
27,7
27,9
27,10
27,26
27,31
27,27
27,35
27,28
27,32
27,23
27,24
27,14
27,15
27,16
27,20
27,11
27,12
27,13
27,39
27,29
28,1
28,4
28,26
28,27
28,35
28,32
29,1
29,26
29,32
30,1
30,2
30,26
30,27
30,35
30,16
31,1
31,17
31,5
31,7
31,9
31,27
32,1
32,4
32,37
32,33
32,9
32,31
32,27
32,35
32,32
32,21
32,13
33,1
33,30
33,17
33,26
33,27
