"effectId","effect"
1,"(Intercept)"
2,"classDrainage2xerique"
3,"classDrainage3subhydrique"
4,"classDrainage4hydrique"
5,"DD"
6,"depth22Average"
7,"depth23Shallow"
8,"depth24VeryShallow"
9,"FrostDay"
10,"G_TOT"
11,"Length"
12,"lnDt"
13,"lnG_TOT"
14,"lnN_TOT"
15,"lnPente"
16,"logDD"
17,"logDD:logPrcp"
18,"logLength"
19,"logPrcp"
20,"LowestTmin"
21,"N_TOT"
22,"originType2Fire"
23,"originType3OtherNatural"
24,"originType4Harvest"
25,"pastDisturbanceType2Fire"
26,"pastDisturbanceType3OtherNatural"
27,"pastDisturbanceType4Harvest"
28,"pentePerc"
29,"texture2Mixed"
30,"texture3Fine"
31,"timeSince1970"
32,"TotalPrcp"
33,"upcomingDisturbanceType2Fire"
34,"upcomingDisturbanceType3OtherNatural"
35,"upcomingDisturbanceType4Harvest"
