"sp","effect"
1,1
1,5
1,16
1,32
1,19
1,6
1,7
1,8
1,10
1,21
1,31
1,17
2,1
2,12
2,5
2,16
2,19
2,15
2,6
2,7
2,8
2,29
2,30
2,10
2,13
2,21
2,22
2,23
2,24
2,25
2,26
2,27
2,17
3,1
3,12
3,5
3,16
3,32
3,19
3,20
3,15
3,29
3,30
3,6
3,7
3,8
3,2
3,3
3,4
3,10
3,13
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,33
3,34
3,35
3,17
4,1
4,5
4,16
4,32
4,15
4,10
4,17
5,1
5,5
5,16
5,32
5,15
5,6
5,7
5,8
5,10
5,13
5,17
6,1
6,12
6,5
6,16
6,20
6,9
6,15
6,2
6,3
6,4
6,10
6,13
6,22
6,23
6,24
6,25
6,26
6,27
6,31
7,1
7,12
7,5
7,16
7,32
7,19
7,20
7,15
7,6
7,7
7,8
7,29
7,30
7,2
7,3
7,4
7,10
7,13
7,21
7,22
7,23
7,24
7,25
7,26
7,27
7,31
7,17
8,1
8,5
8,16
8,32
8,19
8,10
8,21
8,31
9,1
9,5
9,16
9,32
9,20
9,15
9,10
9,13
9,21
10,1
10,5
10,16
10,32
10,11
10,18
10,20
10,15
10,29
10,30
10,2
10,3
10,4
10,10
10,13
10,25
10,26
10,27
10,31
11,1
11,12
11,5
11,16
11,20
11,9
11,6
11,7
11,8
11,29
11,30
11,2
11,3
11,4
11,10
11,13
11,21
11,22
11,23
11,24
11,31
12,1
12,12
12,5
12,16
12,32
12,19
12,20
12,28
12,15
12,6
12,7
12,8
12,29
12,30
12,2
12,3
12,4
12,10
12,13
12,21
12,22
12,23
12,24
12,25
12,26
12,27
12,33
12,34
12,35
12,31
12,17
13,1
13,5
13,16
13,15
13,29
13,30
13,10
13,31
13,17
14,1
14,5
14,16
14,15
14,29
14,30
14,2
14,3
14,4
14,13
14,31
15,1
15,5
15,16
15,32
15,11
15,6
15,7
15,8
15,29
15,30
15,2
15,3
15,4
15,13
15,21
15,25
15,26
15,27
16,1
16,15
16,2
16,3
16,4
16,10
16,21
16,31
17,1
17,5
17,16
17,10
17,31
18,1
18,5
18,16
18,15
18,6
18,7
18,8
18,2
18,3
18,4
18,10
18,13
18,31
19,1
19,5
19,16
19,15
19,2
19,3
19,4
19,10
19,21
19,31
20,1
20,12
20,5
20,16
20,29
20,30
20,2
20,3
20,4
20,10
20,21
20,22
20,23
20,24
20,31
21,1
21,5
21,16
21,11
21,15
21,29
21,30
21,2
21,3
21,4
21,10
22,1
22,5
22,16
22,32
22,19
22,6
22,7
22,8
22,29
22,30
22,10
23,1
23,5
23,16
23,32
23,19
23,11
23,6
23,7
23,8
23,29
23,30
23,2
23,3
23,4
23,10
23,13
23,21
23,22
23,23
23,24
23,25
23,26
23,27
23,33
23,34
23,35
23,31
24,1
24,5
24,16
24,2
24,3
24,4
24,10
25,1
25,12
25,5
25,16
25,32
25,28
25,15
25,6
25,7
25,8
25,29
25,30
25,2
25,3
25,4
25,10
25,13
25,21
25,22
25,23
25,24
25,31
26,1
26,5
26,16
26,32
26,19
26,6
26,7
26,8
26,10
27,1
27,12
27,16
27,19
27,11
27,20
27,15
27,29
27,30
27,2
27,3
27,4
27,10
27,13
27,21
27,14
27,22
27,23
27,24
27,25
27,26
27,27
27,33
27,34
27,35
27,31
27,17
28,1
28,5
28,16
28,29
28,30
28,2
28,3
28,4
28,10
28,13
29,1
29,5
29,16
29,10
30,1
30,5
30,16
30,32
30,19
30,20
30,15
30,29
30,30
30,10
30,13
30,21
30,31
30,17
31,1
31,5
31,10
32,1
32,12
32,5
32,16
32,32
32,19
32,2
32,3
32,4
32,21
32,14
32,10
32,22
32,23
32,24
32,25
32,26
32,27
33,1
33,5
33,16
33,15
33,29
33,30
33,10
