"Model","Effect"
0,"Intercept"
0,"EXCAUSLag4"
0,"CLIMCOSTLAG"
0,"FEDFUNDSLag1"
1,"Intercept"
1,"EXCAUSLag4"
1,"CLIMCOSTLAG"
1,"PSAVERTLag4"
1,"FEDFUNDSLag3"
2,"Intercept"
2,"CLIMCOSTLAG"
2,"DummyCovid1"
3,"Intercept"
3,"HOUST"
3,"CLIMCOSTLAG"
3,"PSAVERTLag4"
3,"DummyCovid1"
4,"Intercept"
4,"HOUST"
4,"CLIMCOSTLAG"
4,"PSAVERTLag4"
5,"Intercept"
5,"HOUST"
5,"CLIMCOSTLAG"
5,"PSAVERTLag4"
6,"Intercept"
6,"HOUST"
6,"PSAVERTLag4"
6,"FEDFUNDSLag3"
7,"Intercept"
7,"EXCAUSLag1"
7,"HOUST"
7,"CLIMCOSTLAG"
7,"PSAVERTLag4"
