"","species","sigma"
"1","Pinusbanksiana",0.397433353193343
"2","Acersaccharum",0.584026837186166
"3","Piceamariana",0.571342144529546
"4","Populustremuloides",0.474296212963479
"5","Abiesbalsamea",0.463815931834712
"6","Betulapapyrifera",0.471187873802968
"7","Piceaglauca",0.467407390277616
"8","Fagusgrandifolia",0.598205390989302
"9","Pinusstrobus",0.493379652764358
"10","Betulaalleghaniensis",0.569948821461988
"11","Pinusresinosa",0.446483087464871
"12","Fraxinusamericana",0.520434844297444
"13","Acerrubrum",0.573607027908081
"14","Quercusrubra",0.457411388333443
"15","Thujaoccidentalis",0.442771060858026
"16","Ostryavirginiana",0.455034133592552
"17","Tiliaamericana",0.572779785715956
"18","Prunusserotina",0.554644796305661
"19","Tsugacanadensis",0.504082345173878
"20","Populusbalsamifera",0.435113376694796
"21","Caryasp.",0.443383980620077
"22","Larixlaricina",0.516388027424195
"23","Quercussp.",0.466627792389685
"24","Populusgrandidentata",0.465081847587487
"25","Fraxinusnigra",0.459301535254984
"26","Ulmussp.",0.604024715600589
"27","Acersaccharinum",0.623352658703498
"28","Fraxinuspennsylvanica",0.541243265210609
"29","Juglanssp.",0.632221447703464
"30","Prunuspensylvanica",0.541180294394795
"31","Acerpensylvanicum",0.265476203807251
"32","Liriodendrontulipifera",0.664616076571073
