"sp","estimate"
"Abies balsamea",0.29863352200207
"Abies balsamea",-0.0020866803818671
"Abies balsamea",0.00011850856033083
"Abies balsamea",-0.0014869263230936
"Abies balsamea",7.47747671860972e-05
"Abies balsamea",6.99251113095282e-05
"Abies balsamea",-0.0353582327040791
"Abies balsamea",-2.29550317711991e-05
"Abies balsamea",-1.59270812507318e-05
"Abies balsamea",0.053595100641506
"Abies balsamea",5.41210605320867e-05
"Abies balsamea",-4.08731039140234e-06
"Abies balsamea",-3.97801441364455e-06
"Abies balsamea",-2.01407335964404e-06
"Abies balsamea",2.94032104617527e-07
"Abies balsamea",0.00363880343858968
"Abies balsamea",0.000127661115802065
"Abies balsamea",7.74510844774838e-05
"Abies balsamea",3.61690605332156e-05
"Abies balsamea",1.44169495357603e-06
"Abies balsamea",0.0182446526581536
"Abies balsamea",0.033933092602651
"Abies balsamea",0.00011504521381334
"Abies balsamea",6.87405797956925e-05
"Abies balsamea",-0.003934272497285
"Abies balsamea",-2.90065594978577e-07
"Abies balsamea",0.000143466551158054
"Abies balsamea",0.0544823410987042
"Abies balsamea",0.0115061900355528
"Abies balsamea",3.75644667779787e-06
"Abies balsamea",-8.39359900423227e-07
"Abies balsamea",-0.0015666582883713
"Abies balsamea",-2.93115333247896e-07
"Abies balsamea",0.000465702870889872
"Abies balsamea",0.00181386705131572
"Abies balsamea",0.000532960288214131
"Acer pensylvanicum",0.211134855274258
"Acer rubrum",0.96545862111559
"Acer rubrum",0.000355596821949933
"Acer rubrum",4.61714805714396e-05
"Acer rubrum",-3.27638085869755e-05
"Acer rubrum",-3.11179002688225e-07
"Acer rubrum",9.02928098794251e-08
"Acer rubrum",-0.0530755626827181
"Acer rubrum",-7.53701656843019e-05
"Acer rubrum",-1.07480434600543e-06
"Acer rubrum",0.00313404583758773
"Acer saccharinum",6.39641927931365
"Acer saccharinum",-0.0233078484138642
"Acer saccharinum",0.000564694334089108
"Acer saccharinum",-0.782527012848959
"Acer saccharinum",0.00169638705332375
"Acer saccharinum",0.100980040680641
"Acer saccharum",0.170478113270685
"Acer saccharum",-0.00230072068400589
"Acer saccharum",0.000152777323896754
"Acer saccharum",2.60720974926565e-05
"Acer saccharum",-1.78786769883536e-06
"Acer saccharum",2.22105154361174e-08
"Acer saccharum",-0.000994423600306173
"Acer saccharum",6.7286418566368e-05
"Acer saccharum",-7.02972927334247e-07
"Acer saccharum",4.38656167890831e-05
"Acer saccharum",-0.00303573996109128
