"speciesId","species"
1,"Abies balsamea"
2,"Acer pensylvanicum"
3,"Acer rubrum"
4,"Acer saccharinum"
5,"Acer saccharum"
6,"Betula alleghaniensis"
7,"Betula papyrifera"
8,"Fagus grandifolia"
9,"Fraxinus americana"
10,"Fraxinus nigra"
11,"Fraxinus pennsylvanica"
12,"Larix laricina"
13,"Meridional species"
14,"Ostrya virginiana"
15,"Picea glauca"
16,"Picea mariana"
17,"Pinus banksiana"
18,"Pinus resinosa"
19,"Pinus strobus"
20,"Populus balsamifera"
21,"Populus grandidentata"
22,"Populus tremuloides"
23,"Prunus pensylvanica"
24,"Prunus serotina"
25,"Quercus rubra"
26,"Shrubs"
27,"Thuja occidentalis"
28,"Tilia americana"
29,"Tsuga canadensis"
30,"Ulmus sp."
