"sp","effect"
1,1
1,3
1,4
1,6
1,12
1,21
1,22
2,1
2,8
3,1
3,8
4,1
4,8
5,1
5,8
5,9
5,6
5,13
5,23
6,1
6,3
6,8
6,9
6,6
6,16
7,1
7,3
7,8
7,20
7,23
8,1
8,8
8,19
8,15
9,1
9,4
9,8
9,9
10,1
10,8
10,12
10,19
11,1
11,8
11,4
11,5
12,1
12,6
12,19
12,21
13,1
13,8
13,4
14,1
14,4
14,8
14,23
15,1
15,3
15,8
15,12
15,23
15,24
16,1
16,3
16,4
16,5
16,6
16,7
16,13
17,1
17,4
17,5
17,6
17,7
17,17
17,18
17,23
18,1
18,3
18,4
18,6
18,20
18,10
18,11
18,25
19,1
19,3
19,4
19,6
19,19
19,13
19,14
19,21
20,1
20,8
20,9
20,21
20,22
21,1
22,1
22,3
22,4
22,5
22,6
22,7
22,13
22,14
22,21
23,1
23,4
23,5
23,6
23,19
24,1
24,4
24,5
24,25
25,1
25,8
25,2
26,1
26,6
26,7
27,1
27,8
27,9
27,4
27,6
27,7
27,23
27,24
28,1
29,1
30,1
30,8
