"sp","effect"
1,1
1,6
1,7
1,4
1,19
1,8
1,9
2,1
3,1
3,2
3,6
3,12
3,13
3,3
4,1
5,1
5,2
5,4
5,5
5,6
5,11
5,18
6,1
6,2
6,4
6,6
6,19
6,7
6,11
7,1
7,19
7,8
7,9
7,4
7,6
7,7
7,12
7,13
7,20
8,1
8,2
8,8
8,9
8,19
8,11
8,23
9,1
9,4
9,19
10,1
10,4
10,11
10,10
11,1
11,2
12,1
12,19
13,1
14,1
14,19
15,1
15,4
15,6
15,19
15,12
16,1
16,2
16,4
16,6
16,19
16,8
16,9
16,18
16,21
16,22
17,1
17,4
17,6
17,8
17,9
17,16
17,17
18,1
18,6
18,8
18,20
19,1
19,19
19,6
19,7
19,4
19,10
19,3
20,1
21,1
22,1
22,4
22,6
22,7
22,19
22,8
22,9
22,14
22,15
23,1
24,1
25,1
26,1
27,1
27,8
27,9
27,18
28,1
29,1
30,1
30,8
