"sp","Theta"
1,1.41667036288083
2,0.29514490247539
3,0.796835460415211
4,4.92277168433388
5,1.12813498429781
6,1.17993598872345
7,1.681657038731
8,1.34248700014388
9,1.45114119872605
10,1.3666591796793
11,0.947272904221426
12,1.26985723200947
13,2.21662331370862
14,0.734226337173884
15,2.00319173458651
16,1.07612884582255
17,1.60163446592155
18,0.200994426353975
19,2.02340455838408
20,1.64949625074239
21,0.449709712129778
22,0.984492884731372
23,1.3631347076649
24,1.54909071730078
25,5.17163589690145
26,0.519925604692408
27,0.951654621780975
28,2.60025267731136
29,1.05664445400593
30,0.0719623075992811
