"effectId","effect"
1,"(Intercept)"
2,"DD"
3,"DD2"
4,"FrostFreeDay"
5,"G_F"
6,"G_F2"
7,"G_R"
8,"G_R2"
9,"G_SpGr"
10,"G_SpGr2"
11,"HitghestTmax"
12,"HitghestTmax2"
13,"intercept"
14,"isHarvested"
15,"lnDt"
16,"LowestTmin"
17,"LowestTmin2"
18,"MeanTair"
19,"MeanTempJuneToAugust"
20,"MeanTempJuneToAugust2"
21,"MeanTmaxJuly"
22,"MeanTminJanuary"
23,"MeanTminJanuary2"
24,"occIndex25km"
25,"slopePct_PDEM_mean"
26,"speciesThere"
27,"sqr(occIndex25km)"
28,"TotalPrcp"
29,"TotalPrcp2"
30,"TotalPrecJuneToAugust"
31,"TotalPrecJuneToAugust2"
32,"TotalPrecMarchToMay"
33,"wasHarvested"
