"","species","sigma"
"1","Pinusbanksiana",0.402220330549679
"2","Acersaccharum",0.605959624920052
"3","Piceamariana",0.593812313879094
"4","Populustremuloides",0.482568266352421
"5","Abiesbalsamea",0.465320156672459
"6","Betulapapyrifera",0.473680826446082
"7","Piceaglauca",0.469370667178233
"8","Fagusgrandifolia",0.606102781387684
"9","Pinusstrobus",0.519243760959644
"10","Betulaalleghaniensis",0.600480915036889
"11","Pinusresinosa",0.451910451799171
"12","Fraxinusamericana",0.531591171968721
"13","Acerrubrum",0.619673461171543
"14","Quercusrubra",0.516010106391571
"15","Thujaoccidentalis",0.455523157128637
"16","Ostryavirginiana",0.46953701192438
"17","Tiliaamericana",0.596538478251352
"18","Prunusserotina",0.597822143545821
"19","Tsugacanadensis",0.554541047962684
"20","Populusbalsamifera",0.459577954528502
"21","Caryasp.",0.483448846449012
"22","Larixlaricina",0.516388027424195
"23","Quercussp.",0.466627792389685
"24","Populusgrandidentata",0.515986244218558
"25","Fraxinusnigra",0.486257417586722
"26","Ulmussp.",0.667987626979697
"27","Acersaccharinum",0.699102305137055
"28","Fraxinuspennsylvanica",0.53771602347093
"29","Juglanssp.",0.632221447703464
"30","Prunuspensylvanica",0.541180294394795
"31","Acerpensylvanicum",0.264986337726918
"32","Liriodendrontulipifera",0.664616076571073
