"","species","value"
"1","Pinus banksiana",0.00518379014485713
"2","Pinus banksiana",-4.82237615620456e-06
"3","Pinus banksiana",2.38483736891185e-07
"4","Pinus banksiana",-4.14028356193959e-06
"5","Pinus banksiana",2.30573920843491e-07
"6","Pinus banksiana",3.86400027471754e-07
"7","Pinus banksiana",-1.03389953017577e-05
"8","Pinus banksiana",-2.41089338795535e-08
"9","Pinus banksiana",-1.72394196871207e-09
"10","Pinus banksiana",8.40898752904751e-07
"11","Pinus banksiana",5.9965195855153e-05
"12","Pinus banksiana",-3.38540271462523e-08
"13","Pinus banksiana",-3.68648288864954e-08
"14","Pinus banksiana",-3.61960403516815e-08
"15","Pinus banksiana",1.31561089260754e-06
"16","Pinus banksiana",-3.62630887601843e-06
"17","Pinus banksiana",1.76480743063396e-09
"18","Pinus banksiana",8.94176494380458e-10
"19","Pinus banksiana",-4.00776278260604e-09
"20","Pinus banksiana",-4.11380984297987e-08
"21","Pinus banksiana",9.16776431959167e-09
"22","Pinus banksiana",-0.000156433222370995
"23","Pinus banksiana",3.62029577801419e-08
"24","Pinus banksiana",-7.2923010674655e-09
"25","Pinus banksiana",1.57571166787615e-07
"26","Pinus banksiana",-1.37818222102936e-06
"27","Pinus banksiana",7.82160098624601e-08
"28","Pinus banksiana",5.98618966775317e-06
"29","Pinus banksiana",7.07579201441731e-05
"30","Pinus banksiana",4.53911733292563e-08
"31","Pinus banksiana",7.14293660990248e-08
"32","Pinus banksiana",-4.42095495525865e-07
"33","Pinus banksiana",3.47447029156376e-08
"34","Pinus banksiana",2.94310827009976e-08
"35","Pinus banksiana",-1.62916349616795e-06
"36","Pinus banksiana",6.78353770615738e-06
"37","Pinus banksiana",2.17459055596241e-07
"38","Pinus banksiana",-1.5574155254941e-08
"39","Pinus banksiana",-2.52382051980251e-08
"40","Pinus banksiana",-5.62041135029461e-10
"41","Pinus banksiana",1.82285003828868e-09
"42","Pinus banksiana",1.19123757777475e-11
"43","Pinus banksiana",1.7782689446885e-09
"44","Pinus banksiana",-3.35426849351665e-09
"45","Pinus banksiana",1.8163359756998e-09
"46","Acer saccharum",0.00518379014485713
"47","Acer saccharum",-4.82237615620456e-06
"48","Acer saccharum",2.38483736891185e-07
"49","Acer saccharum",-4.14028356193959e-06
"50","Acer saccharum",2.30573920843491e-07
"51","Acer saccharum",3.86400027471754e-07
"52","Acer saccharum",-1.03389953017577e-05
"53","Acer saccharum",-2.41089338795535e-08
"54","Acer saccharum",-1.72394196871207e-09
"55","Acer saccharum",8.40898752904751e-07
"56","Acer saccharum",5.9965195855153e-05
"57","Acer saccharum",-3.38540271462523e-08
"58","Acer saccharum",-3.68648288864954e-08
"59","Acer saccharum",-3.61960403516815e-08
"60","Acer saccharum",1.31561089260754e-06
"61","Acer saccharum",-3.62630887601843e-06
"62","Acer saccharum",1.76480743063396e-09
"63","Acer saccharum",8.94176494380458e-10
"64","Acer saccharum",-4.00776278260604e-09
"65","Acer saccharum",-4.11380984297987e-08
"66","Acer saccharum",9.16776431959167e-09
"67","Acer saccharum",-0.000156433222370995
"68","Acer saccharum",3.62029577801419e-08
"69","Acer saccharum",-7.2923010674655e-09
"70","Acer saccharum",1.57571166787615e-07
