"sp","Estimate"
"Abies balsamea",-4.40620414711969
"Abies balsamea",0.0902388465711516
"Abies balsamea",0.0621613342383127
"Abies balsamea",1.47215418577311
"Abies balsamea",-0.00280278057693324
"Abies balsamea",-0.536463295503514
"Abies balsamea",2.31975282458874
"Abies balsamea",0.086895444262279
"Acer pensylvanicum",-0.663430187209104
"Acer pensylvanicum",-0.0649193002637001
"Acer pensylvanicum",0.824952450453144
"Acer rubrum",-0.21959738494421
"Acer rubrum",0.0324196837878826
"Acer rubrum",0.926960696538209
"Acer rubrum",-0.273516503665082
"Acer saccharinum",-3.39989825758158
"Acer saccharinum",-0.0650419547321372
"Acer saccharum",-2.40337870725413
"Acer saccharum",-0.0889957660080169
"Acer saccharum",0.00156174663897628
"Acer saccharum",0.0719545313698101
"Acer saccharum",0.589420734443055
"Acer saccharum",-0.00194784267407436
"Acer saccharum",-0.132149721254156
"Betula alleghaniensis",-5.85461295706472
"Betula alleghaniensis",0.021690566024028
"Betula alleghaniensis",0.0935780362280485
"Betula alleghaniensis",-0.0024758734721455
"Betula papyrifera",-2.2739024272415
"Betula papyrifera",0.0413543849540438
"Betula papyrifera",1.10329292852581
"Betula papyrifera",-0.0014860266061107
"Betula papyrifera",0.125422926492611
"Betula papyrifera",-1.66929849507674
"Carya sp.",-5.53559073072175
"Carya sp.",0.0319316652094204
"Fagus grandifolia",-6.24439842170257
"Fagus grandifolia",0.0404979460427217
"Fagus grandifolia",0.0659602717524495
"Fagus grandifolia",0.781145288054364
"Fagus grandifolia",-0.00242573589246584
"Fraxinus americana",-5.68009749497601
"Fraxinus americana",0.0672870531776038
"Fraxinus nigra",-13.3386161673129
"Fraxinus nigra",0.481464869454995
"Fraxinus pennsylvanica",-4.29197142552784
"Juglans sp.",-4.76511232940175
"Juglans sp.",0.070652081800932
"Larix laricina",-16.0810998392576
"Larix laricina",0.0482899296073388
"Meridional species",-3.07017948303735
"Ostrya virginiana",-2.18063780202184
"Ostrya virginiana",0.0361636841502146
"Ostrya virginiana",0.485804162694754
"Ostrya virginiana",-0.144059645058783
"Picea glauca",-6.29680239521
"Picea glauca",0.0888617025563088
"Picea glauca",0.148803918913408
"Picea glauca",1.06645821846312
"Picea glauca",-0.00538455269556278
"Picea glauca",0.0979490650990853
"Picea mariana",-9.05976181653744
"Picea mariana",0.112122168037995
"Picea mariana",0.112604302686548
"Picea mariana",0.529782062259369
"Picea mariana",-0.00457772994872526
"Picea mariana",0.00722676242560388
"Picea mariana",-0.635995704458444
"Pinus banksiana",0.0864412106286213
"Pinus banksiana",0.085334873359552
"Pinus banksiana",0.218113625801012
"Pinus banksiana",-0.00808127568778761
"Pinus banksiana",-0.972904895376949
"Pinus banksiana",0.746270861819398
"Pinus banksiana",0.0187845758971974
"Pinus resinosa",12.9023936495683
"Pinus resinosa",0.26615692499989
"Pinus resinosa",-7.17449223966278
"Pinus resinosa",0.0852885465892333
"Pinus resinosa",0.305083184189434
"Pinus strobus",-2.48159283654133
"Pinus strobus",-0.143747016066
"Pinus strobus",0.00167403713905255
"Pinus strobus",0.0335636357823275
"Pinus strobus",0.766722289059251
"Pinus strobus",0.0610869840492284
"Populus balsamifera",-5.14282566441314
"Populus balsamifera",0.035756053367793
"Populus grandidentata",-7.00536952847582
"Populus grandidentata",0.0726545522914248
"Populus grandidentata",0.19972715127136
"Populus grandidentata",-0.00579137341841264
"Populus tremuloides",-5.35540171257784
"Populus tremuloides",0.10065104555938
"Populus tremuloides",-1.51386660986657
"Populus tremuloides",0.129341541606151
"Populus tremuloides",-0.00272602715374436
"Populus tremuloides",-1.74199256830977
"Populus tremuloides",0.0137545107510866
"Prunus pensylvanica",-2.2693855972755
"Prunus serotina",-6.93958875204043
"Prunus serotina",0.294548754138871
"Prunus serotina",-0.00273155746228654
"Prunus serotina",-0.00633877960090209
"Quercus rubra",-5.62228447935617
"Quercus rubra",0.119849152501408
"Quercus rubra",-0.00378701290091574
"Quercus sp.",-9.64349321837463
"Quercus sp.",0.120154702385441
"Quercus sp.",-0.00554937540452281
"Quercus sp.",0.0225367250897153
"Shrubs",-1.83297265998072
"Thuja occidentalis",-6.78464082819198
"Thuja occidentalis",0.0295998909411226
"Tilia americana",-5.24278089257461
"Tilia americana",0.10612802316687
"Tilia americana",-0.00323265522530918
"Tsuga canadensis",-5.08194865668378
"Ulmus sp.",-3.980294323612
"Ulmus sp.",0.405974127052905
