"sp","estimate"
"Abies balsamea",1.33623401257274
"Acer pensylvanicum",0.284456610880611
"Acer rubrum",0.610254424568091
"Acer saccharinum",1.06015380286449
"Acer saccharum",0.771731203733792
"Betula alleghaniensis",1.04059027957512
"Betula papyrifera",1.49789598126167
"Fagus grandifolia",1.12860514932905
"Fraxinus americana",1.31766075700772
"Fraxinus nigra",0.563075540731576
"Larix laricina",5.9724402559227
"Ostrya virginiana",1.25012633474422
"Picea glauca",1.94150366428528
"Picea mariana",1.25018752088646
"Pinus banksiana",1.11014389795911
"Pinus resinosa",1.5953515700844
"Pinus strobus",0.551921676360726
"Populus balsamifera",2.46070303084005
"Populus grandidentata",2.02247183836774
"Populus tremuloides",1.52957062616221
"Prunus serotina",3.25221706484687
"Quercus rubra",1.7639304024807
"Quercus sp.",0.583582302779798
"Thuja occidentalis",1.20557363521748
"Tilia americana",0.815260108476325
"Tsuga canadensis",1.24179654943239
"Ulmus sp.",2.45310228877893
