"sp","estimate"
"Abies balsamea",0.247319924401688
"Abies balsamea",-0.00201466986138131
"Abies balsamea",0.000111714682486455
"Abies balsamea",-0.00143430691080827
"Abies balsamea",7.17215074928376e-05
"Abies balsamea",6.76161736594681e-05
"Abies balsamea",-0.0356515001309739
"Abies balsamea",1.03848316730581e-07
"Abies balsamea",5.51471645879109e-06
"Abies balsamea",0.0389479501583171
"Abies balsamea",5.63586990620668e-05
"Abies balsamea",-3.94382310639014e-06
"Abies balsamea",-3.85099154458151e-06
"Abies balsamea",-3.72383611006629e-06
"Abies balsamea",2.82956960984902e-07
"Abies balsamea",0.00428087098017352
"Abies balsamea",0.00011326613485868
"Abies balsamea",6.55761635435403e-05
"Abies balsamea",-0.000122560581932501
"Abies balsamea",1.6351273751698e-06
"Abies balsamea",0.0173123589257628
"Abies balsamea",0.0291526657901505
"Abies balsamea",8.62408389577659e-05
"Abies balsamea",5.55538943217504e-05
"Abies balsamea",-0.00434590516527801
"Abies balsamea",5.09389432954663e-07
"Abies balsamea",0.000333236236722234
"Abies balsamea",0.0533698329400164
"Abies balsamea",0.00934893979527794
"Abies balsamea",1.55104119313314e-06
"Abies balsamea",-9.88561046482776e-07
"Abies balsamea",-0.00158335995200489
"Abies balsamea",-1.42234420238564e-07
"Abies balsamea",0.000473553294438385
"Abies balsamea",0.00158058090586273
"Abies balsamea",0.000436950281858901
"Acer pensylvanicum",0.317639146135388
"Acer pensylvanicum",-0.0148471901048721
"Acer pensylvanicum",0.00078619291935298
"Acer pensylvanicum",0.0669320948075084
"Acer pensylvanicum",-0.00545409746405019
"Acer pensylvanicum",0.133439500128723
"Acer rubrum",0.964649454464198
"Acer rubrum",7.71062827411258e-05
"Acer rubrum",3.8956916829418e-05
"Acer rubrum",-0.0389784104256531
"Acer rubrum",4.46576040752673e-05
"Acer rubrum",0.0269410366314
"Acer rubrum",-0.0533841845007196
"Acer rubrum",-5.85414176686251e-05
"Acer rubrum",0.00172297539478693
"Acer rubrum",0.00305889653836138
"Acer saccharinum",0.372008866446709
"Acer saccharinum",-0.00877434890593204
"Acer saccharinum",0.000527514717355246
"Acer saccharum",0.146359907532741
"Acer saccharum",-0.00158175573507218
"Acer saccharum",0.000107332157761483
"Acer saccharum",1.7984702743604e-05
"Acer saccharum",-1.27202383250314e-06
"Acer saccharum",1.60340436813194e-08
"Acer saccharum",-0.000701800281120869
"Acer saccharum",4.75730995619298e-05
"Acer saccharum",-5.04159154578976e-07
"Acer saccharum",3.09245864784115e-05
"Acer saccharum",-0.00185472483617381
"Acer saccharum",-3.36265244370693e-05
"Acer saccharum",3.21697574194439e-07
"Acer saccharum",-2.63683939335475e-05
"Acer saccharum",0.00368275177357785
"Acer saccharum",3.198853681619e-05
"Acer saccharum",-2.3087556291972e-06
"Acer saccharum",2.64344484202104e-08
"Acer saccharum",-1.28874047088827e-06
"Acer saccharum",2.598132977683e-08
"Acer saccharum",7.26697158205771e-08
"Acer saccharum",-0.00685801666751622
"Acer saccharum",-1.73242137160315e-06
"Acer saccharum",-1.66548514595161e-08
"Acer saccharum",-9.34228879945947e-06
"Acer saccharum",0.000116918967472159
"Acer saccharum",9.64015225307502e-08
"Acer saccharum",0.000401670572050488
"Betula alleghaniensis",0.0727992208297309
"Betula alleghaniensis",-0.00145487495419548
"Betula alleghaniensis",4.57064432891658e-05
"Betula alleghaniensis",-0.00267284334406856
"Betula alleghaniensis",6.02733069800802e-05
"Betula alleghaniensis",0.000175126829890229
"Betula alleghaniensis",4.8914405001598e-05
"Betula alleghaniensis",-1.81936364802823e-06
"Betula alleghaniensis",-5.86878026523465e-06
"Betula alleghaniensis",3.32821178044789e-07
"Betula papyrifera",0.0507806978619616
"Betula papyrifera",-9.68232356541468e-05
"Betula papyrifera",2.30300950253697e-05
"Betula papyrifera",-0.00681434760156292
"Betula papyrifera",3.13665750870518e-05
"Betula papyrifera",0.0621161619663529
"Betula papyrifera",-1.22760228085432e-05
"Betula papyrifera",-1.20558978403383e-06
"Betula papyrifera",-5.66842846289124e-06
"Betula papyrifera",1.258271992899e-07
"Betula papyrifera",0.00197442385295259
"Betula papyrifera",2.46647241971753e-06
"Betula papyrifera",-0.000209288169878574
"Betula papyrifera",-1.34242570525659e-07
"Betula papyrifera",9.46860168019025e-05
"Betula papyrifera",-0.000894312094032583
"Betula papyrifera",-7.10668608143838e-05
"Betula papyrifera",0.00163983923886042
"Betula papyrifera",6.98611157655539e-06
"Betula papyrifera",7.84563828919118e-05
"Betula papyrifera",0.0555711238983662
"Carya sp.",0.117124136021807
"Carya sp.",-0.00502231199372591
"Carya sp.",0.000258787445835405
"Fagus grandifolia",0.117517762873465
"Fagus grandifolia",-0.00266662257533022
"Fagus grandifolia",7.7673971486621e-05
"Fagus grandifolia",-0.00352261863866028
"Fagus grandifolia",9.1865679223499e-05
"Fagus grandifolia",0.000157748976067793
"Fagus grandifolia",-0.00564777684672441
"Fagus grandifolia",1.71012033774277e-05
"Fagus grandifolia",-2.33787434883657e-06
"Fagus grandifolia",0.0295056850794221
"Fagus grandifolia",6.66835296662021e-05
"Fagus grandifolia",-2.52938913161424e-06
"Fagus grandifolia",-4.65985713559647e-06
"Fagus grandifolia",-7.12888042754703e-06
"Fagus grandifolia",2.47132551476258e-07
"Fraxinus americana",0.0313875361112967
"Fraxinus americana",-0.000902648108351973
