"","species","value"
"1","Pinus banksiana",0.00157025776215258
"2","Pinus banksiana",-3.94983150706349e-06
"3","Pinus banksiana",2.32595886793069e-07
"4","Pinus banksiana",-3.63921958142053e-06
"5","Pinus banksiana",2.25321393475919e-07
"6","Pinus banksiana",3.78938720916501e-07
"7","Pinus banksiana",-4.78745330485e-06
"8","Pinus banksiana",-2.38915463192804e-08
"9","Pinus banksiana",-3.48039029491276e-09
"10","Pinus banksiana",8.28787837079362e-07
"11","Pinus banksiana",5.54917179509319e-05
"12","Pinus banksiana",-2.19315468419485e-08
"13","Pinus banksiana",2.46281032573803e-09
"14","Pinus banksiana",5.49159493925888e-09
"15","Pinus banksiana",2.52947586693658e-06
"16","Pinus banksiana",-2.53972563943132e-06
"17","Pinus banksiana",8.04976554094692e-10
"18","Pinus banksiana",-5.35412786588397e-10
"19","Pinus banksiana",-3.22570404047075e-09
"20","Pinus banksiana",-5.93246381900402e-08
"21","Pinus banksiana",8.54920684727895e-09
"22","Pinus banksiana",1.79421496600512e-05
"23","Pinus banksiana",5.33016460200364e-08
"24","Pinus banksiana",1.30035265197302e-07
"25","Pinus banksiana",-6.80334589048573e-07
"26","Pinus banksiana",-2.21066702482317e-08
"27","Pinus banksiana",-4.25687228535552e-09
"28","Pinus banksiana",1.30297036174557e-05
"29","Pinus banksiana",-5.81813331465388e-05
"30","Pinus banksiana",3.4321908185283e-09
"31","Pinus banksiana",-6.1940541918202e-08
"32","Pinus banksiana",-9.73748173166396e-08
"33","Pinus banksiana",-3.0513849987305e-06
"34","Pinus banksiana",7.61261660829669e-08
"35","Pinus banksiana",9.27630350786222e-07
"36","Pinus banksiana",5.98237855807953e-06
"37","Pinus banksiana",2.11027743269731e-07
"38","Pinus banksiana",-1.5238089782499e-08
"39","Pinus banksiana",-2.4760286720455e-08
"40","Pinus banksiana",-4.16311854096739e-10
"41","Pinus banksiana",-4.72199489216173e-10
"42","Pinus banksiana",7.67260807024405e-11
"43","Pinus banksiana",-7.50238665139695e-09
"44","Pinus banksiana",4.34568726656854e-09
"45","Pinus banksiana",1.78119313979167e-09
"46","Acer saccharum",0.0197640667852238
"47","Acer saccharum",-4.14488378646028e-06
"48","Acer saccharum",1.37806144122647e-07
"49","Acer saccharum",-3.96601375543132e-06
"50","Acer saccharum",1.68661979998536e-07
"51","Acer saccharum",3.1831695915031e-07
"52","Acer saccharum",-1.01281735985233e-05
"53","Acer saccharum",2.03380767865217e-08
"54","Acer saccharum",7.37974394584824e-09
"55","Acer saccharum",1.53731377548268e-06
"56","Acer saccharum",-3.07506118605758e-06
"57","Acer saccharum",6.83501518797921e-11
"58","Acer saccharum",-8.76544018292636e-12
"59","Acer saccharum",1.17585748544295e-09
"60","Acer saccharum",5.1554951017621e-10
"61","Acer saccharum",-0.0003114947221554
"62","Acer saccharum",-2.46138570984544e-08
"63","Acer saccharum",-9.24612249879532e-08
"64","Acer saccharum",-2.98582618470209e-07
"65","Acer saccharum",3.63736354329837e-08
"66","Acer saccharum",1.06632271162256e-05
"67","Acer saccharum",8.25987334467324e-05
"68","Acer saccharum",4.90120533724086e-08
"69","Acer saccharum",2.33224288337662e-08
"70","Acer saccharum",1.98446652106914e-07
"71","Acer saccharum",-4.17985662709e-09
"72","Acer saccharum",-7.15592719938608e-06
"73","Acer saccharum",9.40901146049718e-06
"74","Acer saccharum",1.15641738104248e-07
"75","Acer saccharum",-6.36153624886669e-09
"76","Acer saccharum",-1.14855152689533e-08
"77","Acer saccharum",3.98099245137375e-10
"78","Acer saccharum",4.48704181856698e-12
"79","Acer saccharum",5.15706111609977e-10
"80","Acer saccharum",7.10026900571481e-10
"81","Acer saccharum",5.72137433999201e-10
"82","Picea mariana",0.0065791685877141
"83","Picea mariana",-1.33261340035625e-05
"84","Picea mariana",9.99401580754369e-07
"85","Picea mariana",-8.71495647196244e-06
"86","Picea mariana",6.82651869877789e-07
"87","Picea mariana",7.59884874988644e-07
"88","Picea mariana",-5.15163480588724e-05
"89","Picea mariana",1.02680739770873e-07
"90","Picea mariana",3.3670120677043e-08
"91","Picea mariana",2.36964010131767e-06
"92","Picea mariana",-1.46868246801055e-05
"93","Picea mariana",1.11803310799089e-08
"94","Picea mariana",8.4232124640094e-09
"95","Picea mariana",1.309940950266e-07
"96","Picea mariana",1.92898620626926e-07
"97","Picea mariana",-0.000262703704965432
"98","Picea mariana",1.91547449035969e-07
"99","Picea mariana",1.23694513292372e-07
"100","Picea mariana",2.43868123070976e-06
"101","Picea mariana",1.2032871203703e-06
"102","Picea mariana",2.18862843562736e-05
"103","Picea mariana",0.000158882628008954
"104","Picea mariana",-4.78313092893491e-07
"105","Picea mariana",-3.54189807339225e-07
"106","Picea mariana",-2.68160877904665e-06
"107","Picea mariana",-2.81577653407228e-06
"108","Picea mariana",-2.88721446474773e-05
"109","Picea mariana",6.15920475731953e-05
"110","Picea mariana",5.97397245101337e-07
"111","Picea mariana",-5.00631033163043e-08
"112","Picea mariana",-5.54174593485587e-08
"113","Picea mariana",-6.38963116575506e-10
"114","Picea mariana",-1.0246611025756e-09
"115","Picea mariana",-9.07522056963824e-09
"116","Picea mariana",2.78566990316397e-08
"117","Picea mariana",4.34732389651156e-09
"118","Populus tremuloides",0.0368071970163224
"119","Populus tremuloides",-1.29216170856453e-05
"120","Populus tremuloides",4.08151957919298e-07
"121","Populus tremuloides",-2.07561928978666e-05
"122","Populus tremuloides",3.89958803406803e-07
"123","Populus tremuloides",6.74169922516365e-07
"124","Populus tremuloides",-2.82764327274827e-05
