"Species","speciesID"
"Abies balsamea",1
"Acer pensylvanicum",2
"Acer rubrum",3
"Acer saccharinum",4
"Acer saccharum",5
"Betula alleghaniensis",6
"Betula papyrifera",7
"Carya sp.",8
"Fagus grandifolia",9
"Fraxinus americana",10
"Fraxinus nigra",11
"Fraxinus pennsylvanica",12
"Juglans sp.",13
"Larix laricina",14
"Meridional species",15
"Ostrya virginiana",16
"Picea glauca",17
"Picea mariana",18
"Pinus banksiana",19
"Pinus resinosa",20
"Pinus strobus",21
"Populus balsamifera",22
"Populus grandidentata",23
"Populus tremuloides",24
"Prunus pensylvanica",25
"Prunus serotina",26
"Quercus rubra",27
"Quercus sp.",28
"Shrubs",29
"Thuja occidentalis",30
"Tilia americana",31
"Tsuga canadensis",32
"Ulmus sp.",33
