"speciesID","EffectID"
1,1
1,7
1,5
1,15
1,2
1,17
2,1
3,1
3,7
3,5
3,9
3,22
4,1
4,2
5,1
5,7
5,5
5,15
5,2
5,17
5,8
5,24
5,14
6,1
6,7
6,5
6,15
6,9
6,8
6,21
6,13
7,1
7,7
7,5
7,15
7,9
7,10
7,24
7,14
8,1
8,7
8,15
8,2
8,24
9,1
9,7
9,5
9,15
9,9
9,22
9,8
9,4
10,1
10,7
10,15
10,9
10,8
12,1
12,15
11,1
11,7
11,15
11,20
13,1
13,7
14,1
14,7
14,15
14,9
15,1
16,1
16,7
16,9
16,22
16,19
17,1
17,7
17,5
17,15
17,2
17,3
17,22
17,19
18,1
18,7
18,5
18,15
18,2
18,3
18,18
18,6
19,1
19,7
19,5
19,15
19,2
19,3
19,19
19,11
19,25
20,1
20,7
20,5
20,15
20,9
20,8
20,22
20,18
20,21
20,16
21,1
21,7
21,5
21,15
21,2
21,3
21,23
22,1
22,7
22,5
22,15
22,2
22,4
23,1
23,7
23,2
24,1
24,7
24,2
24,8
24,5
24,15
24,20
24,12
24,25
25,1
26,1
26,7
26,2
27,1
27,7
27,15
27,2
27,8
27,18
28,1
28,7
28,15
28,2
29,1
30,1
30,7
30,2
31,1
31,7
31,2
32,1
32,7
32,2
33,1
33,7
33,5
33,15
