"sp","EffectID"
"Abies balsamea",0
"Abies balsamea",1
"Abies balsamea",2
"Abies balsamea",3
"Abies balsamea",4
"Abies balsamea",5
"Abies balsamea",6
"Abies balsamea",7
"Acer pensylvanicum",0
"Acer rubrum",0
"Acer rubrum",2
"Acer rubrum",8
"Acer rubrum",9
"Acer saccharinum",0
"Acer saccharinum",1
"Acer saccharinum",10
"Acer saccharum",0
"Acer saccharum",1
"Acer saccharum",11
"Acer saccharum",2
"Acer saccharum",3
"Acer saccharum",4
"Acer saccharum",9
"Betula alleghaniensis",0
"Betula alleghaniensis",2
"Betula alleghaniensis",4
"Betula alleghaniensis",8
"Betula papyrifera",0
"Betula papyrifera",2
"Betula papyrifera",3
"Betula papyrifera",4
"Betula papyrifera",8
"Betula papyrifera",7
"Betula papyrifera",5
"Carya sp.",0
"Fagus grandifolia",0
"Fagus grandifolia",1
"Fagus grandifolia",2
"Fagus grandifolia",3
"Fagus grandifolia",4
"Fraxinus americana",0
"Fraxinus americana",2
"Fraxinus nigra",0
"Fraxinus pennsylvanica",0
"Juglans sp.",0
"Larix laricina",0
"Larix laricina",12
"Meridional species",0
"Ostrya virginiana",0
"Ostrya virginiana",2
"Ostrya virginiana",3
"Picea glauca",0
"Picea glauca",1
"Picea glauca",2
"Picea glauca",3
"Picea glauca",4
"Picea glauca",7
"Picea mariana",0
"Picea mariana",1
"Picea mariana",2
"Picea mariana",13
"Picea mariana",11
"Picea mariana",3
"Picea mariana",4
"Picea mariana",8
"Picea mariana",5
"Picea mariana",14
"Picea mariana",7
"Pinus banksiana",0
"Pinus banksiana",1
"Pinus banksiana",2
"Pinus banksiana",4
"Pinus banksiana",8
"Pinus banksiana",5
"Pinus banksiana",14
"Pinus resinosa",0
"Pinus resinosa",1
"Pinus resinosa",11
"Pinus resinosa",2
"Pinus resinosa",8
"Pinus resinosa",7
"Pinus strobus",0
"Pinus strobus",1
"Pinus strobus",11
"Pinus strobus",2
"Pinus strobus",3
"Pinus strobus",15
"Populus balsamifera",0
"Populus balsamifera",2
"Populus balsamifera",8
"Populus grandidentata",0
"Populus grandidentata",1
"Populus grandidentata",2
"Populus grandidentata",4
"Populus grandidentata",8
"Populus grandidentata",3
"Populus tremuloides",0
"Populus tremuloides",1
"Populus tremuloides",2
"Populus tremuloides",4
"Populus tremuloides",8
"Populus tremuloides",5
"Populus tremuloides",15
"Prunus pensylvanica",0
"Prunus pensylvanica",12
"Prunus serotina",0
"Prunus serotina",2
"Prunus serotina",13
"Prunus serotina",4
"Quercus rubra",0
"Quercus rubra",2
"Quercus rubra",4
"Quercus sp.",0
"Quercus sp.",2
"Quercus sp.",4
"Quercus sp.",14
"Shrubs",0
"Thuja occidentalis",0
"Thuja occidentalis",2
"Thuja occidentalis",7
"Tilia americana",0
"Tilia americana",2
"Tilia americana",4
"Tsuga canadensis",0
"Tsuga canadensis",3
"Ulmus sp.",0
"Ulmus sp.",16
