"sp","estimate"
"Abies balsamea",1.32437845921423
"Acer rubrum",0.45250788322175
"Acer saccharinum",0.628342224982132
"Acer saccharum",0.649927690830813
"Betula alleghaniensis",0.840939913418623
"Betula papyrifera",1.3274054331599
"Fagus grandifolia",0.908304199688069
"Fraxinus americana",1.15234438161687
"Fraxinus nigra",2.5244896296914
"Larix laricina",5.14407856859918
"Ostrya virginiana",1.35011904241298
"Picea glauca",1.97773118627483
"Picea mariana",1.1201744208637
"Pinus banksiana",0.879132489656504
"Pinus resinosa",1.0133422715223
"Pinus strobus",0.556718563281122
"Populus balsamifera",2.02745034436245
"Populus grandidentata",0.346390662151931
"Populus tremuloides",1.18586492032268
"Prunus serotina",3.51398730074701
"Quercus rubra",1.70335202062052
"Quercus sp.",0.505934750048816
"Thuja occidentalis",0.830386979150319
"Tilia americana",0.644117851040695
"Tsuga canadensis",0.615972389323317
"Ulmus sp.",3.50241657779515
