"sp","effect"
1,10
1,12
1,18
1,8
1,9
1,17
1,19
1,14
1,15
1,20
1,21
2,10
2,18
2,17
3,10
3,12
3,4
3,18
3,17
3,19
4,1
4,8
4,9
4,2
5,10
5,12
5,4
5,6
5,18
5,17
5,19
5,11
5,14
6,10
6,12
6,18
6,4
6,5
6,6
6,7
6,17
6,19
6,2
6,3
7,10
7,4
7,6
7,16
7,18
7,8
7,9
7,17
7,23
8,10
8,12
8,18
8,4
8,5
8,17
8,20
9,10
9,4
9,5
9,8
9,17
9,19
10,1
10,18
10,20
11,10
11,18
11,4
11,17
11,19
12,1
12,12
12,18
12,8
12,6
12,4
13,1
13,18
14,10
14,12
14,6
14,18
14,8
14,17
14,11
14,23
14,13
15,10
15,12
15,6
15,18
15,17
15,19
15,2
16,10
16,12
16,4
16,5
16,6
16,16
16,18
16,8
16,9
16,17
16,19
17,10
17,4
17,6
17,16
17,18
17,8
17,17
17,19
18,1
18,12
18,18
18,8
18,4
18,6
19,10
19,4
19,6
19,16
19,18
19,17
19,19
20,1
20,18
20,4
20,6
21,10
21,17
21,22
22,1
22,4
22,6
22,16
22,18
22,8
22,13
23,10
23,17
24,1
24,16
24,18
24,20
25,10
25,18
25,4
25,17
25,19
26,1
26,12
26,18
27,1
27,18
27,8
27,6
27,4
27,14
28,10
28,18
28,17
29,10
29,18
29,17
29,19
29,2
29,3
30,10
30,18
30,17
30,2
30,20
