Estimate;Effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
0.425773565;ldhp;;;;;0.281092228;2808.499951;1.514711268;0.129958069
1.177116327;ldhp2;;;;;0.051465112;6588.655889;22.87212217;0
0.019495065;ldhp*st;;;;;0.001156855;6575.008348;16.85177526;0
0.724353066;ldhp*rdhp;;;;;0.170904065;6037.355778;4.238360672;2.29E-05
-0.313883903;ldhp2*rdhp;;;;;0.044472704;5874.547721;-7.057900088;1.89E-12
0.525744805;ldhp*vp;;;FE2;;0.143160727;2139.887437;3.672409433;0.000246167
0.424874251;ldhp*vp;;;FE3;;0.129922756;2192.377441;3.270206574;0.001091334
0.815470562;ldhp*vp;;;FE4;;0.193257514;1928.718959;4.219605989;2.56E-05
0.280781861;ldhp*vp;;;FE6;;0.182643871;2311.362782;1.537318823;0.124352128
0.071997177;ldhp*vp;;;MF1;;0.178073159;2117.348168;0.404312344;0.686023884
0.155399157;ldhp*vp;;;MJ1;;0.130622662;2159.739249;1.189679916;0.234302988
-0.008012248;ldhp*vp;;;MJ2;;0.131406961;2153.32359;-0.060972781;0.951386545
0.217534362;ldhp*vp;;;MS1;;0.14824982;2080.200649;1.467349923;0.142432058
-0.06284846;ldhp*vp;;;MS2;;0.172978769;2357.123511;-0.363330486;0.716390603
-0.17564264;ldhp*vp;;;RC3;;0.207156771;2125.139345;-0.847873034;0.396604166
-0.153289215;ldhp*vp;;;RS1;;0.155468624;2259.933169;-0.985981679;0.32424765
0.065919937;ldhp*Tmoy;;;;;0.027340727;1567.420537;2.411052834;0.016020958
0.180696623;ldhp*sdom;;2EST;;;0.160356464;1547.921229;1.126843394;0.259983353
0.165288635;ldhp*sdom;;2OUEST;;;0.175296824;1663.590741;0.942907186;0.345865287
0.263598047;ldhp*sdom;;3EST;;;0.14652141;1563.557325;1.79904116;0.072204939
0.359196252;ldhp*sdom;;3OUEST;;;0.147157565;1562.52113;2.44089559;0.014761276
-0.112606483;ldhp*sdom;;4EST;;;0.130580514;1507.386887;-0.862352891;0.388630524
0.254261658;ldhp*sdom;;4OUEST;;;0.142342757;1545.284662;1.786263406;0.074252624
-0.035388493;ldhp*sdom;;5EST;;;0.141711577;1539.781285;-0.249721964;0.802835681
-0.000909382;ldhp*alt;;;;;0.000186605;1653.1799;-4.873298131;1.20E-06
-0.139216951;ldhp*milieu;;;;0;0.120621038;1555.445549;-1.154168078;0.248608565
0.033344578;ldhp*milieu;;;;1;0.128621667;1504.893442;0.259245419;0.795481346
0.072787955;ldhp*milieu;;;;2;0.102290039;1467.599274;0.711584004;0.476835503
-0.142186372;ldhp*milieu;;;;3;0.124873352;1559.765068;-1.138644636;0.255026255
-0.268609635;ldhp*milieu;;;;4;0.17159266;1555.103723;-1.565391169;0.117694672
0.072163588;ldhp*milieu;;;;5;0.105272493;1502.647298;0.685493297;0.493138425
0.077347806;ldhp*milieu;;;;6;0.147212493;1621.162669;0.525416044;0.599365855
