Estimate;Effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
0.767493119;ldhp;;;;;0.269409238;4706.164419;2.848800299;0.004407489
1.149714779;ldhp2;;;;;0.03355509;14726.78784;34.26349847;0
0.024997587;ldhp*st;;;;;0.000736067;14633.12029;33.96100833;0
-0.55362393;ldhp*rdhp;;;;;0.031230168;14945.56713;-17.72721562;0
-0.080446186;ldhp*sdom;;2EST;;;0.1515614;4489.756039;-0.530782813;0.595595544
0.192805482;ldhp*sdom;;2OUEST;;;0.126557459;3861.227895;1.523462019;0.127725048
-0.063667878;ldhp*sdom;;3EST;;;0.09144565;3716.91866;-0.696237365;0.486323725
0.159467303;ldhp*sdom;;3OUEST;;;0.09519407;3659.143575;1.675181053;0.093984158
-0.395080563;ldhp*sdom;;4EST;;;0.080657814;3857.045934;-4.898230453;1.00671E-06
-0.013149077;ldhp*sdom;;4OUEST;;;0.075462982;3744.344652;-0.174245389;0.861682036
-0.456465745;ldhp*sdom;;5EST;;;0.073491741;3828.421841;-6.211116262;5.82296E-10
0.023741032;ldhp*sdom;;5OUEST;;;0.068304427;3803.633725;0.347576766;0.728177289
-0.290055919;ldhp*sdom;;6EST;;;0.077303646;3921.729352;-3.752163525;0.00017785
0.317241034;ldhp*vp;;;FE2;;0.1607259;4020.963152;1.973801572;0.048472662
0.409478674;ldhp*vp;;;FE3;;0.14033481;3834.202778;2.917869583;0.003544805
0.366006528;ldhp*vp;;;FE6;;0.169271665;3975.308572;2.162243333;0.030658892
0.132272184;ldhp*vp;;;MF1;;0.202229958;3845.987904;0.654068198;0.513106976
0.098902101;ldhp*vp;;;MJ1;;0.136978461;3837.883055;0.722026658;0.470322076
0.096946389;ldhp*vp;;;MJ2;;0.134586044;3858.808923;0.720330182;0.471365356
0.119992739;ldhp*vp;;;MS1;;0.138926204;3838.553573;0.86371567;0.387798068
0.120138115;ldhp*vp;;;MS2;;0.133773838;3872.96335;0.898068835;0.369204678
-0.036816229;ldhp*vp;;;MS6;;0.145580638;3872.866923;-0.252892347;0.800364825
-0.355743467;ldhp*vp;;;RB1;;0.197065107;4267.701144;-1.805207794;0.071112621
-0.199497542;ldhp*vp;;;RE2;;0.142348461;3991.444275;-1.401473123;0.161150389
-0.181144673;ldhp*vp;;;RE3;;0.229099443;4284.827887;-0.790681421;0.42917368
-0.105570663;ldhp*vp;;;RP1;;0.157029134;3841.373426;-0.672299846;0.501433262
9.67307E-05;ldhp*vp;;;RS1;;0.143172519;3875.036371;0.000675623;0.999460965
-0.106335471;ldhp*vp;;;RS2;;0.136362533;3884.835314;-0.779799761;0.435556251
0.005975243;ldhp*vp;;;RS3;;0.213986403;4144.455389;0.027923471;0.977724533
-0.000715719;ldhp*alt;;;;;0.000120209;3908.61446;-5.953933115;2.84814E-09
0.315924494;ldhp*milieu;;;;0;0.212794733;4484.904976;1.484644328;0.137708344
0.506534469;ldhp*milieu;;;;1;0.213938959;4478.553338;2.367658845;0.017943288
0.47698809;ldhp*milieu;;;;2;0.209556808;4509.413329;2.276175587;0.022882181
0.262890415;ldhp*milieu;;;;3;0.215268345;4482.163747;1.22122189;0.22206625
0.245046639;ldhp*milieu;;;;4;0.238956939;4397.259223;1.025484507;0.30519104
0.305874924;ldhp*milieu;;;;5;0.210382638;4491.977838;1.453898133;0.146044412
0.26766766;ldhp*milieu;;;;6;0.222116214;4431.24438;1.20507934;0.228237026
0.1588637;ldhp*milieu;;;;7;0.189412259;4662.812783;0.838719208;0.401669891
0.014978627;ldhp*milieu;;;;8;0.146850462;4724.914536;0.101999183;0.918761651
0.068110972;ldhp*pert;INT;;;;0.016751414;11095.01499;4.065983326;4.81607E-05
-0.038485143;ldhp*pert;MOY;;;;0.012311642;11005.67393;-3.125914602;0.001777143
0.09580895;ldhp*Tmoy;;;;;0.021311088;3774.979587;4.495732436;7.14123E-06
