Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col29;Col30;Col31;Col32;Col34;Col35;Col36;Col37;Col38;Col39;Col40;Col41;Col42
1;ldhp;;;;;0.012406976;-0.001286095;6.34784E-06;0.000894786;-0.000996994;0.000191061;-0.000910306;0.000222519;-0.000368068;0.001181914;-0.000482865;0.000505455;-0.000631074;-0.000384446;-0.000360273;-0.000489557;-0.000613201;-0.001070863;-0.000875128;-0.001014248;-0.000859292;-0.002066883;-0.000332595;-0.000788699;-0.00058343;-0.000565352;0.000300018;-8.13635E-06;-1.14347E-05;2.56242E-05;-0.001406755;-0.001378813;-0.001365298;-0.001710101;-0.00140857;-0.001291153;-0.001728899;-0.000584025;-0.001084929
2;ldhp2;;;;;-0.001286095;0.000655198;-4.24951E-06;-0.000512695;1.59E-05;-1.48321E-05;-3.23932E-05;1.98485E-05;-1.67882E-05;2.07554E-06;4.36254E-06;7.04702E-06;3.54841E-05;5.69178E-06;1.42261E-05;1.28195E-05;2.67891E-05;-3.3761E-05;-2.04964E-05;0.000110313;9.75554E-05;5.70891E-05;0.000102311;1.44255E-05;2.87681E-05;5.94487E-05;-1.85949E-06;1.02081E-07;-5.77521E-08;-1.84716E-05;-7.24774E-05;-7.11003E-05;-7.63351E-05;-7.61357E-05;-6.99953E-05;-7.62738E-05;-7.24382E-05;-9.24836E-06;-2.75641E-05
3;ldhp*st;;;;;6.34784E-06;-4.24951E-06;1.88111E-07;2.60926E-06;2.66947E-09;1.73275E-07;4.98672E-07;2.8929E-07;3.73109E-07;2.43469E-07;1.541E-07;-8.33888E-08;-2.17009E-08;-5.17441E-09;1.12852E-07;1.0737E-07;5.78729E-07;1.33662E-07;-1.41631E-06;1.21528E-06;4.10632E-08;2.96526E-07;2.23894E-07;-2.88137E-07;-5.28886E-07;-1.79786E-07;-7.71566E-08;-3.24581E-10;4.60324E-07;4.34572E-07;-3.56316E-07;-4.82535E-07;-5.2292E-07;-1.13549E-06;-2.23094E-07;-2.60985E-07;-5.53628E-07;-2.16936E-07;-6.96666E-08
4;ldhp*rdhp;;;;;0.000894786;-0.000512695;2.60926E-06;0.000534297;-1.66839E-05;6.52965E-06;2.60298E-05;-2.04234E-05;9.72615E-06;-6.44407E-06;-3.47883E-06;-5.02864E-06;-3.85384E-05;-5.11522E-06;-1.43808E-05;-1.66467E-05;-4.14628E-05;3.2283E-05;2.8275E-05;-9.70369E-05;-8.05056E-05;-4.5687E-05;-8.45823E-05;1.87778E-06;-2.63381E-05;-5.26674E-05;2.47716E-06;-8.94149E-08;2.80974E-06;1.46823E-05;6.53091E-05;6.88333E-05;7.19594E-05;7.86109E-05;6.09974E-05;6.81293E-05;7.00305E-05;9.56063E-06;2.32186E-05
5;ldhp*sdom;;2EST;;;-0.000996994;1.59E-05;2.66947E-09;-1.66839E-05;0.009600651;0.001122995;0.001317141;0.000984726;0.000859069;0.000459752;0.000551477;-0.000123021;0.000278817;-0.000234813;-1.36435E-05;0.00019651;0.000252248;0.000595849;-0.00097337;0.000162678;0.000299425;0.00040835;0.000123033;0.0002417;0.000202924;0.000279898;-0.000279624;3.56395E-07;-2.90338E-05;8.94928E-06;0.000196957;0.000169069;0.00013731;0.000358643;-0.00012571;9.08644E-05;0.000322459;3.49244E-05;0.00012269
6;ldhp*sdom;;3EST;;;0.000191061;-1.48321E-05;1.73275E-07;6.52965E-06;0.001122995;0.002319291;0.000778679;0.000732541;0.000567492;0.000494291;0.000377774;6.40619E-05;-2.21817E-07;-0.00010728;-0.000456701;-9.99018E-05;-6.63519E-05;0.000345049;-0.000315986;-0.00010191;-2.42335E-05;0.000131644;-9.03507E-05;-4.42211E-05;-4.47844E-05;-4.49945E-05;-0.000144489;-5.12736E-07;-1.01039E-05;4.76988E-06;0.000168142;0.000185347;0.000146517;0.000290274;0.000173482;0.000137592;0.000259569;1.33274E-05;6.99769E-06
7;ldhp*sdom;;3OUEST;;;-0.000910306;-3.23932E-05;4.98672E-07;2.60298E-05;0.001317141;0.000778679;0.002498599;0.000676987;0.000703383;0.000301758;0.00046091;-8.04393E-05;-5.97185E-06;-0.000526084;-0.000128896;-0.000100934;2.25843E-05;0.000406164;0.000183986;-5.70291E-05;6.49393E-06;0.00013695;-0.000124798;-0.00095238;-9.92137E-05;-1.20753E-05;-0.0002197;7.01758E-07;-4.39554E-06;3.91299E-06;9.45341E-05;0.000123858;9.29463E-05;0.000309537;8.24429E-05;6.31754E-05;0.000286156;1.47324E-05;-7.04617E-05
8;ldhp*sdom;;4EST;;;0.000222519;1.98485E-05;2.8929E-07;-2.04234E-05;0.000984726;0.000732541;0.000676987;0.002037209;0.000514199;0.000498832;0.000361856;9.28885E-05;-8.43987E-05;-0.000160563;-0.000597444;-0.000237849;-0.001078815;0.000235359;-0.000561329;-0.0001688;-0.000130409;5.50261E-05;-0.000299909;-0.000146522;-0.000208217;-0.000171737;-0.00011986;-4.86824E-07;-8.35928E-06;2.15241E-06;0.000138355;0.000125016;0.000127664;0.000147585;0.000111073;0.000154136;0.000232223;-1.87132E-05;-2.77846E-05
9;ldhp*sdom;;4OUEST;;;-0.000368068;-1.67882E-05;3.73109E-07;9.72615E-06;0.000859069;0.000567492;0.000703383;0.000514199;0.00077886;0.000322098;0.000345873;4.87339E-05;1.14865E-05;-0.000197729;-5.6933E-05;-7.29094E-05;1.15169E-05;0.000270973;7.96819E-05;-1.75544E-05;1.00494E-05;0.000108813;-6.12429E-05;-0.00010016;2.57375E-05;-2.00003E-05;-0.000127247;1.42106E-07;-2.9249E-06;7.20769E-07;6.22973E-05;4.1079E-05;5.68955E-05;0.000205337;3.60879E-05;5.95601E-05;0.000212021;2.31072E-05;9.43613E-08
10;ldhp*sdom;;5EST;;;0.001181914;2.07554E-06;2.43469E-07;-6.44407E-06;0.000459752;0.000494291;0.000301758;0.000498832;0.000322098;0.001067378;0.000223024;0.000269952;8.94503E-05;1.30419E-05;-5.56878E-05;-0.000116688;-9.49812E-05;0.000189193;-2.59851E-05;8.26969E-06;2.74521E-05;5.56099E-05;-1.59432E-05;-3.13439E-05;6.60034E-05;-3.44728E-05;-7.12348E-06;-1.46643E-06;-5.28309E-06;2.07866E-07;-4.6631E-05;-1.72954E-05;-1.48925E-05;-0.000147236;-2.74133E-06;2.04862E-05;4.51528E-05;-5.81237E-07;-1.57401E-05
