Estimate;Effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-2.496011846;ldhp;;;;;0.111386608;7520.361219;-22.40854526;0
2.709699482;ldhp2;;;;;0.025596831;31755.43511;105.8607423;0
0.022145162;ldhp*st;;;;;0.000433718;32653.7145;51.05895312;0
-0.622838523;ldhp*rdhp;;;;;0.02311487;33711.0506;-26.94536137;0
-0.568824953;ldhp*sdom;;2EST;;;0.097982913;6941.746898;-5.805348438;6.70657E-09
-0.478182408;ldhp*sdom;;3EST;;;0.048159014;5662.830617;-9.929239951;0
-0.188876158;ldhp*sdom;;3OUEST;;;0.049985984;5533.269494;-3.778582349;0.000159381
-0.523667518;ldhp*sdom;;4EST;;;0.045135449;5781.034009;-11.6021339;0
-0.097164081;ldhp*sdom;;4OUEST;;;0.027908071;4970.00921;-3.48157636;0.00050276
-0.515772496;ldhp*sdom;;5EST;;;0.03267075;5317.633681;-15.78698041;0
-0.042013727;ldhp*sdom;;5OUEST;;;0.023441222;5003.946967;-1.792301023;0.073145148
-0.264391017;ldhp*sdom;;6EST;;;0.021462472;4938.563911;-12.31875878;0
0.022111035;ldhp*vp;;;ME1;;0.230615863;4775.927606;0.095878204;0.923621328
-0.335565539;ldhp*vp;;;MJ2;;0.184133555;4804.924427;-1.82240298;0.068455988
-0.279749307;ldhp*vp;;;MS1;;0.18643991;4822.390446;-1.500479732;0.133555645
-0.173809671;ldhp*vp;;;MS2;;0.183871806;4751.328446;-0.945276361;0.344565871
-0.25520505;ldhp*vp;;;MS6;;0.20198364;5145.33122;-1.263493667;0.206469066
0.132579777;ldhp*vp;;;RB1;;0.154379705;4090.216974;0.858790192;0.390506604
-0.190488806;ldhp*vp;;;RC3;;0.105378376;6763.135159;-1.807665036;0.07070306
0.011972121;ldhp*vp;;;RE1;;0.184095809;4734.054566;0.065032011;0.948151259
0.077959063;ldhp*vp;;;RE2;;0.182758912;4727.271721;0.426567779;0.669713595
0.091050628;ldhp*vp;;;RE3;;0.041324665;4967.019812;2.203299829;0.027619363
-0.34143602;ldhp*vp;;;RE4;;0.214835794;4849.256583;-1.589288332;0.112060501
-0.112283312;ldhp*vp;;;RP1;;0.204014476;5034.966167;-0.550369338;0.58209049
-0.084365199;ldhp*vp;;;RS1;;0.189744432;4783.168964;-0.44462543;0.656610584
-0.092206647;ldhp*vp;;;RS2;;0.182857341;4727.710721;-0.504254553;0.614106008
0.10038837;ldhp*Tmoy;;;;;0.007999308;5242.629253;12.54963129;0
-0.000680106;ldhp*Ptot;;;;;8.98786E-05;5504.134898;-7.566934004;4.45E-14
0.019323711;ldhp*pert;INT;;;;0.013366621;26075.65711;1.445669041;0.14828207
0.035008345;ldhp*pert;MOY;;;;0.006177949;25506.06886;5.666661762;1.47176E-08
-0.069493261;ldhp*milieu;;;;0;0.185384164;4734.297631;-0.374860827;0.707780764
-0.0638186;ldhp*milieu;;;;1;0.185202133;4736.961721;-0.344588902;0.730418748
-0.068526514;ldhp*milieu;;;;2;0.184120919;4729.965758;-0.372182121;0.70977393
-0.216005571;ldhp*milieu;;;;3;0.190427845;4800.032893;-1.134317152;0.256718181
0.02275069;ldhp*milieu;;;;4;0.185957109;4699.738957;0.122343751;0.902632015
-0.004308553;ldhp*milieu;;;;5;0.184621163;4729.219767;-0.023337264;0.981382232
-0.079875483;ldhp*milieu;;;;6;0.187676245;4725.21624;-0.42560252;0.670416886
0.0098815;ldhp*milieu;;;;7;0.035965852;4424.27547;0.274746718;0.783523664
-0.16579377;ldhp*milieu;;;;8;0.041286455;4673.061897;-4.015693988;6.0201E-05
