Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col22;Col23;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32
1;ldhp;;;;;0.034278411;-0.00474751;1.61335E-05;0.003329959;-0.000918176;-0.008863548;-0.009529825;-0.00912679;-0.01469537;-0.010140603;-0.010530789;-0.011719736;-0.010530887;-0.011520173;-0.019161181;-0.01070687;-0.009408824;-0.009946745;-0.01101891;-0.009248866;3.55766E-06;-3.9726E-05;-0.011456873;-0.010163318;-0.011104034;-0.010748213;-0.010080759;-0.010416905;-0.00984307;-0.00252351
2;ldhp2;;;;;-0.00474751;0.002401206;-2.08968E-05;-0.001953216;3.62164E-05;-9.77308E-05;-0.000118974;1.97601E-05;-2.17213E-05;1.64152E-05;2.2618E-05;0.000209617;0.00016139;0.000362111;0.000293239;0.000316939;-7.40076E-06;0.000107582;0.000230548;0.000150231;-8.06306E-05;-6.91135E-05;0.000133369;1.55843E-05;1.01303E-05;0.000129784;5.71949E-05;3.40829E-05;0.000149529;-9.98055E-06
3;ldhp*st;;;;;1.61335E-05;-2.08968E-05;1.28088E-06;1.52614E-05;-9.57528E-07;9.63954E-06;8.20063E-06;7.22598E-06;1.00807E-05;8.51403E-06;8.80678E-06;5.7694E-06;8.55717E-06;7.4526E-06;4.7408E-06;1.08396E-05;4.514E-06;3.76174E-06;8.31382E-06;7.51154E-06;5.48008E-06;2.61595E-06;-1.09688E-06;-4.58811E-06;-2.83121E-06;-4.14077E-06;-4.46326E-06;-1.65802E-06;-3.01343E-06;2.9395E-06
4;ldhp*rdhp;;;;;0.003329959;-0.001953216;1.52614E-05;0.002203796;-3.71831E-05;1.56524E-05;7.35868E-05;1.68101E-05;-6.41162E-05;-5.99487E-05;-4.94379E-05;-0.000189515;-0.000162907;-0.000308129;-0.000260189;-0.000247759;0.000103685;-0.000107135;-0.000235991;-0.00015442;5.73583E-05;8.70973E-05;-5.52009E-05;5.08533E-05;3.8523E-05;-9.02771E-05;1.78809E-05;1.51167E-05;-8.59498E-05;1.66504E-05
5;ldhp*Tmoy;;;;;-0.000918176;3.62164E-05;-9.57528E-07;-3.71831E-05;0.000143082;-1.27386E-05;0.000118965;5.78509E-06;0.000147813;0.000146942;0.000188025;0.00023787;0.000184833;0.000272558;0.000134451;0.000144213;6.4581E-05;0.000130318;0.000248671;-9.05299E-06;-5.50557E-06;1.77686E-05;0.000227272;9.65624E-05;0.000247855;0.000202445;7.7451E-06;0.000121174;2.44046E-05;-1.4773E-05
6;ldhp*vp;;;FE2;;-0.008863548;-9.77308E-05;9.63954E-06;1.56524E-05;-1.27386E-05;0.011747158;0.008936649;0.00890566;0.008920502;0.008919703;0.008907245;0.008936773;0.008922552;0.008966638;0.008977762;0.008921272;0.008874278;0.008812024;0.008893971;0.008821199;5.6127E-05;3.7641E-05;0.000200908;-7.58994E-05;1.61457E-06;-0.000150603;0.000537169;0.000225453;0.000304815;3.78338E-05
7;ldhp*vp;;;FE3;;-0.009529825;-0.000118974;8.20063E-06;7.35868E-05;0.000118965;0.008936649;0.009909033;0.008903977;0.008993947;0.009044258;0.009069439;0.009148826;0.009084716;0.009207995;0.009002322;0.009027687;0.008921655;0.008922851;0.009108266;0.008800866;4.64374E-05;4.33893E-05;0.00033928;2.59296E-05;0.000128275;-7.24084E-05;0.000421929;0.000274859;0.000154044;-6.37897E-06
8;ldhp*vp;;;FE6;;-0.00912679;1.97601E-05;7.22598E-06;1.68101E-05;5.78509E-06;0.00890566;0.008903977;0.012486341;0.008855205;0.008881338;0.008886124;0.008896331;0.008906664;0.008948215;0.008871048;0.008937054;0.008950925;0.008780438;0.00893819;0.008769915;5.63759E-05;2.07277E-05;-0.000196374;-0.000201406;-3.64491E-05;-2.46794E-05;0.000455097;0.000258135;4.8377E-05;1.67833E-05
9;ldhp*vp;;;MF1;;-0.01469537;-2.17213E-05;1.00807E-05;-6.41162E-05;0.000147813;0.008920502;0.008993947;0.008855205;0.024959633;0.009139303;0.009243989;0.009553408;0.009098327;0.009189346;0.013417969;0.009100361;0.008877868;0.009047662;0.00917042;0.008899129;5.61717E-05;-1.14763E-07;0.005096518;0.00492569;0.005101493;0.004879308;0.005180493;0.004738227;0.004206521;0.001286113
10;ldhp*vp;;;MJ1;;-0.010140603;1.64152E-05;8.51403E-06;-5.99487E-05;0.000146942;0.008919703;0.009044258;0.008881338;0.009139303;0.010190975;0.009124054;0.009199455;0.009130501;0.009257662;0.009202782;0.009095123;0.008921042;0.008993434;0.009163478;0.008859896;4.97008E-05;1.82355E-05;0.000604393;0.000139481;0.000375885;0.000238037;0.000432766;0.000329511;0.000294884;4.68623E-05
