Estimate;Effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
0.220869505;ldhp;;;;;0.159614692;3930.775847;1.383766756;0.166508455
1.358120858;ldhp2;;;;;0.03645505;13361.48525;37.25467047;0
0.012914634;ldhp*st;;;;;0.00093351;13990.13881;13.83449185;0
-0.699063881;ldhp*rdhp;;;;;0.033986968;14351.21606;-20.56858622;0
0.179530404;ldhp*Tmoy;;;;;0.020951582;1850.570297;8.568823213;0
0.179993444;ldhp*vp;;;FE1;;0.183761972;2463.435304;0.979492339;0.327432953
0.493141296;ldhp*vp;;;FE2;;0.120564915;3070.867598;4.090255412;4.41969E-05
0.401979919;ldhp*vp;;;FE3;;0.118903212;3125.437291;3.38073221;0.000731805
0.53595888;ldhp*vp;;;FE4;;0.167048711;2484.832423;3.208398766;0.001351747
0.347164563;ldhp*vp;;;FE5;;0.131529908;2803.944164;2.639434395;0.008350436
0.062263954;ldhp*vp;;;FE6;;0.128318296;3050.010264;0.485230524;0.627547682
0.06523468;ldhp*vp;;;MJ1;;0.127155033;3106.337873;0.513032623;0.607964982
0.016977647;ldhp*vp;;;MJ2;;0.142250872;3285.976308;0.119350038;0.905005338
-0.011499202;ldhp*vp;;;MS1;;0.14519921;3185.250659;-0.079196035;0.936881673
0.166924184;ldhp*sdom;;1;;;0.114833275;1885.738811;1.453622086;0.146217507
0.087726493;ldhp*sdom;;2EST;;;0.085315851;1824.694547;1.028255497;0.303965941
0.181720344;ldhp*sdom;;2OUEST;;;0.075734733;1863.810981;2.399432046;0.016518167
-0.00720803;ldhp*sdom;;3EST;;;0.055288294;1769.934784;-0.130371717;0.896287157
0.191886782;ldhp*sdom;;3OUEST;;;0.054927164;1750.131116;3.493476984;0.000488633
0.019910191;ldhp*sdom;;4EST;;;0.065056911;1870.700545;0.306042676;0.759606207
