row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col12;Col13;Col14;Col15;Col16;Col17;Col19
1;ldhp;;;;;0.171046783;-0.044259052;2.85552E-05;0.032162044;-0.021920338;-0.030578339;-0.026745025;-0.026369265;-0.024288821;-0.033629398;-0.044472367;-0.036516824;-0.033001588;-0.018970456;-0.01818388;-0.031907649;-9.0985E-05
2;ldhp2;;;;;-0.044259052;0.021040174;-0.000122868;-0.01689041;-0.002380164;0.000315072;-0.000282053;-0.001052264;-0.000228339;0.002354503;0.004252177;0.003877174;0.002342009;0.003156123;0.001316887;0.003281084;6.37851E-08
3;ldhp*st;;;;;2.85552E-05;-0.000122868;9.02777E-06;9.63178E-05;3.55828E-05;4.36944E-05;2.75103E-05;3.56079E-05;5.42553E-05;1.77216E-05;3.22515E-07;-2.02782E-05;-1.86738E-05;-1.47325E-05;-7.19427E-06;5.70938E-06;1.4017E-07
4;ldhp*rdhp;;;;;0.032162044;-0.01689041;9.63178E-05;0.018957619;0.001262614;-0.000744952;-6.02737E-06;0.000444866;-0.000189955;-0.00230451;-0.004188641;-0.003412065;-0.002014623;-0.002431572;-0.001183215;-0.002999868;-2.5487E-06
5;ldhp*vp;;;FE3;;-0.021920338;-0.002380164;3.55828E-05;0.001262614;0.040551858;0.031125039;0.032103411;0.031677382;0.031343641;0.030776555;-0.004259124;-0.001768844;0.000182238;-0.002126318;-0.003584936;-0.004647502;-8.24032E-06
6;ldhp*vp;;;MF1;;-0.030578339;0.000315072;4.36944E-05;-0.000744952;0.031125039;0.036528156;0.031205889;0.030904371;0.030715497;0.030932328;-0.003128334;-0.001419642;-0.000779975;-0.002643347;-0.004075209;-0.004199036;3.92976E-06
7;ldhp*vp;;;MJ1;;-0.026745025;-0.000282053;2.75103E-05;-6.02737E-06;0.032103411;0.031205889;0.042174341;0.03165004;0.030918534;0.031428502;-0.003511086;-0.001930707;0.001063417;-0.004034539;-0.004167229;-0.002721596;-7.0057E-06
8;ldhp*vp;;;MJ2;;-0.026369265;-0.001052264;3.56079E-05;0.000444866;0.031677382;0.030904371;0.03165004;0.041900373;0.030530719;0.030682623;-0.001822634;-1.3738E-05;0.000847831;0.000208195;-0.002989456;-0.001172915;-6.79033E-06
9;ldhp*vp;;;MS1;;-0.024288821;-0.000228339;5.42553E-05;-0.000189955;0.031343641;0.030715497;0.030918534;0.030530719;0.053911978;0.031168372;-0.003920813;-0.011214818;-0.001011295;-0.000250719;-0.001568938;-0.012439238;-1.7096E-05
10;ldhp*vp;;;RC3;;-0.033629398;0.002354503;1.77216E-05;-0.00230451;0.030776555;0.030932328;0.031428502;0.030682623;0.031168372;0.057384129;-0.001915393;-0.003413466;0.000399918;-0.002313509;-0.003109973;-0.001937346;-9.87762E-07
12;ldhp*sdom;;1;;;-0.044472367;0.004252177;3.22515E-07;-0.004188641;-0.004259124;-0.003128334;-0.003511086;-0.001822634;-0.003920813;-0.001915393;0.054851752;0.026947207;0.025697605;0.015341818;0.018507208;0.025728492;6.83638E-05
13;ldhp*sdom;;2EST;;;-0.036516824;0.003877174;-2.02782E-05;-0.003412065;-0.001768844;-0.001419642;-0.001930707;-1.3738E-05;-0.011214818;-0.003413466;0.026947207;0.046047364;0.021972045;0.014814835;0.016344864;0.024866282;4.62535E-05
14;ldhp*sdom;;2OUEST;;;-0.033001588;0.002342009;-1.86738E-05;-0.002014623;0.000182238;-0.000779975;0.001063417;0.000847831;-0.001011295;0.000399918;0.025697605;0.021972045;0.033060128;0.014732828;0.016652386;0.021181775;3.85149E-05
15;ldhp*sdom;;3EST;;;-0.018970456;0.003156123;-1.47325E-05;-0.002431572;-0.002126318;-0.002643347;-0.004034539;0.000208195;-0.000250719;-0.002313509;0.015341818;0.014814835;0.014732828;0.023726922;0.015388537;0.014875862;-3.36639E-06
16;ldhp*sdom;;3OUEST;;;-0.01818388;0.001316887;-7.19427E-06;-0.001183215;-0.003584936;-0.004075209;-0.004167229;-0.002989456;-0.001568938;-0.003109973;0.018507208;0.016344864;0.016652386;0.015388537;0.020364137;0.016362574;1.09105E-05
17;ldhp*sdom;;4EST;;;-0.031907649;0.003281084;5.70938E-06;-0.002999868;-0.004647502;-0.004199036;-0.002721596;-0.001172915;-0.012439238;-0.001937346;0.025728492;0.024866282;0.021181775;0.014875862;0.016362574;0.050605085;3.9663E-05
19;ldhp*alt;;;;;-9.0985E-05;6.37851E-08;1.4017E-07;-2.5487E-06;-8.24032E-06;3.92976E-06;-7.0057E-06;-6.79033E-06;-1.7096E-05;-9.87762E-07;6.83638E-05;4.62535E-05;3.85149E-05;-3.36639E-06;1.09105E-05;3.9663E-05;2.7796E-07
