estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
0.210986208;ldhp;;;;;0.413578025;630.2219662;0.510148498;0.610126046
1.727051677;ldhp2;;;;;0.145052315;974.0215145;11.9064055;0
0.021578323;ldhp*st;;;;;0.003004624;956.8569075;7.181703882;1.3823E-12
-0.686006073;ldhp*rdhp;;;;;0.137686669;981.9802601;-4.982371053;7.41947E-07
0.922433314;ldhp*vp;;;FE3;;0.201374918;281.7570573;4.580676295;6.96662E-06
0.358899435;ldhp*vp;;;MF1;;0.191123406;270.6300449;1.87784135;0.061478166
0.574964461;ldhp*vp;;;MJ1;;0.205363924;277.8744386;2.799734494;0.005472967
0.30427247;ldhp*vp;;;MJ2;;0.204695807;277.2102916;1.486461667;0.138293487
0.228851029;ldhp*vp;;;MS1;;0.232189529;288.3556151;0.98562166;0.325145084
-0.02036974;ldhp*vp;;;RC3;;0.239549847;291.1333162;-0.085033407;0.932293277
-0.13695241;ldhp*sdom;;1;;;0.23420451;256.2865962;-0.584755647;0.559226459
-0.34600363;ldhp*sdom;;2EST;;;0.214586495;281.7190739;-1.612420342;0.107990147
0.125275015;ldhp*sdom;;2OUEST;;;0.181824442;243.4643497;0.688988864;0.491486339
-0.000940939;ldhp*sdom;;3EST;;;0.154035458;248.3143625;-0.006108588;0.995130987
0.351635621;ldhp*sdom;;3OUEST;;;0.142702967;225.8866255;2.46410869;0.014481796
-0.662707947;ldhp*sdom;;4EST;;;0.22495574;244.1966345;-2.945948153;0.003530913
-0.002604435;ldhp*alt;;;;;0.000527219;273.6651766;-4.939945128;1.3622E-06
