estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-2.382230261;ldhp;;;;;0.362367941;597.965635;-6.574064629;1.06778E-10
2.416942243;ldhp2;;;;;0.18940609;611.3125773;12.76063635;0
0.040103471;ldhp*st;;;;;0.003175483;726.8610071;12.62909166;0
-0.87597673;ldhp*rdhp;;;;;0.163367412;665.1939506;-5.362004072;1.13668E-07
0.489873152;ldhp*sdom;;2EST;;;0.152168571;227.1345;3.219279433;0.001473012
0.489382579;ldhp*sdom;;3EST;;;0.155945952;241.123048;3.138155071;0.001911855
-0.101753383;ldhp*sdom;;4EST;;;0.166846591;230.7331982;-0.609861925;0.542553405
0.578844121;ldhp*sdom;;4OUEST;;;0.152299599;249.675445;3.800693677;0.000181369
-0.223605678;ldhp*sdom;;5EST;;;0.15233712;265.1628055;-1.467834482;0.143334344
0.526871029;ldhp*sdom;;5OUEST;;;0.144374794;242.6524888;3.649328351;0.000321907
