estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
0.68401609430987000000;ldhp;;;;;0.630398857;451.3757749;1.085052879;0.278477412
1.87782902082899000000;ldhp2;;;;;0.138163488;1064.052948;13.59135505;0
0.02525113704522380000;ldhp*st;;;;;0.00323868;1077.508668;7.796736672;1.49E-14
-0.92915453120943000000;ldhp*rdhp;;;;;0.115563319;1070.88776;-8.040220183;2.4E-15
-0.41458314137326000000;ldhp*milieu;;;;0;0.107635998;288.120162;-3.851714569;0.000144589
0.14149707897194000000;ldhp*milieu;;;;1;0.137401372;281.4350251;1.029808339;0.30398419
0.61679900968737000000;ldhp*vp;;;FE2;;0.20180276;286.796476;3.056444872;0.002450803
0.44315788012481000000;ldhp*vp;;;FE3;;0.150069532;266.6680972;2.953016999;0.003427375
0.39607597912865000000;ldhp*vp;;;FE6;;0.155454466;279.3022766;2.547858484;0.01137458
0.11198278679331000000;ldhp*vp;;;MJ1;;0.18069054;273.6784074;0.619749028;0.535938662
0.14393598491483000000;ldhp*vp;;;MJ2;;0.160160064;270.6316022;0.898700847;0.369610905
0.06752442308348000000;ldhp*vp;;;MS2;;0.154140856;294.2382813;0.4380696;0.661657254
0.10211546128534000000;ldhp*Tmoy;;;;;0.045220007;264.4851017;2.258192047;0.024748912
-0.00099433329878710000;ldhp*Ptot;;;;;0.000465923;287.483217;-2.134116049;0.033679339
