row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col39;Col40
1;ldhp;;;;;0.121837262;-0.004687875;0.000112856;-0.000630593;0.00017154;-0.008773809;0.000135665;-0.003094811;0.001895436;-0.002220455;-0.000862175;-0.002721125;0.002485165;-0.00435416;-0.002706661;0.001414088;0.001181888;0.00041252;-0.004425662;-0.000358307;-0.002230328;0.000656891;-0.001278506;0.00044919;-0.002421059;-0.063823807;-3.39551E-05;-0.000167411;-4.16142E-05;-0.064626373;-0.064559772;-0.063619373;-0.064405831;-0.062734215;-0.065910562;3.05921E-05;0.000222962
2;ldhp2;;;;;-0.004687875;0.001729446;-4.48823E-05;0.000218759;-5.88196E-05;-0.000100273;9.01583E-06;-8.31367E-05;-2.23917E-05;-0.000132861;-2.24879E-05;-0.000131898;-8.95671E-05;-4.40858E-05;-6.99201E-05;4.18987E-05;-2.37801E-05;5.92082E-05;5.99886E-05;1.4284E-05;-3.57864E-05;-2.40544E-05;2.17428E-05;8.92447E-06;9.61469E-05;8.05569E-05;-0.000112802;-2.40293E-05;1.22384E-07;1.28342E-05;2.2978E-05;-2.22701E-05;-2.41222E-05;-3.28141E-05;-3.91463E-05;-6.30282E-05;-0.000108833
3;ldhp*st;;;;;0.000112856;-4.48823E-05;2.53455E-06;-3.44942E-06;4.39839E-07;7.06599E-06;6.41982E-06;8.78991E-06;7.19371E-06;7.93274E-06;5.11223E-06;7.16457E-06;6.82943E-06;4.62303E-06;5.82875E-06;-1.46938E-06;6.48514E-07;-1.79505E-06;1.39172E-06;-7.76002E-07;5.82174E-07;-7.03061E-07;-1.91045E-07;-9.22523E-07;-3.18969E-06;-1.24247E-06;5.98892E-07;-7.49294E-06;-1.39545E-08;7.64894E-07;-1.68556E-06;-1.41882E-06;-2.16848E-06;1.39721E-06;4.80796E-07;4.01547E-06;4.22781E-06
4;ldhp*stgt;;;;;-0.000630593;0.000218759;-3.44942E-06;7.15959E-05;-2.32209E-05;-3.49952E-06;-7.46623E-06;-1.08656E-05;-7.01098E-06;-9.17288E-06;-9.29941E-06;-1.18674E-05;-1.58628E-05;-6.99932E-06;5.68329E-06;5.78871E-06;2.69111E-07;5.27238E-06;1.42598E-05;6.25149E-06;-3.79669E-06;6.99221E-07;-1.09746E-07;-2.13156E-06;-4.44046E-06;1.26395E-05;-5.39597E-07;-1.07642E-05;1.53865E-08;9.31367E-06;-5.612E-06;-3.42534E-06;-9.32035E-08;-3.02349E-06;-8.75834E-06;-6.30478E-06;-9.52963E-06
5;ldhp2*stgt;;;;;0.00017154;-5.88196E-05;4.39839E-07;-2.32209E-05;7.90418E-06;-7.24056E-07;2.25283E-06;1.95087E-06;2.1126E-06;1.79637E-06;2.68057E-06;2.90813E-06;4.91811E-06;2.00486E-06;-2.11187E-06;-1.76127E-06;-1.35452E-07;-2.64587E-06;-2.29312E-06;-2.00049E-06;1.04423E-06;-7.05494E-07;1.88265E-07;7.73953E-07;2.54103E-06;-3.06944E-06;-3.56624E-06;3.02264E-06;-2.15322E-09;-3.91415E-06;8.06296E-07;-4.76329E-07;-1.99078E-06;-5.4719E-07;8.14199E-07;1.87991E-06;2.17112E-06
6;ldhp*sdom;;1;;;-0.008773809;-0.000100273;7.06599E-06;-3.49952E-06;-7.24056E-07;0.014939795;0.006289341;0.007418175;0.006616073;0.007086673;0.005966195;0.006182055;0.005819969;0.005721278;0.00541472;-0.003075285;-0.001417838;-0.002463712;0.003048917;-0.001731054;-0.002004634;-0.000594509;-0.000603675;-0.000562274;0.000215647;0.002668739;-0.003188162;-0.00142211;7.59997E-07;0.002807973;0.002406496;0.002821931;0.003153858;0.002741948;0.00354127;-1.31761E-05;1.5762E-05
7;ldhp*sdom;;2EST;;;0.000135665;9.01583E-06;6.41982E-06;-7.46623E-06;2.25283E-06;0.006289341;0.012943044;0.00668158;0.007501489;0.006583654;0.006851143;0.006174849;0.007214269;0.005788478;0.006089642;-0.000796118;-0.000358314;-0.000710023;0.00330635;-0.000559388;-0.000495491;-0.000282416;-0.000126037;-0.000156914;0.000611437;-4.52509E-05;-0.00062497;-0.000555706;-7.36218E-06;0.000807824;0.000788496;0.000998647;0.001064213;0.000387225;0.001439403;1.88828E-05;2.09755E-05
8;ldhp*sdom;;2OUEST;;;-0.003094811;-8.31367E-05;8.78991E-06;-1.08656E-05;1.95087E-06;0.007418175;0.00668158;0.015405928;0.007220168;0.007200975;0.006326314;0.006343874;0.006394807;0.005794511;0.005648078;-0.002439977;-0.001331881;-0.003203893;0.003189113;-0.001984162;-0.002018016;-0.000532765;-0.000623628;-0.000488932;0.000125121;-1.39422E-05;-0.002303963;-0.001728066;-2.41596E-06;-5.30743E-05;-0.000349886;5.19786E-05;0.000474782;0.000353261;0.000407124;-0.00013048;1.55301E-05
9;ldhp*sdom;;3EST;;;0.001895436;-2.23917E-05;7.19371E-06;-7.01098E-06;2.1126E-06;0.006616073;0.007501489;0.007220168;0.00986876;0.007009384;0.0069409;0.006458199;0.007368584;0.005904924;0.006109185;-0.001178739;-0.001077465;-0.001172179;0.003140662;-0.0019436;-0.001118739;-0.000242777;-0.000533907;-0.000270932;0.000253175;-0.00047315;-0.001018546;-0.00113589;-7.48642E-06;-0.000612441;-0.000652821;-0.000492239;-0.000251531;-0.000506341;-4.01036E-05;-5.73077E-06;-3.75893E-06
10;ldhp*sdom;;3OUEST;;;-0.002220455;-0.000132861;7.93274E-06;-9.17288E-06;1.79637E-06;0.007086673;0.006583654;0.007200975;0.007009384;0.00883778;0.006314055;0.006311052;0.006402559;0.005803237;0.005729599;-0.001783504;-0.001537666;-0.002016488;0.003035524;-0.001350528;-0.001704469;-0.000500375;-0.000612418;-0.000459111;0.000117912;-0.000984503;-0.002424646;-0.001048807;-2.2402E-06;-0.001057578;-0.001126353;-0.000930399;-0.000470695;-0.000768334;-0.000255851;2.61034E-05;4.23384E-06
