row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col8;Col9;Col10;Col11;Col12;Col14;Col15;Col16;Col17;Col19;Col20;Col21;Col22;Col23
1;ldhp;;;;;0.152419386;-0.017876478;8.39434E-05;0.007263948;0.000220721;-4.009E-05;-0.014902528;-0.012567677;-0.018865782;-0.013104262;-0.017205767;-0.096306518;-0.098322445;-0.097254508;-0.094261023;0.006195035;0.007004852;0.003535292;-0.000162394;0.006816359
2;ldhp2;;;;;-0.017876478;0.008250226;-5.71556E-05;-0.004565758;-0.000216375;-0.00010398;-7.38141E-05;2.09749E-05;0.000195989;0.000466772;-0.000123824;-0.000412697;-0.000295632;-0.000786657;-0.001156824;-0.0007306;-0.000736463;-0.00031172;-0.000484965;-0.001063724
3;ldhp*st;;;;;8.39434E-05;-5.71556E-05;5.15088E-06;1.51308E-05;3.04027E-05;9.88093E-06;-2.73225E-05;-2.28494E-05;-1.92869E-05;-1.87626E-05;-1.43353E-05;-1.13091E-06;-1.17117E-05;-1.88683E-05;-9.74071E-06;-9.58089E-06;-1.94128E-05;3.69492E-06;3.23091E-06;-2.74309E-05
4;ldhp*rdhp;;;;;0.007263948;-0.004565758;1.51308E-05;0.004081186;4.79385E-05;2.51823E-05;0.0005107;0.000286718;0.000140787;0.000158743;0.000340778;0.000694715;0.000731531;0.000885141;0.000994997;0.000789525;0.00080944;0.000221733;0.000370111;0.001037207
5;ldhp*pert;INT;;;;0.000220721;-0.000216375;3.04027E-05;4.79385E-05;0.001519164;9.98002E-05;-0.000288542;-0.000333522;-0.000294701;-0.000210159;-0.000199926;7.50466E-05;-0.000128131;-0.000148514;-0.000300062;-0.000237587;-0.000241437;-0.000120367;-0.000128615;-0.000368427
6;ldhp*pert;MOY;;;;-4.009E-05;-0.00010398;9.88093E-06;2.51823E-05;9.98002E-05;0.00197974;0.000158315;0.000236207;0.000228546;2.30464E-05;1.86821E-05;-0.000107782;-9.93687E-05;-0.000165682;-0.000126808;8.02929E-05;6.30634E-05;-5.66995E-05;-0.000179188;1.996E-05
8;ldhp*sdom;;1;;;-0.014902528;-7.38141E-05;-2.73225E-05;0.0005107;-0.000288542;0.000158315;0.0276317;0.014088037;0.014916033;0.012211775;0.014688571;0.002776307;0.00285522;0.004980763;-0.000913293;-0.007316487;-0.005653448;-0.002110182;0.001724535;-0.003816966
9;ldhp*sdom;;2EST;;;-0.012567677;2.09749E-05;-2.28494E-05;0.000286718;-0.000333522;0.000236207;0.014088037;0.045189269;0.012736245;0.012796155;0.012291432;-0.003250338;-0.003674674;-0.001893515;-0.010458983;0.000948581;-0.000535054;0.005229825;0.005510607;0.003637764
10;ldhp*sdom;;2OUEST;;;-0.018865782;0.000195989;-1.92869E-05;0.000140787;-0.000294701;0.000228546;0.014916033;0.012736245;0.028423129;0.01197339;0.014439764;0.005737551;0.007269538;0.008617703;0.006219208;-0.006298605;-0.006200792;-0.003737211;0.001187089;-0.003254547
11;ldhp*sdom;;3EST;;;-0.013104262;0.000466772;-1.87626E-05;0.000158743;-0.000210159;2.30464E-05;0.012211775;0.012796155;0.01197339;0.032848254;0.011535945;-0.001236445;-0.000636506;-0.000501702;-0.003189464;-0.000707333;0.000868436;0.000364303;0.0015654;0.001566552
12;ldhp*sdom;;3OUEST;;;-0.017205767;-0.000123824;-1.43353E-05;0.000340778;-0.000199926;1.86821E-05;0.014688571;0.012291432;0.014439764;0.011535945;0.018380664;0.005732831;0.007593027;0.007608382;0.005579599;-0.004500291;-0.005445359;-0.002657811;0.001011523;-0.005186661
14;ldhp*milieu;;;;0;-0.096306518;-0.000412697;-1.13091E-06;0.000694715;7.50466E-05;-0.000107782;0.002776307;-0.003250338;0.005737551;-0.001236445;0.005732831;0.116325697;0.108001791;0.107452783;0.104370906;-0.014717937;-0.01888404;-0.016117976;-0.013108494;-0.017733329
15;ldhp*milieu;;;;1;-0.098322445;-0.000295632;-1.17117E-05;0.000731531;-0.000128131;-9.93687E-05;0.00285522;-0.003674674;0.007269538;-0.000636506;0.007593027;0.108001791;0.117972621;0.107248169;0.105168373;-0.014817637;-0.015473724;-0.015075391;-0.011592227;-0.016802963
16;ldhp*milieu;;;;2;-0.097254508;-0.000786657;-1.88683E-05;0.000885141;-0.000148514;-0.000165682;0.004980763;-0.001893515;0.008617703;-0.000501702;0.007608382;0.107452783;0.107248169;0.1103536;0.104327928;-0.015935276;-0.016065926;-0.014965645;-0.013040116;-0.015731664
17;ldhp*milieu;;;;5;-0.094261023;-0.001156824;-9.74071E-06;0.000994997;-0.000300062;-0.000126808;-0.000913293;-0.010458983;0.006219208;-0.003189464;0.005579599;0.104370906;0.105168373;0.104327928;0.128903504;-0.009236802;-0.010392162;-0.012612619;-0.009664958;-0.012239531
19;ldhp*vp;;;FE2;;0.006195035;-0.0007306;-9.58089E-06;0.000789525;-0.000237587;8.02929E-05;-0.007316487;0.000948581;-0.006298605;-0.000707333;-0.004500291;-0.014717937;-0.014817637;-0.015935276;-0.009236802;0.046520106;0.015620987;0.01411727;0.012496988;0.015110617
20;ldhp*vp;;;FE6;;0.007004852;-0.000736463;-1.94128E-05;0.00080944;-0.000241437;6.30634E-05;-0.005653448;-0.000535054;-0.006200792;0.000868436;-0.005445359;-0.01888404;-0.015473724;-0.016065926;-0.010392162;0.015620987;0.034084921;0.014626074;0.012508427;0.016350773
21;ldhp*vp;;;MJ2;;0.003535292;-0.00031172;3.69492E-06;0.000221733;-0.000120367;-5.66995E-05;-0.002110182;0.005229825;-0.003737211;0.000364303;-0.002657811;-0.016117976;-0.015075391;-0.014965645;-0.012612619;0.01411727;0.014626074;0.023992895;0.012692606;0.014624654
22;ldhp*vp;;;MS2;;-0.000162394;-0.000484965;3.23091E-06;0.000370111;-0.000128615;-0.000179188;0.001724535;0.005510607;0.001187089;0.0015654;0.001011523;-0.013108494;-0.011592227;-0.013040116;-0.009664958;0.012496988;0.012508427;0.012692606;0.028904317;0.012708567
23;ldhp*vp;;;RP1;;0.006816359;-0.001063724;-2.74309E-05;0.001037207;-0.000368427;1.996E-05;-0.003816966;0.003637764;-0.003254547;0.001566552;-0.005186661;-0.017733329;-0.016802963;-0.015731664;-0.012239531;0.015110617;0.016350773;0.014624654;0.012708567;0.020553168
