estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-3.052221686;ldhp;;;;;0.390409254;544.5537246;-7.81800548;2.79E-14
2.205660807;ldhp2;;;;;0.090830754;1366.047743;24.2831938;0
0.032491184;ldhp*st;;;;;0.002269555;1331.57808;14.31610266;0
-0.418417082;ldhp*rdhp;;;;;0.063884157;1162.524974;-6.549621994;8.64147E-11
0.262689296;ldhp*pert;INT;;;;0.038976461;939.3059015;6.739690875;2.76613E-11
0.076988434;ldhp*pert;MOY;;;;0.044494272;790.7615431;1.730299897;0.083966857
0.118167518;ldhp*sdom;;1;;;0.166227856;362.3541447;0.710876748;0.477617928
0.139626346;ldhp*sdom;;2EST;;;0.212577679;343.2704556;0.656825056;0.511733509
-0.257341602;ldhp*sdom;;2OUEST;;;0.168591603;387.5547189;-1.526420039;0.12772095
0.065875822;ldhp*sdom;;3EST;;;0.181240872;389.7563912;0.363471114;0.71645005
0.384344198;ldhp*sdom;;3OUEST;;;0.135575307;371.4869195;2.83491299;0.00483443
-0.369845942;ldhp*milieu;;;;0;0.341065532;346.5916726;-1.084383812;0.278948382
0.040876303;ldhp*milieu;;;;1;0.343471426;346.0945771;0.119009327;0.905337013
-0.075689305;ldhp*milieu;;;;2;0.332195123;345.8280685;-0.227845924;0.819900673
-0.235955229;ldhp*milieu;;;;5;0.359031341;340.7580972;-0.657199531;0.511496264
0.046954627;ldhp*vp;;;FE2;;0.2156852;379.1965927;0.21769981;0.827780108
0.423447712;ldhp*vp;;;FE6;;0.184621019;379.5372357;2.293605105;0.022359007
0.367993335;ldhp*vp;;;MJ2;;0.154896402;391.710604;2.375738425;0.017994171
-0.034035767;ldhp*vp;;;MS2;;0.170012696;410.4883391;-0.200195446;0.841426871
0.374743811;ldhp*vp;;;RP1;;0.143363762;388.1698072;2.613936777;0.00929879
