row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col8;Col9;Col10;Col11;Col12;Col13;Col15;Col16;Col17;Col18;Col19;Col20;Col22;Col23
1;ldhp;;;;;0.134614414;-0.005381546;4.81919E-05;0.003354843;-9.69872E-05;0.000303931;0.004007357;0.008536543;0.003857378;0.00782538;-6.51831E-05;-0.003039798;-0.005397542;-0.003035989;-0.006383345;-0.003425776;-0.007162023;-0.001245669;3.85335E-06;-0.000130536
2;ldhp2;;;;;-0.005381546;0.003182897;-3.32297E-05;-0.002342572;-7.63192E-05;-0.000236883;-0.000128732;-0.000307286;-0.000263395;-0.000121826;3.80339E-05;2.18588E-05;-0.00037849;-0.000258507;0.000155432;0.000151544;0.000243127;-0.000163393;-8.64283E-07;-5.90154E-08
3;ldhp*st;;;;;4.81919E-05;-3.32297E-05;1.39517E-06;1.80779E-05;5.03077E-06;4.88362E-06;-1.51615E-06;4.97025E-06;4.32153E-06;-3.44915E-06;-2.04898E-06;9.27396E-07;5.60447E-06;3.21961E-06;6.80813E-06;-2.0041E-07;4.50527E-06;-1.08523E-06;1.87631E-08;-5.38902E-09
4;ldhp*rdhp;;;;;0.003354843;-0.002342572;1.80779E-05;0.002687448;5.42253E-05;0.000145477;0.000265562;0.000180936;0.000184523;0.000114809;-1.27707E-05;6.56811E-06;0.000186261;0.000133331;-7.85131E-05;-4.76509E-05;-0.000191991;0.00013621;3.16933E-07;-2.13073E-07
5;ldhp*pert;INT;;;;-9.69872E-05;-7.63192E-05;5.03077E-06;5.42253E-05;0.000943629;1.76074E-05;-0.000148208;-0.000120803;-7.10265E-05;-3.28192E-05;-2.46359E-05;3.00951E-05;3.72238E-05;3.93573E-05;5.97745E-05;1.64369E-05;7.12953E-05;-5.203E-05;-5.85587E-08;1.72012E-07
6;ldhp*pert;MOY;;;;0.000303931;-0.000236883;4.88362E-06;0.000145477;1.76074E-05;0.000812326;5.67719E-05;6.46485E-05;7.00479E-05;4.59746E-06;2.64795E-05;2.01899E-05;4.23667E-05;2.38406E-05;6.25068E-05;1.58355E-05;3.87187E-05;-9.96082E-05;6.19829E-08;2.6384E-08
8;ldhp*sdom;;2OUEST;;;0.004007357;-0.000128732;-1.51615E-06;0.000265562;-0.000148208;5.67719E-05;0.027895611;0.003131874;0.003560662;0.001564456;0.000651654;-0.001099771;-0.007505284;8.19371E-05;0.000405326;7.96394E-05;0.000155459;-0.001313771;1.13374E-05;-9.52231E-06
9;ldhp*sdom;;3OUEST;;;0.008536543;-0.000307286;4.97025E-06;0.000180936;-0.000120803;6.46485E-05;0.003131874;0.010075347;0.002250296;0.001624725;0.000903631;-0.000224522;-0.001659508;-0.000116916;0.000547159;0.00025276;0.000283054;-4.40193E-05;4.49281E-06;-1.14763E-05
10;ldhp*sdom;;4EST;;;0.003857378;-0.000263395;4.32153E-06;0.000184523;-7.10265E-05;7.00479E-05;0.003560662;0.002250296;0.007962886;0.001271281;0.000716917;-0.001060826;0.000193829;0.000284019;0.000974622;0.000633877;0.000106329;0.000881826;1.11843E-05;-9.488E-06
11;ldhp*sdom;;4OUEST;;;0.00782538;-0.000121826;-3.44915E-06;0.000114809;-3.28192E-05;4.59746E-06;0.001564456;0.001624725;0.001271281;0.002930734;0.000984226;0.00044536;-0.000653029;-6.75383E-05;0.000420411;0.000316769;0.000254327;0.000674857;2.87674E-08;-9.36209E-06
12;ldhp*sdom;;5OUEST;;;-6.51831E-05;3.80339E-05;-2.04898E-06;-1.27707E-05;-2.46359E-05;2.64795E-05;0.000651654;0.000903631;0.000716917;0.000984226;0.00194709;0.00071987;0.0002212;-7.27388E-05;0.000832283;0.000392732;0.000284155;0.000250391;-1.63808E-06;-7.12649E-07
13;ldhp*sdom;;6EST;;;-0.003039798;2.18588E-05;9.27396E-07;6.56811E-06;3.00951E-05;2.01899E-05;-0.001099771;-0.000224522;-0.001060826;0.00044536;0.00071987;0.008280936;2.91578E-05;3.43453E-05;-0.000654671;0.000159298;0.000409833;1.04732E-05;-7.51412E-06;5.36432E-06
15;ldhp*vp;;;MJ2;;-0.005397542;-0.00037849;5.60447E-06;0.000186261;3.72238E-05;4.23667E-05;-0.007505284;-0.001659508;0.000193829;-0.000653029;0.0002212;2.91578E-05;0.016192574;0.00274801;0.002733142;0.002724787;0.002614269;0.003266377;7.55177E-07;3.47932E-06
16;ldhp*vp;;;MS2;;-0.003035989;-0.000258507;3.21961E-06;0.000133331;3.93573E-05;2.38406E-05;8.19371E-05;-0.000116916;0.000284019;-6.75383E-05;-7.27388E-05;3.43453E-05;0.00274801;0.007353501;0.002642914;0.002649111;0.002656501;0.002691712;7.5145E-07;6.80538E-07
17;ldhp*vp;;;RE1;;-0.006383345;0.000155432;6.80813E-06;-7.85131E-05;5.97745E-05;6.25068E-05;0.000405326;0.000547159;0.000974622;0.000420411;0.000832283;-0.000654671;0.002733142;0.002642914;0.004905185;0.002938958;0.00300944;0.002757548;-4.63239E-07;2.89578E-06
18;ldhp*vp;;;RE2;;-0.003425776;0.000151544;-2.0041E-07;-4.76509E-05;1.64369E-05;1.58355E-05;7.96394E-05;0.00025276;0.000633877;0.000316769;0.000392732;0.000159298;0.002724787;0.002649111;0.002938958;0.003264079;0.00278822;0.002768462;-8.41003E-08;6.97969E-08
19;ldhp*vp;;;RE3;;-0.007162023;0.000243127;4.50527E-06;-0.000191991;7.12953E-05;3.87187E-05;0.000155459;0.000283054;0.000106329;0.000254327;0.000284155;0.000409833;0.002614269;0.002656501;0.00300944;0.00278822;0.012374842;0.002691105;-3.35589E-07;3.99085E-06
20;ldhp*vp;;;RS1;;-0.001245669;-0.000163393;-1.08523E-06;0.00013621;-5.203E-05;-9.96082E-05;-0.001313771;-4.40193E-05;0.000881826;0.000674857;0.000250391;1.04732E-05;0.003266377;0.002691712;0.002757548;0.002768462;0.002691105;0.024631054;1.74316E-06;-2.17244E-06
22;ldhp*alt;;;;;3.85335E-06;-8.64283E-07;1.87631E-08;3.16933E-07;-5.85587E-08;6.19829E-08;1.13374E-05;4.49281E-06;1.11843E-05;2.87674E-08;-1.63808E-06;-7.51412E-06;7.55177E-07;7.5145E-07;-4.63239E-07;-8.41003E-08;-3.35589E-07;1.74316E-06;5.65189E-08;-2.36161E-08
23;ldhp*Ptot;;;;;-0.000130536;-5.90154E-08;-5.38902E-09;-2.13073E-07;1.72012E-07;2.6384E-08;-9.52231E-06;-1.14763E-05;-9.488E-06;-9.36209E-06;-7.12649E-07;5.36432E-06;3.47932E-06;6.80538E-07;2.89578E-06;6.97969E-08;3.99085E-06;-2.17244E-06;-2.36161E-08;1.49479E-07
