estimate;effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
-2.661902675;ldhp;;;;;0.36689837;1218.559501;-7.255149917;7.12E-13
2.260349098;ldhp2;;;;;0.056417168;6220.579041;40.06491607;0
0.059311937;ldhp*st;;;;;0.001181172;6207.079934;50.2144932;0
-1.108745078;ldhp*rdhp;;;;;0.051840599;6713.740189;-21.3875823;0
0.16647655;ldhp*pert;INT;;;;0.030718541;4558.619676;5.419415843;6.28769E-08
0.184080158;ldhp*pert;MOY;;;;0.028501334;4749.257224;6.45865061;1.16214E-10
-0.261373682;ldhp*sdom;;2OUEST;;;0.167019793;1163.974444;-1.564926394;0.117871983
-0.112370929;ldhp*sdom;;3OUEST;;;0.10037603;1244.775617;-1.119499641;0.263143012
-0.236153368;ldhp*sdom;;4EST;;;0.089235005;1110.205397;-2.646420724;0.00824992
0.229740483;ldhp*sdom;;4OUEST;;;0.054136251;1121.630326;4.243745666;2.3797E-05
0.268573826;ldhp*sdom;;5OUEST;;;0.044125847;1149.757584;6.086542142;1.56965E-09
0.002849044;ldhp*sdom;;6EST;;;0.090999649;1145.108822;0.031308301;0.975029126
-0.303712348;ldhp*vp;;;MJ2;;0.127250047;1225.888978;-2.386736634;0.017149585
-0.187229185;ldhp*vp;;;MS2;;0.085752558;1160.367764;-2.183365608;0.029208691
0.025609066;ldhp*vp;;;RE1;;0.070037024;1175.507459;0.365650403;0.714691745
0.076894101;ldhp*vp;;;RE2;;0.057132116;1138.059055;1.345899771;0.178602889
0.050318243;ldhp*vp;;;RE3;;0.111242266;1418.119291;0.452330258;0.651100263
-0.225207507;ldhp*vp;;;RS1;;0.156942837;1079.090549;-1.434965183;0.151586777
-0.001025657;ldhp*alt;;;;;0.000237737;1157.804045;-4.31425057;1.73802E-05
0.00107184;ldhp*Ptot;;;;;0.000386625;1082.643439;2.772298069;0.005661673
