row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34;Col35;Col36;Col37;Col39;Col40;Col41;Col42;Col43;Col44;Col45;Col46;Col47;Col48;Col50
1;ldhp;;;;;0.022092796;-0.001504471;3.92194E-05;-0.000159844;4.31467E-05;-0.001964008;-0.0018089;-0.001541488;-0.001531772;-0.001616586;-0.001480387;-0.001368318;-0.001444701;-0.001314764;-0.00136291;-0.007009716;-0.007019938;-0.00699194;-0.009017988;-0.007147501;-0.007219438;-0.007278423;-0.007295185;-0.007227984;-0.007232254;-0.007101561;-0.00711498;-0.012018365;-0.007596969;-0.014741126;-0.006964809;-0.007203355;-0.007429649;-0.013410626;-0.00748853;-0.006984911;-2.00341E-07;-0.00928677;-0.009222374;-0.009269998;-0.00920029;-0.009291254;-0.009241357;-0.009248975;-0.002923492;-0.004560591;-2.24249E-05
2;ldhp2;;;;;-0.001504471;0.000552353;-1.57747E-05;5.68191E-05;-1.54143E-05;1.17358E-05;1.45165E-05;1.34392E-05;1.10399E-05;8.1291E-06;1.32879E-05;-1.14884E-06;1.6423E-05;4.27899E-06;1.60908E-06;2.07807E-06;-8.64397E-06;1.51506E-05;7.21273E-06;4.1626E-06;7.07224E-06;1.68033E-06;1.97069E-05;-4.477E-06;2.08017E-05;1.63349E-05;-3.0678E-05;1.00523E-05;3.53418E-05;5.13107E-05;8.00171E-06;1.80711E-05;2.58747E-05;3.64176E-05;5.48456E-05;1.79019E-05;8.07762E-08;4.94114E-06;8.95331E-06;2.82689E-06;-3.14869E-06;3.7598E-06;5.83507E-07;-3.13634E-06;-5.07082E-06;3.15861E-06;-3.78054E-07
3;ldhp*st;;;;;3.92194E-05;-1.57747E-05;1.25179E-06;-6.46006E-07;-9.34E-08;-6.29989E-07;-1.05311E-07;-2.58267E-07;-1.22389E-07;-4.92028E-07;2.05445E-07;-1.38155E-07;3.99141E-07;3.81781E-08;4.13255E-07;1.00526E-06;1.07782E-06;1.05129E-06;1.73482E-06;1.68675E-06;1.8317E-06;2.0265E-06;2.48071E-06;6.45479E-07;2.52793E-06;2.32637E-06;8.02835E-07;1.56953E-06;2.92909E-06;2.31497E-06;-4.64909E-07;1.12957E-06;2.65578E-06;2.2782E-06;3.60585E-06;2.19237E-06;-1.15088E-08;-3.11833E-07;-4.57623E-07;-6.35393E-07;-5.04108E-07;-2.02406E-07;-4.63641E-07;-4.66495E-07;1.51764E-08;-1.73625E-07;5.18423E-08
4;ldhp*stgt;;;;;-0.000159844;5.68191E-05;-6.46006E-07;1.14716E-05;-3.89439E-06;9.907E-07;2.61354E-06;3.29919E-07;1.51506E-06;9.87473E-07;2.80892E-06;7.84902E-07;2.99167E-06;1.03927E-06;4.44947E-07;2.76694E-07;4.40668E-07;1.68925E-06;3.50367E-06;2.91906E-06;2.533E-06;2.00755E-06;3.89359E-06;2.67318E-07;3.63487E-06;3.99911E-06;2.58404E-06;1.80891E-06;5.48347E-06;8.17168E-06;-3.2141E-06;2.81775E-06;4.42315E-06;6.12563E-06;8.86931E-06;3.48713E-06;-2.61484E-09;1.23271E-06;1.22286E-06;7.86295E-07;4.90003E-07;1.25062E-06;9.48205E-07;1.03709E-06;-2.36748E-07;7.56862E-07;-2.00728E-07
5;ldhp2*stgt;;;;;4.31467E-05;-1.54143E-05;-9.34E-08;-3.89439E-06;1.43588E-06;-1.82178E-07;-6.04587E-07;1.60984E-07;-3.26428E-07;-1.7727E-07;-8.10847E-07;-1.8149E-07;-8.92958E-07;-2.40436E-07;-1.70394E-07;9.02125E-09;-1.4381E-07;-3.70311E-07;-1.09197E-06;-9.87874E-07;-7.5558E-07;-5.68284E-07;-1.14006E-06;1.08774E-07;-1.01458E-06;-1.20422E-06;-1.0847E-06;-5.28755E-07;-1.48597E-06;-2.21904E-06;1.44824E-06;-9.13071E-07;-1.23901E-06;-1.5953E-06;-2.56525E-06;-1.13093E-06;3.22894E-09;-2.21202E-07;-2.18594E-07;-1.09972E-07;-9.67173E-08;-2.58963E-07;-1.74171E-07;-2.30475E-07;1.54087E-09;-1.97579E-07;6.20762E-08
6;ldhp*sdom;;1;;;-0.001964008;1.17358E-05;-6.29989E-07;9.907E-07;-1.82178E-07;0.00696512;0.002815438;0.002833645;0.002349047;0.002536681;0.001980059;0.002003742;0.001511109;0.001585563;0.000969576;-0.00027984;3.05741E-05;-6.00206E-05;-2.35481E-05;-7.13905E-05;-0.000100749;0.000229321;0.000110418;-0.00039462;0.000232182;1.68517E-05;0.000512853;0.000584319;0.000225569;0.000776029;-0.000317754;6.21013E-05;0.000204757;0.000626435;-0.000127646;-2.31356E-05;1.39888E-08;0.000499952;0.000493104;0.00052496;0.000655576;0.000425983;0.000530858;0.000640721;9.64163E-05;0.000150498;-0.000298082
7;ldhp*sdom;;2EST;;;-0.0018089;1.45165E-05;-1.05311E-07;2.61354E-06;-6.04587E-07;0.002815438;0.003809627;0.002516225;0.002173932;0.002279094;0.001904342;0.001854573;0.00147916;0.001536214;0.000987456;0.000166346;0.000160826;0.000113871;0.000239273;8.93979E-05;0.000135352;0.000255133;0.000207211;-0.000250435;0.000269797;0.000280983;0.000544098;8.31778E-05;0.000356209;0.000646133;0.000196708;0.000188664;0.000311323;0.000442181;7.23356E-06;-0.000186856;-3.57094E-09;0.00028088;0.000292973;0.000278559;0.000392688;5.46365E-05;0.000234477;0.000366649;-0.000124272;0.000208708;-0.000259899
8;ldhp*sdom;;2OUEST;;;-0.001541488;1.34392E-05;-2.58267E-07;3.29919E-07;1.60984E-07;0.002833645;0.002516225;0.004577256;0.00216567;0.002339808;0.001841135;0.001855006;0.001447118;0.001506545;0.000996096;-0.000188553;0.000145986;-0.000168808;-0.000417783;9.83071E-05;0.000118767;0.000377972;0.000303406;-0.000115372;0.000392049;0.000150812;0.000615675;7.85391E-05;0.000419057;0.000301288;1.67038E-05;0.000185004;0.000383924;0.000203108;0.000122284;0.000263137;2.25356E-09;-0.000103062;-4.07768E-05;-7.45663E-05;6.22939E-05;1.2567E-06;-5.40126E-05;4.47235E-06;0.00014865;0.000188393;-0.000244497
9;ldhp*sdom;;3EST;;;-0.001531772;1.10399E-05;-1.22389E-07;1.51506E-06;-3.26428E-07;0.002349047;0.002173932;0.00216567;0.002210264;0.002006601;0.001678398;0.001687669;0.001397787;0.001426672;0.001052069;-0.00010874;-9.14728E-05;-2.40088E-05;2.42832E-05;-0.000166364;-6.5286E-05;0.000122361;5.55432E-05;-0.000230101;0.000125159;-1.9362E-05;0.000279889;2.80828E-05;0.000200817;0.000364857;-1.52499E-05;2.91091E-05;0.000149454;0.000210225;-4.73883E-05;-0.000127438;-1.89583E-09;0.000161478;0.000183273;0.000161013;0.000255969;0.000231523;0.000167848;0.00025758;9.06586E-05;0.000140153;-0.000173381
10;ldhp*sdom;;3OUEST;;;-0.001616586;8.1291E-06;-4.92028E-07;9.87473E-07;-1.7727E-07;0.002536681;0.002279094;0.002339808;0.002006601;0.002488715;0.001730752;0.001759919;0.001415678;0.001457141;0.001035706;2.83372E-05;1.16327E-05;-0.000121399;4.74488E-05;2.38168E-05;4.03783E-05;0.000276261;0.000200775;-0.000128148;0.000280973;0.000239307;0.00044098;0.000233393;0.000318551;0.000450437;-0.000117335;0.000183872;0.000290039;0.000312722;6.70262E-05;0.000152524;1.23446E-08;0.000101635;0.000103729;0.00010264;0.000240412;0.000172777;0.0001191;0.000259863;0.000116087;0.000113082;-0.000199356
