row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col25
1;ldhp;;;;;0.027481063;-0.006173985;7.43699E-05;0.004042872;0.003633549;0.001763784;0.001728308;0.000260759;0.000219811;-9.14078E-05;-0.00123727;-0.008714725;-0.008713025;-0.00894827;-0.009240635;-0.009527326;-0.010072891;-0.00923993;-0.009251019;-0.009677451;-0.009864874;-0.009841797;-2.14081E-06
2;ldhp2;;;;;-0.006173985;0.002731146;-4.20105E-05;-0.002011118;4.14938E-05;5.38072E-05;-7.38386E-05;5.51664E-05;-7.6602E-06;7.02652E-05;1.6383E-05;3.87216E-06;0.000128967;-1.86364E-05;3.6931E-05;0.000147013;0.000179293;0.000165729;0.000150271;0.000163302;0.000217421;0.000220348;1.09803E-06
3;ldhp*st;;;;;7.43699E-05;-4.20105E-05;1.58304E-06;3.26334E-05;-4.62978E-06;1.40044E-06;-3.99269E-06;4.35658E-08;-3.15945E-06;-1.54356E-06;7.18364E-07;6.25775E-06;5.80067E-06;7.41697E-06;5.17133E-06;7.60329E-06;8.36231E-06;7.11486E-06;7.66179E-07;5.06857E-06;8.00008E-06;9.83385E-06;-3.41517E-08
4;ldhp*rdhp;;;;;0.004042872;-0.002011118;3.26334E-05;0.001912193;-7.42224E-05;-2.66162E-05;5.3163E-06;-3.72585E-05;-3.01704E-05;-7.43907E-05;1.05457E-05;2.91786E-05;-0.000110144;3.04393E-06;-1.57108E-05;-6.16717E-05;-9.40693E-05;-4.57833E-05;-3.85195E-05;-6.7636E-05;-0.000162851;-0.000188139;-9.25286E-07
5;ldhp*sdom;;1;;;0.003633549;4.14938E-05;-4.62978E-06;-7.42224E-05;0.013158103;0.005811716;0.005068021;0.00297581;0.003097889;0.002301885;-0.001810755;-0.000211573;-2.94769E-06;-0.000342848;0.000153651;-0.000329379;-0.000395554;-5.69413E-05;-0.000220835;-0.000592027;-0.000485182;-0.000490688;6.57921E-08
6;ldhp*sdom;;2EST;;;0.001763784;5.38072E-05;1.40044E-06;-2.66162E-05;0.005811716;0.006795991;0.003922174;0.002484683;0.002488664;0.002042723;-0.001308033;0.00044668;0.000514408;0.000140248;0.000641347;-0.000115014;3.50097E-05;0.000207823;0.000347597;0.000275307;-0.000139286;-0.000103561;-9.25433E-08
7;ldhp*sdom;;2OUEST;;;0.001728308;-7.38386E-05;-3.99269E-06;5.3163E-06;0.005068021;0.003922174;0.005915495;0.002202805;0.002309862;0.00181462;-0.001100075;-2.42138E-06;-0.000266696;0.00019636;0.000578091;8.99257E-05;0.00016253;5.54215E-05;-0.000634934;0.000111951;0.000154926;-0.000143177;7.37325E-08
8;ldhp*sdom;;3EST;;;0.000260759;5.51664E-05;4.35658E-08;-3.72585E-05;0.00297581;0.002484683;0.002202805;0.002372305;0.001554125;0.001365785;-0.000557392;-4.6097E-05;-5.24911E-05;-0.000171018;0.000320863;2.5074E-05;8.65741E-05;-0.000111946;0.000147101;7.81048E-05;-0.000170219;-0.000179034;-2.52546E-08
9;ldhp*sdom;;3OUEST;;;0.000219811;-7.6602E-06;-3.15945E-06;-3.01704E-05;0.003097889;0.002488664;0.002309862;0.001554125;0.002588385;0.001232889;-0.000610798;0.000181883;0.000278417;0.000236326;0.000516749;0.000524261;0.000499861;0.000510039;8.89894E-05;0.000517527;0.000474336;0.00029034;6.29041E-08
10;ldhp*sdom;;4EST;;;-9.14078E-05;7.02652E-05;-1.54356E-06;-7.43907E-05;0.002301885;0.002042723;0.00181462;0.001365785;0.001232889;0.002480608;-0.000367015;-3.43829E-05;2.67378E-05;5.23126E-05;0.000359377;-0.001051961;-2.47168E-05;-0.000482289;8.48818E-05;-0.0001383;-0.000218739;-0.000154821;3.15803E-08
12;ldhp*Tmoy;;;;;-0.00123727;1.6383E-05;7.18364E-07;1.05457E-05;-0.001810755;-0.001308033;-0.001100075;-0.000557392;-0.000610798;-0.000367015;0.000481355;4.55768E-07;-6.41779E-05;7.80185E-05;3.82258E-05;8.91749E-05;0.000189779;1.16333E-05;9.45145E-05;0.000111586;0.000144786;0.000161415;-3.75018E-08
13;ldhp*vp;;;FE3;;-0.008714725;3.87216E-06;6.25775E-06;2.91786E-05;-0.000211573;0.00044668;-2.42138E-06;-4.6097E-05;0.000181883;-3.43829E-05;4.55768E-07;0.0120184;0.008536605;0.008523729;0.008516999;0.008585658;0.008566747;0.008580859;0.008475545;0.008583175;0.008574434;0.00857267;-1.0152E-07
14;ldhp*vp;;;MF1;;-0.008713025;0.000128967;5.80067E-06;-0.000110144;-2.94769E-06;0.000514408;-0.000266696;-5.24911E-05;0.000278417;2.67378E-05;-6.41779E-05;0.008536605;0.018408403;0.008495279;0.008464089;0.008536926;0.008525268;0.00861323;0.008528732;0.008566943;0.008558528;0.008581575;-1.01996E-07
15;ldhp*vp;;;MJ1;;-0.00894827;-1.86364E-05;7.41697E-06;3.04393E-06;-0.000342848;0.000140248;0.00019636;-0.000171018;0.000236326;5.23126E-05;7.80185E-05;0.008523729;0.008495279;0.010655438;0.008591001;0.008613035;0.008683766;0.008610908;0.008390826;0.008634608;0.008710659;0.008671396;-1.11085E-07
16;ldhp*vp;;;MJ2;;-0.009240635;3.6931E-05;5.17133E-06;-1.57108E-05;0.000153651;0.000641347;0.000578091;0.000320863;0.000516749;0.000359377;3.82258E-05;0.008516999;0.008464089;0.008591001;0.009661527;0.008617298;0.008743933;0.008581765;0.00846606;0.008682366;0.008684263;0.008645209;-1.00514E-07
17;ldhp*vp;;;MS1;;-0.009527326;0.000147013;7.60329E-06;-6.16717E-05;-0.000329379;-0.000115014;8.99257E-05;2.5074E-05;0.000524261;-0.001051961;8.91749E-05;0.008585658;0.008536926;0.008613035;0.008617298;0.013369411;0.008995738;0.00917853;0.008432935;0.008998295;0.009060026;0.008903855;-1.82264E-07
18;ldhp*vp;;;MS2;;-0.010072891;0.000179293;8.36231E-06;-9.40693E-05;-0.000395554;3.50097E-05;0.00016253;8.65741E-05;0.000499861;-2.47168E-05;0.000189779;0.008566747;0.008525268;0.008683766;0.008743933;0.008995738;0.012519613;0.008842517;0.00849604;0.008878947;0.008951102;0.008873315;-1.75423E-07
19;ldhp*vp;;;RC3;;-0.00923993;0.000165729;7.11486E-06;-4.57833E-05;-5.69413E-05;0.000207823;5.54215E-05;-0.000111946;0.000510039;-0.000482289;1.16333E-05;0.008580859;0.00861323;0.008610908;0.008581765;0.00917853;0.008842517;0.01013131;0.008450766;0.008865336;0.008917709;0.008807479;-2.64474E-07
20;ldhp*vp;;;RP1;;-0.009251019;0.000150271;7.66179E-07;-3.85195E-05;-0.000220835;0.000347597;-0.000634934;0.000147101;8.89894E-05;8.48818E-05;9.45145E-05;0.008475545;0.008528732;0.008390826;0.00846606;0.008432935;0.00849604;0.008450766;0.019377502;0.008514862;0.008410073;0.008476248;-1.984E-08
21;ldhp*vp;;;RS1;;-0.009677451;0.000163302;5.06857E-06;-6.7636E-05;-0.000592027;0.000275307;0.000111951;7.81048E-05;0.000517527;-0.0001383;0.000111586;0.008583175;0.008566943;0.008634608;0.008682366;0.008998295;0.008878947;0.008865336;0.008514862;0.009437729;0.008875788;0.008790454;-1.65842E-07
22;ldhp*vp;;;RS2;;-0.009864874;0.000217421;8.00008E-06;-0.000162851;-0.000485182;-0.000139286;0.000154926;-0.000170219;0.000474336;-0.000218739;0.000144786;0.008574434;0.008558528;0.008710659;0.008684263;0.009060026;0.008951102;0.008917709;0.008410073;0.008875788;0.012819995;0.008902631;-1.49818E-07
23;ldhp*vp;;;RS3;;-0.009841797;0.000220348;9.83385E-06;-0.000188139;-0.000490688;-0.000103561;-0.000143177;-0.000179034;0.00029034;-0.000154821;0.000161415;0.00857267;0.008581575;0.008671396;0.008645209;0.008903855;0.008873315;0.008807479;0.008476248;0.008790454;0.008902631;0.013929975;-1.42547E-07
25;ldhp*dens;;;;;-2.14081E-06;1.09803E-06;-3.41517E-08;-9.25286E-07;6.57921E-08;-9.25433E-08;7.37325E-08;-2.52546E-08;6.29041E-08;3.15803E-08;-3.75018E-08;-1.0152E-07;-1.01996E-07;-1.11085E-07;-1.00514E-07;-1.82264E-07;-1.75423E-07;-2.64474E-07;-1.984E-08;-1.65842E-07;-1.49818E-07;-1.42547E-07;1.09141E-09
