"Intercept","CP","CouvertERS","CouvertSAB","ST_M2_ha","CP:CouvertERS","CP:CouvertSAB","CP:ST_M2_ha","CouvertERS:ST_M2_ha","CouvertSAB:ST_M2_ha"
9.73004164340231e-06,-4.20978037310898e-06,-9.55155598717669e-06,-9.72081158618835e-06,-4.85240692421043e-07,3.2078739475344e-06,3.36000586733496e-06,5.70681046792566e-08,4.76199633935456e-07,4.84556949576752e-07
-4.20978037310898e-06,0.000539681220708707,-2.71626787270451e-05,2.58741139100455e-06,7.87466824589895e-08,-0.000363575930103527,-0.000390316187739265,-1.00308720478154e-05,1.51040195591859e-06,4.14349325285244e-08
-9.55155598717669e-06,-2.71626787270451e-05,0.000141106513523777,9.93577961390749e-06,4.72097591656871e-07,-4.69105916278809e-05,-8.21125612224579e-06,2.37559894204574e-06,-6.20038782875676e-06,-5.00560053948939e-07
-9.72081158618835e-06,2.58741139100455e-06,9.93577961390749e-06,1.5647846040641e-05,4.84561021154549e-07,-3.79410694749583e-06,-5.82414719762344e-06,6.87327943767603e-08,-4.95450067099395e-07,-7.33761097973388e-07
-4.85240692421043e-07,7.87466824589895e-08,4.72097591656871e-07,4.84561021154549e-07,3.57315397226741e-08,-4.96956565284772e-09,-1.61720633418078e-08,-4.20230883578932e-09,-3.50657857052161e-08,-3.56811911328257e-08
3.2078739475344e-06,-0.000363575930103527,-4.69105916278809e-05,-3.79410694749583e-06,-4.96956565284772e-09,0.000511873878885749,0.000417548061186388,-3.62459358978851e-06,1.28316977632872e-06,4.83964491000404e-08
3.36000586733496e-06,-0.000390316187739265,-8.21125612224579e-06,-5.82414719762344e-06,-1.61720633418078e-08,0.000417548061186388,0.000537689775491984,-1.55111432048168e-06,2.61908545535074e-07,8.84844377481973e-09
5.70681046792566e-08,-1.00308720478154e-05,2.37559894204574e-06,6.87327943767603e-08,-4.20230883578932e-09,-3.62459358978851e-06,-1.55111432048168e-06,7.77808708037248e-07,-1.19022635456522e-07,-5.11675198341706e-09
4.76199633935456e-07,1.51040195591859e-06,-6.20038782875676e-06,-4.95450067099395e-07,-3.50657857052161e-08,1.28316977632872e-06,2.61908545535074e-07,-1.19022635456522e-07,3.2502029155309e-07,3.6491816511017e-08
4.84556949576752e-07,4.14349325285244e-08,-5.00560053948939e-07,-7.33761097973388e-07,-3.56811911328257e-08,4.83964491000404e-08,8.84844377481973e-09,-5.11675198341706e-09,3.6491816511017e-08,5.41417000221356e-08
