ESSENCE,DHP,GROUPE,DER,ScF1,ScF2,ScF3,ScF4,PATE,CARIE,NU,BM,AUTRE
BOG,10,Tous FD 10-22 ,0,0,0,0,0,64,2,34,0,0
BOG,12,Tous FD 10-22 ,0,0,0,0,0,79,2,19,0,0
BOG,14,Tous FD 10-22 ,0,0,0,0,0,82,2,13,3,0
BOG,16,Tous FD 10-22 ,0,0,0,0,0,82,2,13,3,0
BOG,18,Tous FD 10-22 ,0,0,0,0,0,82,2,10,6,0
BOG,20,Tous FD 10-22 ,0,0,0,0,0,82,2,9,7,0
BOG,22,Tous FD 10-22 ,0,0,0,0,0,82,2,9,7,0
BOG,24,BOP 24 +  ,0,0.2656828,0.1726053,38.85597,7.660777,30.04497,1,9,13,0
BOG,26,BOP 24 +  ,0,0.4600935,0.4785825,38.85597,6.218846,30.98651,1,9,13,0
BOG,28,BOP 24 +  ,0,0.7673572,1.182864,38.85597,5.145442,30.04837,2,9,13,0
BOG,30,BOP 24 +  ,0,1.227181,2.571018,34.63542,4.329537,33.23684,2,9,13,0
BOG,32,BOP 24 +  ,2.892848,1.378262,4.038994,29.75363,3.713595,34.22267,2,9,13,0
BOG,34,BOP 24 +  ,3.508458,2.016794,6.577869,27.19645,3.237193,33.46323,3,9,12,0
BOG,36,BOP 24 +  ,4.234676,2.806018,9.284185,25.04653,2.860718,30.76788,4,9,12,0
BOG,38,BOP 24 +  ,4.952251,3.716064,11.64421,23.2328,2.564124,28.89055,4,9,12,0
BOG,40,BOP 24 +  ,5.554898,4.673629,13.31207,21.58294,2.320232,26.55623,5,10,11,0
BOG,42,BOP 24 +  ,5.970739,5.577013,14.15332,19.95756,2.109107,25.23226,6,10,11,0
BOG,44,BOP 24 +  ,6.148817,6.317183,14.1382,18.2608,1.917222,25.21778,7,10,11,0
BOG,46,BOP 24 +  ,6.152228,6.913088,13.48518,16.71466,1.764858,25.96999,8,10,11,0
BOG,48,BOP 24 +  ,5.992376,7.369623,12.23676,15.33737,1.651729,27.41213,9,10,11,0
BOG,50,BOP 24 +  ,5.601031,7.599309,10.26427,13.93792,1.55598,29.0415,11,9,12,0
BOG,52,BOP 24 +  ,5.200597,7.056013,9.530446,12.94145,1.444738,30.82675,12,9,12,0
BOG,54,BOP 24 +  ,4.823306,6.544116,8.839036,12.00258,1.339926,31.45103,14,9,12,0
BOG,56,BOP 24 +  ,4.472505,6.06816,8.196169,11.12963,1.242473,32.89106,15,9,12,0
BOG,58,BOP 24 +  ,4.154068,5.636115,7.612613,10.33721,1.15401,35.10598,15,9,12,0
BOG,60,BOP 24 +  ,3.864542,5.243294,7.082036,9.61674,1.073579,37.11981,15,9,12,0
BOG,62,BOP 24 +  ,3.600864,4.885544,6.598828,8.96059,1.000329,38.95385,15,9,12,0
BOG,64,BOP 24 +  ,3.360325,4.559188,6.158024,8.36202,0.9335064,40.62694,15,9,12,0
BOG,66,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,68,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,70,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,72,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,74,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,76,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,78,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,80,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,82,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
BOG,84,BOP 24 +  ,3.140526,4.260971,5.755227,7.815059,0.8724457,42.15577,15,9,12,0
