EstType,Parameter,awood,bwood,cwood,abark,bbark,cbark,abranch,bbranch,cbranch,afoliage,bfoliage,cfoliage,ess,esslat
SUR Esti,awood,6.85E-07,6.83E-07,-9.10E-06,1.25E-07,-8.59E-08,-8.36E-06,5.81E-08,-2.80E-08,-1.87E-06,-1.16E-07,1.68E-06,-1.79E-06,Balsam Fir,AbiesBalsamea
SUR Esti,bwood,6.83E-07,0.000265037,-0.00030434,1.58E-08,0.000233458,-0.0002641,-3.09E-07,9.168E-05,-9.20463E-05,-1.79E-06,5.61355E-05,-5.45484E-05,Balsam Fir,AbiesBalsamea
SUR Esti,cwood,-9.10E-06,-0.00030434,0.000452604,-1.53E-06,-0.000262373,0.000399837,-3.98E-07,-0.000103413,0.000129246,2.95E-06,-8.25816E-05,8.44152E-05,Balsam Fir,AbiesBalsamea
SUR Esti,abark,1.25E-07,1.58E-08,-1.53E-06,1.23E-07,5.04E-07,-9.08E-06,3.28E-08,-1.05E-06,2.36E-07,-6.97E-08,1.98E-08,8.56E-08,Balsam Fir,AbiesBalsamea
SUR Esti,bbark,-8.59E-08,0.000233458,-0.000262373,5.04E-07,0.001504018,-0.001716305,1.58E-08,1.18478E-05,-1.84605E-05,-1.81E-06,-0.000180677,0.000216938,Balsam Fir,AbiesBalsamea
SUR Esti,cbark,-8.36E-06,-0.0002641,0.000399837,-9.08E-06,-0.001716305,0.002555367,-2.20E-06,5.76165E-05,2.93E-06,6.49E-06,0.000208291,-0.000257126,Balsam Fir,AbiesBalsamea
SUR Esti,abranche,5.81E-08,-3.09E-07,-3.98E-07,3.28E-08,1.58E-08,-2.20E-06,6.31E-07,-9.76E-06,-8.70E-06,2.04E-06,-2.73E-06,-3.55E-06,Balsam Fir,AbiesBalsamea
SUR Esti,bbranche,-2.80E-08,9.168E-05,-0.000103413,-1.05E-06,1.18478E-05,5.76165E-05,-9.76E-06,0.004450268,-0.004869143,-2.38471E-05,0.00227325,-0.002545082,Balsam Fir,AbiesBalsamea
SUR Esti,cbranche,-1.87E-06,-9.20463E-05,0.000129246,2.36E-07,-1.84605E-05,2.93E-06,-8.70E-06,-0.004869143,0.005971127,-4.20858E-05,-0.002531298,0.003077744,Balsam Fir,AbiesBalsamea
SUR Esti,afoliage,-1.16E-07,-1.79E-06,2.95E-06,-6.97E-08,-1.81E-06,6.49E-06,2.04E-06,-2.38471E-05,-4.20858E-05,5.34073E-05,-5.09641E-05,-0.000108865,Balsam Fir,AbiesBalsamea
SUR Esti,bfoliage,1.68E-06,5.61355E-05,-8.25816E-05,1.98E-08,-0.000180677,0.000208291,-2.73E-06,0.00227325,-0.002531298,-5.09641E-05,0.005627117,-0.006341406,Balsam Fir,AbiesBalsamea
SUR Esti,cfoliage,-1.79E-06,-5.45484E-05,8.44152E-05,8.56E-08,0.000216938,-0.000257126,-3.55E-06,-0.002545082,0.003077744,-0.000108865,-0.006341406,0.007710987,Balsam Fir,AbiesBalsamea
SUR Esti,awood,2.31E-06,3.77174E-05,-0.000106909,-8.31E-07,1.6786E-05,-3.71E-06,1.75E-06,1.59785E-05,-6.90864E-05,-6.00E-07,1.86053E-05,-1.73014E-05,Balsam Poplar,PopulusBalsamifera
SUR Esti,bwood,3.77174E-05,0.002923008,-0.004298695,1.08662E-05,0.000267406,-0.000503622,2.87278E-05,0.002726874,-0.003922646,6.21905E-05,0.001034019,-0.001475136,Balsam Poplar,PopulusBalsamifera
SUR Esti,cwood,-0.000106909,-0.004298695,0.007791004,1.08334E-05,-0.000775994,0.000681557,-8.16121E-05,-0.003528208,0.006386271,-5.48821E-05,-0.001668671,0.002145471,Balsam Poplar,PopulusBalsamifera
SUR Esti,abark,-8.31E-07,1.08662E-05,1.08334E-05,1.29039E-05,0.000129216,-0.000383981,-1.54E-06,-6.11946E-05,0.000115136,1.06E-06,-2.37E-06,-3.33E-06,Balsam Poplar,PopulusBalsamifera
SUR Esti,bbark,1.6786E-05,0.000267406,-0.000775994,0.000129216,0.008814173,-0.012162664,-2.78823E-05,-0.003397013,0.004652493,-8.91E-06,9.31E-06,2.72838E-05,Balsam Poplar,PopulusBalsamifera
SUR Esti,cbark,-3.71E-06,-0.000503622,0.000681557,-0.000383981,-0.012162664,0.020669192,6.03499E-05,0.004957846,-0.007402232,-9.07E-06,2.22532E-05,3.74003E-05,Balsam Poplar,PopulusBalsamifera
SUR Esti,abranche,1.75E-06,2.87278E-05,-8.16121E-05,-1.54E-06,-2.78823E-05,6.03499E-05,7.85E-06,0.000184182,-0.000446075,-2.26E-06,5.18067E-05,-4.71105E-05,Balsam Poplar,PopulusBalsamifera
SUR Esti,bbranche,1.59785E-05,0.002726874,-0.003528208,-6.11946E-05,-0.003397013,0.004957846,0.000184182,0.021420369,-0.029869667,0.000312791,0.003786153,-0.005955065,Balsam Poplar,PopulusBalsamifera
SUR Esti,cbranche,-6.90864E-05,-0.003922646,0.006386271,0.000115136,0.004652493,-0.007402232,-0.000446075,-0.029869667,0.047483623,-0.000294883,-0.005751735,0.008146837,Balsam Poplar,PopulusBalsamifera
SUR Esti,afoliage,-6.00E-07,6.21905E-05,-5.48821E-05,1.06E-06,-8.91E-06,-9.07E-06,-2.26E-06,0.000312791,-0.000294883,0.000106006,0.000905952,-0.001611546,Balsam Poplar,PopulusBalsamifera
