"effectId","effect"
1,"(Intercept)"
2,"DD"
3,"dt"
4,"dummyDepth2Average"
5,"dummyDepth3Shallow"
6,"dummyDepth4VeryShallow"
7,"dummyDrainage2mesique"
8,"dummyDrainage3subhydrique"
9,"dummyDrainage4hydrique"
10,"dummyOrigine2Fire"
11,"dummyOrigine3OtherNatural"
12,"dummyOrigine4Harvest"
13,"dummyPastDist2Fire"
14,"dummyPastDist3OtherNatural"
15,"dummyPastDist4Harvest"
16,"dummyTexture1Crude"
17,"dummyTexture2Mixed"
18,"dummyTexture3Fine"
19,"dummyUpcomingDist2Fire"
20,"dummyUpcomingDist3OtherNatural"
21,"dummyUpcomingDist4Harvest"
22,"G_F"
23,"G_R"
24,"G_SpGr"
25,"hasExpo:cosExpo"
26,"lnDt"
27,"lnG_F"
28,"lnG_R"
29,"lnG_SpGr"
30,"lnPente"
31,"logDD"
32,"logPrcp"
33,"pentePerc"
34,"speciesNear"
35,"speciesThere"
36,"timeSince1970"
37,"TotalPrcp"
