"sp","effect"
1,1
1,6
1,2
1,5
2,1
2,3
2,2
2,30
2,6
2,29
3,1
3,3
3,2
3,11
3,30
3,10
3,6
3,14
3,9
3,5
3,29
4,1
4,6
5,1
5,3
5,6
6,1
6,3
6,13
6,26
6,6
6,5
7,1
7,3
7,2
7,11
7,30
7,4
7,7
7,6
7,14
7,5
7,15
7,16
7,17
7,18
7,19
7,20
7,29
8,1
8,30
8,26
8,6
8,14
8,5
8,29
9,1
9,2
9,5
10,1
10,3
10,30
10,5
11,1
11,3
11,8
11,26
11,6
11,14
11,5
12,1
12,3
12,30
12,12
12,6
12,14
12,5
13,1
13,6
14,1
14,2
14,26
14,6
14,5
15,1
15,3
15,13
15,6
15,14
15,5
16,1
16,2
16,6
16,5
17,1
17,26
18,1
18,3
18,6
18,5
18,32
18,34
19,1
19,3
19,4
19,6
19,5
19,32
19,33
19,34
19,35
20,1
20,30
20,6
20,5
20,31
20,32
20,33
20,34
20,35
20,29
21,1
21,6
21,5
21,29
22,1
22,3
22,30
22,6
23,1
23,3
23,2
23,6
23,5
24,1
24,26
25,1
25,3
25,6
25,5
25,29
26,1
26,3
27,1
27,3
27,2
27,11
27,30
27,4
27,13
27,7
27,6
27,14
27,5
27,15
27,16
27,17
27,18
27,19
27,20
27,21
27,22
27,23
27,24
27,25
27,31
27,32
27,33
27,34
27,35
27,29
28,1
28,27
28,28
28,6
28,5
29,1
29,6
29,5
30,1
30,2
30,6
30,14
31,1
31,6
31,5
32,1
32,3
32,10
32,7
32,6
32,5
32,21
32,22
32,23
32,24
32,25
33,1
33,3
33,6
