"effectId","effect"
1,"(Intercept)"
2,"DD"
3,"DD:TotalPrcp"
4,"dummyDepth1Thick"
5,"dummyDepth2Average"
6,"dummyDepth3Shallow"
7,"dummyDepth4VeryShallow"
8,"dummyDrainage1xerique"
9,"dummyDrainage2mesique"
10,"dummyDrainage3subhydrique"
11,"dummyDrainage4hydrique"
12,"dummyOrigine2Fire"
13,"dummyOrigine3OtherNatural"
14,"dummyOrigine4Harvest"
15,"dummyPastDist3OtherNatural"
16,"dummyPastDist4Harvest"
17,"dummyTexture1Crude"
18,"dummyTexture2Mixed"
19,"dummyTexture3Fine"
20,"dummyUpcomingDist3OtherNatural"
21,"dummyUpcomingDist4Harvest"
22,"G_F"
23,"G_R"
24,"G_SpGr"
25,"hasExpo:cosExpo"
26,"lnDt"
27,"lnG_F"
28,"lnG_R"
29,"lnG_SpGr"
30,"lnPente"
31,"logDD"
32,"logDD:logPrcp"
33,"logPrcp"
34,"pentePerc"
35,"speciesThere"
36,"speciesThere:speciesWithin10Km"
37,"speciesWithin10Km"
38,"timeSince1970"
39,"TotalPrcp"
