Row;Effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col27;Col28;Col29;Col30;Col31;Col32;Col33;Col34
1;ldhp;;;;;0.07901284;-0.007458075;-3.06263E-05;-0.015922681;0.004934748;-0.014765985;-0.015606357;-0.017062419;-0.015406044;-0.021647862;-0.01568882;-0.016415556;-0.020115549;-0.016057801;-0.026053982;-0.017443238;-0.002771811;-0.012646203;-0.012999614;-0.013949384;-0.014227814;-0.014124253;-0.015679102;-0.013010768;-1.66513E-05;-0.010940069;-0.0112825;-0.010569433;-0.010390393;-0.010379795;-0.010114607;-0.010053075
2;ldhp2;;;;;-0.007458075;0.002648658;-4.95195E-06;0.003405505;-0.001247261;-0.000197156;-0.000206749;-0.000110759;-3.36517E-05;-9.5276E-05;-0.000181555;-0.000138837;-0.000160244;-4.44768E-07;2.31014E-05;3.77885E-05;6.26482E-05;-6.22302E-06;-8.9053E-06;-8.75184E-06;-0.00010245;7.4188E-06;-0.000114564;4.86449E-06;1.0049E-07;0.000146614;6.89513E-05;4.38198E-05;1.72841E-05;4.02433E-05;4.46833E-05;-4.20936E-05
3;ldhp*st;;;;;-3.06263E-05;-4.95195E-06;1.33831E-06;4.09127E-05;-9.38604E-06;1.17503E-05;1.20866E-05;1.32967E-05;1.18823E-05;1.13296E-05;1.19664E-05;1.16622E-05;1.44219E-05;1.60896E-05;1.00111E-05;4.00554E-06;-1.05088E-06;-2.3432E-06;-1.76409E-06;-2.49893E-06;-8.49327E-08;-1.49815E-06;7.24296E-07;-1.95864E-06;2.86591E-09;-2.95682E-06;-1.56194E-06;-1.53046E-06;5.68862E-07;1.51415E-06;-2.08235E-07;-7.44969E-07
4;ldhp*rdhp;;;;;-0.015922681;0.003405505;4.09127E-05;0.029208199;-0.007432623;-0.000401981;-0.000479949;-0.000569074;-0.000371731;-0.00096622;-0.000902836;-0.001147314;-0.001226893;-0.001412122;-0.001887612;-0.001420277;-0.000104526;0.000107525;0.00014619;1.49469E-05;0.00043853;0.000154806;0.000688472;-0.000210164;-1.28564E-07;-1.89485E-05;-0.000177267;4.49766E-05;-0.0001354;-0.000162252;6.2099E-05;-0.000188882
5;ldhp2*rdhp;;;;;0.004934748;-0.001247261;-9.38604E-06;-0.007432623;0.001977821;0.00010813;0.000128374;0.000126158;8.89198E-05;0.000226327;0.000223709;0.000273865;0.000289514;0.000321409;0.000423011;0.000315756;1.83285E-05;-1.5237E-05;-2.78907E-05;4.56829E-06;-8.35917E-05;-2.49995E-05;-0.000144394;6.50885E-05;2.19295E-09;-1.50854E-05;2.80504E-05;-1.60467E-05;2.9476E-05;2.35844E-05;-2.39387E-05;4.93243E-05
6;ldhp*vp;;;FE2;;-0.014765985;-0.000197156;1.17503E-05;-0.000401981;0.00010813;0.020494994;0.015965458;0.016313488;0.01615964;0.015716533;0.015910652;0.015793681;0.016195659;0.016101664;0.015936545;0.015776488;-0.000207549;-0.000271419;-2.55217E-05;0.000256648;0.000917186;9.9106E-05;0.000393145;1.27606E-05;-5.03151E-07;-0.000180649;4.53508E-05;-0.000449701;-0.000329028;-1.82439E-05;-0.000182318;0.00121573
7;ldhp*vp;;;FE3;;-0.015606357;-0.000206749;1.20866E-05;-0.000479949;0.000128374;0.015965458;0.016879923;0.016654986;0.015945587;0.01574317;0.01608086;0.016042676;0.016543849;0.016210951;0.015849066;0.015962871;-1.41824E-06;0.000331216;0.000194187;0.000229746;0.000725457;-0.000119395;0.000366754;-1.48585E-06;-7.78146E-07;7.49353E-05;0.000364046;-0.000200308;-0.00021509;-0.000171674;-1.85489E-05;0.001189929
8;ldhp*vp;;;FE4;;-0.017062419;-0.000110759;1.32967E-05;-0.000569074;0.000126158;0.016313488;0.016654986;0.037348467;0.016158343;0.015686759;0.016135298;0.016002135;0.02026805;0.017048372;0.0160812;0.016732406;-0.000444581;0.003627434;0.00431323;0.004195403;0.004764935;-0.001441491;0.003936515;-6.86402E-05;-3.30739E-06;-0.000175328;0.000126335;-0.000597108;0.000622287;-0.000333248;-0.000336955;0.001487626
9;ldhp*vp;;;FE6;;-0.015406044;-3.36517E-05;1.18823E-05;-0.000371731;8.89198E-05;0.01615964;0.015945587;0.016158343;0.033358784;0.015811756;0.015868911;0.015802679;0.016134793;0.015996406;0.015841593;0.015658685;-4.25912E-05;-0.000489376;-0.001342198;0.000295225;0.000412928;7.03298E-05;0.000286858;7.74739E-05;-9.25279E-07;-2.53355E-05;0.000389792;-0.000423065;-0.000601427;4.31966E-05;-7.52351E-05;0.001486778
10;ldhp*vp;;;MF1;;-0.021647862;-9.5276E-05;1.13296E-05;-0.00096622;0.000226327;0.015716533;0.01574317;0.015686759;0.015811756;0.03171005;0.016058911;0.016103904;0.016024026;0.015958553;0.021390034;0.015883141;0.000200754;-0.000413592;-0.001739367;-0.000578659;-0.00030539;-0.000284598;-0.000460784;-0.000370776;9.64005E-07;0.005945072;0.006165637;0.005677568;0.005576304;0.00549154;0.005013719;0.00545571
