Row;Effect;pert;sdom;vp;millieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col16;Col17;Col18;Col19;Col20;Col21;Col22;Col23;Col24;Col25;Col26;Col27;Col28;Col29;Col30;Col31;Col32;Col34;Col35
1;ldhp;;;;;0.05817868;-0.007462129;-1.39907E-05;-0.017035193;0.005458317;-0.007878207;-0.009042024;-0.007775785;-0.009067723;-0.008168155;-0.00732411;-0.007469067;-0.006935175;-0.006999274;-0.027507023;-0.02749839;-0.027438301;-0.027318628;-0.027806949;-0.028326044;-0.028415334;-0.030641138;-0.028257138;-0.027909979;-0.028761347;-0.027934899;-0.028250946;-0.027482094;-0.027708934;-0.029355946;-0.028580844;-0.000119576;-1.30482E-05
2;ldhp2;;;;;-0.007462129;0.002770191;-4.23182E-06;0.004048279;-0.001485334;-0.000109961;-7.7472E-05;-0.000146983;-0.000112388;-0.000109994;-0.000129807;-0.000158317;-7.6537E-05;-0.000115593;-1.22264E-05;-1.63245E-05;-5.70218E-05;1.63709E-05;4.69077E-05;2.46134E-05;6.04009E-05;5.43095E-05;0.000104927;0.000151259;-1.48759E-05;0.000143676;0.000117463;-1.01266E-05;8.00688E-05;4.15747E-05;0.000100125;-5.08473E-06;-4.15788E-05
3;ldhp*st;;;;;-1.39907E-05;-4.23182E-06;8.32322E-07;3.16617E-05;-8.13394E-06;8.29831E-07;1.14084E-06;2.13994E-06;1.41686E-06;2.2478E-06;5.76005E-07;3.55511E-06;-3.63595E-07;2.05059E-06;9.73011E-07;-1.13975E-06;2.38047E-06;6.09889E-07;6.56937E-07;2.07038E-06;7.87529E-07;1.1932E-06;8.30271E-07;1.07552E-06;9.38081E-07;-3.47798E-06;1.313E-06;-4.22591E-06;-3.43573E-06;1.30406E-06;5.48358E-06;2.43031E-06;1.84885E-06
4;ldhp*rdhp;;;;;-0.017035193;0.004048279;3.16617E-05;0.026968962;-0.007410511;-0.00026737;-0.000473172;-0.000474661;-0.000430701;5.65443E-05;-0.000790764;0.000128286;-0.000704443;-0.000120519;0.000791068;0.000368435;0.000170359;0.000549247;0.000403986;0.000622809;-1.63564E-05;0.000514164;-2.47684E-05;0.000296989;0.00061153;0.000417641;-0.000367088;0.000613304;0.000234693;-0.000162164;-0.000317601;3.02267E-05;0.000162293
5;ldhp2*rdhp;;;;;0.005458317;-0.001485334;-8.13394E-06;-0.007410511;0.002125486;8.44832E-05;0.000129971;0.00014805;0.000125705;7.85758E-06;0.000224817;-6.47999E-06;0.000193616;5.2708E-05;-0.000187997;-6.91033E-05;-3.42607E-05;-0.000134802;-0.000106122;-0.000165523;-1.10434E-05;-0.000129538;-1.56267E-05;-8.43774E-05;-0.00013738;-0.000119558;8.00673E-05;-0.000127873;-7.06332E-05;2.6129E-05;5.25997E-05;-3.68349E-06;-3.14453E-05
6;ldhp*sdom;;1;;;-0.007878207;-0.000109961;8.29831E-07;-0.00026737;8.44832E-05;0.018841907;0.008006436;0.008567625;0.008202352;0.00852606;0.007742816;0.007894673;0.007270381;0.007230688;-0.000454714;-0.001452024;-0.000438643;-0.00023921;-0.000353233;0.000624833;0.000792015;0.002835578;0.000567595;-0.000585221;0.001079154;0.000250923;0.000447451;-0.001464382;-0.000183474;0.001759145;0.000872226;-1.47012E-05;3.29082E-05
7;ldhp*sdom;;2EST;;;-0.009042024;-7.7472E-05;1.14084E-06;-0.000473172;0.000129971;0.008006436;0.018681951;0.008029876;0.008074599;0.007983624;0.007665069;0.007679713;0.007294148;0.007247426;0.00127374;0.001338407;0.00142095;0.000622327;0.001334894;0.001750031;0.001893275;0.00397919;0.00164107;0.001199977;0.002186104;0.001097347;0.001592335;0.001321884;0.001187835;0.002918948;0.001961923;-7.10114E-06;3.25039E-05
8;ldhp*sdom;;2OUE;;;-0.007775785;-0.000146983;2.13994E-06;-0.000474661;0.00014805;0.008567625;0.008029876;0.014370283;0.008228341;0.008370384;0.007890197;0.007836536;0.007290278;0.007248076;-0.000496744;-0.000697734;-0.001196104;-0.000202762;-0.000153373;0.000530544;0.000790934;0.002778225;0.00045547;-0.001096912;0.001052839;-0.000288417;0.000237701;-0.000674055;-0.000433617;0.001747374;0.000889382;-5.40764E-05;3.30518E-05
9;ldhp*sdom;;3EST;;;-0.009067723;-0.000112388;1.41686E-06;-0.000430701;0.000125705;0.008202352;0.008074599;0.008228341;0.010311999;0.008145609;0.007685646;0.00775794;0.007277866;0.007234318;0.00092699;0.001270286;0.001266368;0.000695016;0.001268391;0.001887894;0.002001161;0.0040761;0.001840253;0.000997889;0.002298186;0.001242729;0.001770346;0.001202674;0.001208008;0.002998266;0.002061601;-1.29375E-05;1.90789E-05
10;ldhp*sdom;;3OUE;;;-0.008168155;-0.000109994;2.2478E-06;5.65443E-05;7.85758E-06;0.00852606;0.007983624;0.008370384;0.008145609;0.009664018;0.007649365;0.007882842;0.007288542;0.007253566;-0.000261604;-0.000973184;-0.000350497;-0.000149776;-7.22288E-05;0.000834824;0.000908918;0.003027496;0.000792078;0.000353001;0.001235068;0.000443236;0.000432962;-0.000958603;0.000228077;0.001967405;0.000932682;-2.28249E-05;1.24786E-05
11;ldhp*sdom;;4EST;;;-0.00732411;-0.000129807;5.76005E-07;-0.000790764;0.000224817;0.007742816;0.007665069;0.007890197;0.007685646;0.007649365;0.009389532;0.00744126;0.007455551;0.007424204;-7.96111E-05;0.000124008;-0.000266433;0.000174829;0.000234687;-0.000778104;0.00034523;0.00191029;-0.001070461;-0.000716914;0.000513745;-0.000915946;0.000293176;0.000108802;-0.000305094;0.001440909;0.000512654;-2.43067E-05;9.71278E-06
12;ldhp*sdom;;4OUE;;;-0.007469067;-0.000158317;3.55511E-06;0.000128286;-6.47999E-06;0.007894673;0.007679713;0.007836536;0.00775794;0.007882842;0.00744126;0.008487781;0.007224549;0.007205968;-0.000116349;-0.000153616;-4.3769E-05;-0.000230561;-0.000431228;0.00037604;0.000353271;0.002503038;0.000347185;0.000106251;0.000686169;9.63188E-05;-6.92509E-05;-0.000156407;-9.96106E-05;0.00130539;0.000396637;-9.44564E-07;-7.26537E-07
13;ldhp*sdom;;5EST;;;-0.006935175;-7.6537E-05;-3.63595E-07;-0.000704443;0.000193616;0.007270381;0.007294148;0.007290278;0.007277866;0.007288542;0.007455551;0.007224549;0.008397025;0.007237559;-3.42352E-05;-5.41292E-06;-3.14753E-05;6.69784E-06;2.21788E-05;-0.000354476;-0.000152292;0.001528565;-0.000245111;-6.54653E-05;-0.000917969;-9.39978E-05;3.27115E-05;-1.52143E-05;-8.16955E-05;0.000920009;0.000179064;-1.58398E-05;-6.64307E-06
