Estimate;Effect;pert;sdom;vp;millieu;StdErr;DF;tValue;Probt
-3.060270969;ldhp;;;;;0.24120257;4189.144824;-12.68755541;0
2.156924438;ldhp2;;;;;0.0526326;6933.468128;40.98076917;0
0.025423351;ldhp*st;;;;;0.000912317;6829.73573;27.86679453;0
-0.701069663;ldhp*rdhp;;;;;0.164222296;7166.078161;-4.269028513;1.98858E-05
0.151592153;ldhp2*rdhp;;;;;0.046102992;7199.119486;3.288119623;0.001013429
0.076357254;ldhp*sdom;;1;;;0.137265825;2365.016462;0.556272868;0.578076957
-0.121977837;ldhp*sdom;;2EST;;;0.136681935;2362.927624;-0.89242106;0.372258158
0.187404958;ldhp*sdom;;2OUEST;;;0.119876117;2391.954243;1.563321893;0.118109184
-0.093153083;ldhp*sdom;;3EST;;;0.101548015;2502.500482;-0.917330418;0.359057919
0.279871623;ldhp*sdom;;3OUEST;;;0.098305738;2540.72534;2.846951041;0.00444945
-0.188279515;ldhp*sdom;;4EST;;;0.096899598;2581.952733;-1.943037121;0.052120232
0.092084606;ldhp*sdom;;4OUEST;;;0.092129156;2573.758946;0.99951644;0.317638539
-0.178953196;ldhp*sdom;;5EST;;;0.091635283;2609.979018;-1.952885299;0.050939926
0.031703647;ldhp*sdom;;5OUEST;;;0.095785094;2592.874031;0.330987272;0.740680845
0.153946267;ldhp*vp;;;FE3;;0.17401544;2039.216071;0.884670162;0.376438849
-0.201966791;ldhp*vp;;;FE6;;0.212713582;2225.608514;-0.949477647;0.342480823
0.36149609;ldhp*vp;;;MF1;;0.203338154;2085.474024;1.777807475;0.075581165
0.124777898;ldhp*vp;;;MJ1;;0.172414385;2021.716124;0.723709325;0.469327934
0.124916744;ldhp*vp;;;MJ2;;0.170201741;2013.416932;0.73393341;0.463074778
0.159049975;ldhp*vp;;;MS1;;0.176322456;2034.733605;0.902040377;0.367142183
0.166499328;ldhp*vp;;;MS2;;0.169206007;2007.589684;0.984003648;0.32523229
-0.956278692;ldhp*vp;;;MS4;;0.291247156;2132.176745;-3.283392372;0.00104224
-0.004368773;ldhp*vp;;;MS6;;0.184965102;2065.900132;-0.023619444;0.981158444
-0.248971156;ldhp*vp;;;RB1;;0.185506327;1920.729513;-1.342116793;0.179716751
-0.396548372;ldhp*vp;;;RB5;;0.200893842;1951.045173;-1.97392;0.048531712
0.163262468;ldhp*vp;;;RC3;;0.216978387;2242.754237;0.752436543;0.451867541
0.106573534;ldhp*vp;;;RE2;;0.195812216;2148.939795;0.544263972;0.586316302
-0.08630699;ldhp*vp;;;RP1;;0.187380357;2086.077504;-0.460597855;0.64513516
0.168061724;ldhp*vp;;;RS1;;0.179456516;2025.246484;0.936503883;0.349125472
0.22941042;ldhp*vp;;;RS2;;0.173997612;2030.114044;1.318468788;0.187495492
0.230146651;ldhp*vp;;;RS3;;0.192274122;2144.385234;1.196971535;0.231449958
0.06843994;ldhp*pert;INT;;;;0.018846205;4637.601173;3.631497194;0.000284826
0.056952403;ldhp*pert;MOY;;;;0.014376409;4706.701219;3.961517899;7.55763E-05
