Estimate;Effect;pert;sdom;vp;milieu;StdErr;DF;tValue;Probt
0.468646291;ldhp;;;;;0.185144297;2837.104578;2.531248864;0.011419308
1.083172898;ldhp2;;;;;0.049002103;8379.669434;22.10462051;0
0.025624842;ldhp*st;;;;;0.00113176;8474.035727;22.6415782;0
-0.517706152;ldhp*rdhp;;;;;0.04694461;8710.061661;-11.02802121;0
0.201699783;ldhp*Tmoy;;;;;0.011961668;1844.901654;16.86217854;0
0.315025244;ldhp*vp;;;FE2;;0.108384306;1949.082377;2.906557746;0.003695555
0.352002874;ldhp*vp;;;FE3;;0.099544126;1934.914047;3.536149131;0.00041556
0.111008684;ldhp*vp;;;FE6;;0.111742298;2017.034111;0.993434774;0.320617281
0.120730568;ldhp*vp;;;MF1;;0.157986179;2003.968763;0.764184368;0.444847348
0.153677108;ldhp*vp;;;MJ1;;0.100950358;1905.254019;1.52230375;0.128098935
0.054536986;ldhp*vp;;;MJ2;;0.099998682;1939.921264;0.54537705;0.58555692
-0.04877725;ldhp*vp;;;MS1;;0.109027663;1991.566985;-0.447384171;0.654646356
-0.044049668;ldhp*vp;;;MS2;;0.106548895;1974.821674;-0.413422096;0.679342276
-0.034722584;ldhp*vp;;;MS6;;0.117313868;2170.586852;-0.295980213;0.767273505
0.075493699;ldhp*vp;;;RC3;;0.17843435;1968.368679;0.423089493;0.672276187
0.080993181;ldhp*vp;;;RE2;;0.164896101;2314.140407;0.491177052;0.623347805
-0.050183604;ldhp*vp;;;RP1;;0.122039903;2188.251404;-0.411206526;0.68096137
-0.011310257;ldhp*vp;;;RS1;;0.115169343;1952.352098;-0.09820545;0.921779236
-0.107613032;ldhp*vp;;;RS2;;0.127353989;2180.311079;-0.844991447;0.398208327
0.043606728;ldhp*vp;;;RS5;;0.122952399;1963.807056;0.354663501;0.722879778
0.050101906;ldhp*pert;INT;;;;0.016858783;6514.719008;2.971857755;0.002970858
-0.065302384;ldhp*pert;MOY;;;;0.024562789;6779.270115;-2.658589919;0.007865271
0.058278633;ldhp*milieu;;;;0;0.107944991;1790.387188;0.539891963;0.589338683
0.332386925;ldhp*milieu;;;;1;0.11576344;1784.580447;2.871259924;0.004136627
0.214211603;ldhp*milieu;;;;2;0.100869601;1735.708587;2.123648768;0.033840623
0.264272038;ldhp*milieu;;;;3;0.120203714;1866.258958;2.198534719;0.02803338
0.132292442;ldhp*milieu;;;;4;0.139791276;1741.417746;0.946356921;0.344097863
0.208452793;ldhp*milieu;;;;5;0.104762614;1740.071572;1.989763197;0.046773311
0.011076389;ldhp*milieu;;;;6;0.145591198;1951.492358;0.076078702;0.939364282
-0.089365229;ldhp*milieu;;;;7;0.18892841;1665.755679;-0.473011069;0.636267255
