row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11
1;ldhp;;;;;0.0691711431734800000000000;-0.0117553094706514000000000;0.0000422555742132000000000;0.0099036889503165000000000;-0.0000064378230343000000000;-0.0000367764733542000000000;-0.0017930195451137000000000;-0.0028722867092537000000000;-0.0024831144980594000000000;-0.0043805678987927000000000;-0.0058959059256128000000000
2;ldhp2;;;;;-0.0117553094706514000000000;0.0060043190224257000000000;-0.0000722275929025000000000;-0.0054994852786903000000000;-0.0000009734759505000000000;0.0000009393877232000000000;-0.0002562739724125000000000;-0.0003672148581218000000000;-0.0001218489050963000000000;0.0000191035156834000000000;0.0002022104132750000000000
3;ldhp*st;;;;;0.0000422555742132000000000;-0.0000722275929025000000000;0.0000041004214821000000000;0.0000712638986991000000000;0.0000000314245569000000000;-0.0000000060721005000000000;0.0000150772427212000000000;0.0000142750787133000000000;0.0000192252157631000000000;0.0000090643216000000000000;0.0000019256275479000000000
4;ldhp*rdhp;;;;;0.0099036889503165000000000;-0.0054994852786903000000000;0.0000712638986991000000000;0.0063324755099864000000000;0.0000009552344950000000000;-0.0000012786640179000000000;0.0002181984271802000000000;0.0003162151981595000000000;0.0000964302593125000000000;0.0000875145167920000000000;-0.0001415751126990000000000
5;ldhp*alt;;;;;-0.0000064378230343000000000;-0.0000009734759505000000000;0.0000000314245569000000000;0.0000009552344950000000000;0.0000000356132250000000000;-0.0000000031832749000000000;0.0000016095115010000000000;-0.0000008803579726000000000;-0.0000016770356945000000000;0.0000003782853085000000000;0.0000002434756943000000000
6;ldhp*ptot;;;;;-0.0000367764733542000000000;0.0000009393877232000000000;-0.0000000060721005000000000;-0.0000012786640179000000000;-0.0000000031832749000000000;0.0000000348134019000000000;-0.0000023058200012000000000;-0.0000002799402172000000000;-0.0000010514936698000000000;0.0000000185490688000000000;0.0000013630533874000000000
7;ldhp*vp;;;FE2;;-0.0017930195451137000000000;-0.0002562739724125000000000;0.0000150772427212000000000;0.0002181984271802000000000;0.0000016095115010000000000;-0.0000023058200012000000000;0.0058542588074142000000000;0.0039095129054314000000000;0.0039511291363702000000000;0.0039184084104803000000000;0.0038083782650526000000000
8;ldhp*vp;;;FE3;;-0.0028722867092537000000000;-0.0003672148581218000000000;0.0000142750787133000000000;0.0003162151981595000000000;-0.0000008803579726000000000;-0.0000002799402172000000000;0.0039095129054314000000000;0.0045393546335955000000000;0.0040031968020523000000000;0.0038922475424174000000000;0.0038567896518858000000000
9;ldhp*vp;;;FE4;;-0.0024831144980594000000000;-0.0001218489050963000000000;0.0000192252157631000000000;0.0000964302593125000000000;-0.0000016770356945000000000;-0.0000010514936698000000000;0.0039511291363702000000000;0.0040031968020523000000000;0.0079745336664217000000000;0.0039063574150761000000000;0.0038343533151400000000000
10;ldhp*vp;;;FE5;;-0.0043805678987927000000000;0.0000191035156834000000000;0.0000090643216000000000000;0.0000875145167920000000000;0.0000003782853085000000000;0.0000000185490688000000000;0.0039184084104803000000000;0.0038922475424174000000000;0.0039063574150761000000000;0.0136104907601760000000000;0.0038975958265893000000000
11;ldhp*vp;;;FE6;;-0.0058959059256128000000000;0.0002022104132750000000000;0.0000019256275479000000000;-0.0001415751126990000000000;0.0000002434756943000000000;0.0000013630533874000000000;0.0038083782650526000000000;0.0038567896518858000000000;0.0038343533151400000000000;0.0038975958265893000000000;0.0091741207847957000000000
