row;effect;pert;sdom;vp;milieu;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10
1;ldhp;;;;;0.131310524;-0.063892666;0.000558345;0.041923568;-0.003644585;-0.009642034;-0.010059319;-0.007337859;-0.009046423;-0.010844492
2;ldhp2;;;;;-0.063892666;0.035874667;-0.000310628;-0.027042156;-0.00370305;-0.000365888;-0.000687334;-0.00188023;-0.001153894;7.70762E-05
3;ldhp*st;;;;;0.000558345;-0.000310628;1.00837E-05;0.000171502;-1.9571E-05;-3.14915E-05;-5.58817E-05;-1.06433E-05;-1.81155E-05;-2.34652E-05
4;ldhp*rdhp;;;;;0.041923568;-0.027042156;0.000171502;0.026688911;0.002610563;1.24541E-05;0.001389949;0.001459554;0.001308052;-2.88797E-05
5;ldhp*sdom;;2EST;;;-0.003644585;-0.00370305;-1.9571E-05;0.002610563;0.023155274;0.011206794;0.011332831;0.011269343;0.011161299;0.011036146
6;ldhp*sdom;;3EST;;;-0.009642034;-0.000365888;-3.14915E-05;1.24541E-05;0.011206794;0.02431914;0.01113063;0.011030657;0.010991557;0.010989238
7;ldhp*sdom;;4EST;;;-0.010059319;-0.000687334;-5.58817E-05;0.001389949;0.011332831;0.01113063;0.027837785;0.011117317;0.011136554;0.011046636
8;ldhp*sdom;;4OUEST;;;-0.007337859;-0.00188023;-1.06433E-05;0.001459554;0.011269343;0.011030657;0.011117317;0.023195168;0.011023722;0.010951594
9;ldhp*sdom;;5EST;;;-0.009046423;-0.001153894;-1.81155E-05;0.001308052;0.011161299;0.010991557;0.011136554;0.011023722;0.023206598;0.010945843
10;ldhp*sdom;;5OUEST;;;-0.010844492;7.70762E-05;-2.34652E-05;-2.88797E-05;0.011036146;0.010989238;0.011046636;0.010951594;0.010945843;0.020844081
